time         theta        dtheta/dt    Uw0^2/mg^2   Kw0^2/mg^2  
0.00000000   0.50000000   -0.00000000  0.49480792   -0.37239048 
0.12500000   0.49625877   -0.05979124  0.49118213   -0.36876469 
0.25000000   0.48508642   -0.11876107  0.48034434   -0.35792690 
0.37500000   0.46663689   -0.17608968  0.46241464   -0.33999720 
0.50000000   0.44116636   -0.23096184  0.43759742   -0.31517998 
0.62500000   0.40903236   -0.28257226  0.40618689   -0.28376946 
0.75000000   0.37069202   -0.33013426  0.36857326   -0.24615582 
0.87500000   0.32669903   -0.37289216  0.32524808   -0.20283064 
1.00000000   0.27769877   -0.41013726  0.27680734   -0.15438990 
1.12500000   0.22442132   -0.44122667  0.22395066   -0.10153322 
1.25000000   0.16767194   -0.46560370  0.16747559   -0.04505816 
1.37500000   0.10831901   -0.48281812  0.10826607   0.01415137  
1.50000000   0.04727961   -0.49254434  0.04727521   0.07514223  
1.62500000   -0.01449707  -0.49459551  -0.01449694  0.13691438  
1.75000000   -0.07604761  -0.48893192  -0.07602929  0.19844673  
1.87500000   -0.13641296  -0.47566293  -0.13630722  0.25872465  
2.00000000   -0.19465682  -0.45504186  -0.19434964  0.31676708  
2.12500000   -0.24988301  -0.42745479  -0.24923339  0.37165083  
2.25000000   -0.30125107  -0.39340428  -0.30011323  0.42253067  
2.37500000   -0.34798965  -0.35349002  -0.34623646  0.46865389  
2.50000000   -0.38940735  -0.30838824  -0.38695164  0.50936907  
2.62500000   -0.42490105  -0.25883186  -0.42171192  0.54412936  
2.75000000   -0.45396184  -0.20559287  -0.45007383  0.57249126  
2.87500000   -0.47617900  -0.14946798  -0.47169291  0.59411034  
3.00000000   -0.49124237  -0.09126802  -0.48631782  0.60873526  
3.12500000   -0.49894362  -0.03181086  -0.49378431  0.61620175  
3.25000000   -0.49917690  0.02808269   -0.49401036  0.61642780  
3.37500000   -0.49193900  0.08759105   -0.48699352  0.60941095  
3.50000000   -0.47732939  0.14589329   -0.47281077  0.59522821  
3.62500000   -0.45555003  0.20217128   -0.45162113  0.57403857  
3.75000000   -0.42690475  0.25561359   -0.42367036  0.54608779  
3.87500000   -0.39179806  0.30542233   -0.38929690  0.51171434  
4.00000000   -0.35073286  0.35082361   -0.34893792  0.47135536  
4.12500000   -0.30430654  0.39108158   -0.30313375  0.42555119  
4.25000000   -0.25320522  0.42551592   -0.25252936  0.37494679  
4.37500000   -0.19819556  0.45352157   -0.19787132  0.32028876  
4.50000000   -0.14011407  0.47458932   -0.13999948  0.26241692  
4.62500000   -0.07985390  0.48832532   -0.07983268  0.20225012  
4.75000000   -0.01834934  0.49446758   -0.01834908  0.14076652  
4.87500000   0.04344144   0.49289757   0.04343803   0.07897941  
5.00000000   0.10455477   0.48364567   0.10450715   0.01791029  
5.12500000   0.16404000   0.46688975   0.16385614   -0.04143870 
5.25000000   0.22097758   0.44294714   0.22052825   -0.09811081 
5.37500000   0.27449564   0.41226077   0.27363468   -0.15121724 
5.50000000   0.32378461   0.37538127   0.32237211   -0.19995467 
5.62500000   0.36810941   0.33294679   0.36603457   -0.24361714 
5.75000000   0.40681916   0.28566250   0.40401957   -0.28160213 
5.87500000   0.43935430   0.23428163   0.43582909   -0.31341165 
6.00000000   0.46525157   0.17958935   0.46106674   -0.33864931 
6.12500000   0.48414717   0.12239007   0.47943253   -0.35701509 
6.25000000   0.49577857   0.06349859   0.49071662   -0.36829919 
6.37500000   0.49998545   0.00373455   0.49479383   -0.37237639 
6.50000000   0.49671007   -0.05608070  0.49161960   -0.36920216 
6.62500000   0.48599737   -0.11512570  0.48122858   -0.35881115 
6.75000000   0.46799491   -0.17258047  0.46373576   -0.34131832 
6.87500000   0.44295251   -0.22762938  0.43934012   -0.31692268 
7.00000000   0.41122143   -0.27946629  0.40833009   -0.28591266 
7.12500000   0.37325265   -0.32730305  0.37108973   -0.24867229 
7.25000000   0.32959398   -0.37038161  0.32810415   -0.20568672 
7.37500000   0.28088527   -0.40798983  0.27996281   -0.15754537 
7.50000000   0.22785156   -0.43948011  0.22735900   -0.10494156 
7.62500000   0.17129375   -0.46428978  0.17108441   -0.04866697 
7.75000000   0.11207670   -0.48196144  0.11201805   0.01039938  
7.87500000   0.05111491   -0.49216127  0.05110934   0.07130809  
