  time        theta
0.00000000   3.08318531
0.20100503   3.08200209
0.40201005   3.07840457
0.60301508   3.07224717
0.80402010   3.06328085
1.00502513   3.05114314
1.20603015   3.03534378
1.40703518   3.01524546
1.60804020   2.99003911
1.80904523   2.95871302
2.01005025   2.92001556
2.21105528   2.87241097
2.41206030   2.81402910
2.61306533   2.74261118
2.81407035   2.65545699
3.01507538   2.54938450
3.21608040   2.42072218
3.41708543   2.26536978
3.61809045   2.07898347
3.81909548   1.85736477
4.02010050   1.59714147
4.22110553   1.29678987
4.42211055   0.95790828
4.62311558   0.58638743
4.82412060   0.19284306
5.02512563  -0.20831778
5.22613065  -0.60125925
5.42713568  -0.97168477
5.62814070  -1.30915423
5.82914573  -1.60795814
6.03015075  -1.86664318
6.23115578  -2.08682738
6.43216080  -2.27193177
6.63316583  -2.42617100
6.83417085  -2.55388509
7.03517588  -2.65916013
7.23618090  -2.74564924
7.43718593  -2.81651538
7.63819095  -2.87444077
7.83919598  -2.92166815
8.04020101  -2.96005371
8.24120603  -2.99112133
8.44221106  -3.01611258
8.64321608  -3.03603065
8.84422111  -3.05167745
9.04522613  -3.06368417
9.24623116  -3.07253580
9.44723618  -3.07859017
9.64824121  -3.08209219
9.84924623  -3.08318354
10.05025126  -3.08190839
10.25125628  -3.07821514
10.45226131  -3.07195435
10.65326633  -3.06287280
10.85427136  -3.05060336
11.05527638  -3.03465049
11.25628141  -3.01437072
11.45728643  -2.98894774
11.65829146  -2.95736132
11.85929648  -2.91834967
12.06030151  -2.87036507
12.26130653  -2.81152335
12.46231156  -2.73954960
12.66331658  -2.65172557
12.86432161  -2.54485012
13.06532663  -2.41523342
13.26633166  -2.25876129
13.46733668  -2.07108669
13.66834171  -1.84802831
13.86934673  -1.58626430
14.07035176  -1.28436724
14.27135678  -0.94408228
14.47236181  -0.57148212
14.67336683  -0.17735674
14.87437186   0.22377999
15.07537688   0.61609683
15.27638191   0.98541129
15.47738693   1.32146012
15.67839196   1.61871432
15.87939698   1.87586369
16.08040201   2.09461864
16.28140704   2.27844752
16.48241206   2.43158011
16.68341709   2.55835212
16.88442211   2.66283520
17.08542714   2.74866397
17.28643216   2.81898232
17.48743719   2.87645460
17.68844221   2.92330753
17.88944724   2.96138348
18.09045226   2.99219448
18.29145729   3.01697212
18.49246231   3.03671114
18.69346734   3.05220632
18.89447236   3.06408278
19.09547739   3.07282025
19.29648241   3.07877197
19.49748744   3.08217869
19.69849246   3.08317824
19.89949749   3.08181108
20.10050251   3.07802187
20.30150754   3.07165732
20.50251256   3.06245998
20.70351759   3.05005809
20.90452261   3.03395074
21.10552764   3.01348830
21.30653266   2.98784718
21.50753769   2.95599853
21.70854271   2.91667038
21.90954774   2.86830295
22.11055276   2.80899798
22.31155779   2.73646433
22.51256281   2.64796568
22.71356784   2.54028173
22.91457286   2.40970446
23.11557789   2.25210603
23.31658291   2.06313679
23.51758794   1.83863363
23.71859296   1.57532661
23.91959799   1.27188655
24.12060302   0.93020725
24.32160804   0.55654408
24.52261307   0.16185974
24.72361809  -0.23922876
24.92462312  -0.63089943
25.12562814  -0.99908735
25.32663317  -1.33370737
25.52763819  -1.62941005
25.72864322  -1.88502647
25.92964824  -2.10235750
26.13065327  -2.28491727
26.33165829  -2.43694977
26.53266332  -2.56278581
26.73366834  -2.66648237
26.93467337  -2.75165552
27.13567839  -2.82143008
27.33668342  -2.87845256
27.53768844  -2.92493381
27.73869347  -2.96270240
27.93969849  -2.99325863
28.14070352  -3.01782413
28.34170854  -3.03738529
28.54271357  -3.05272979
28.74371859  -3.06447670
28.94472362  -3.07310054
29.14572864  -3.07894997
29.34673367  -3.08226159
29.54773869  -3.08316941
29.74874372  -3.08171015
29.94974874  -3.07782476
30.15075377  -3.07135606
30.35175879  -3.06204239
30.55276382  -3.04950728
30.75376884  -3.03324449
30.95477387  -3.01259815
31.15577889  -2.98673734
31.35678392  -2.95462457
31.55778894  -2.91497759
31.75879397  -2.86622450
31.95979899  -2.80645285
32.16080402  -2.73335521
32.36180905  -2.64417710
32.56281407  -2.53567911
32.76381910  -2.40413505
32.96482412  -2.24540377
33.16582915  -2.05513356
33.36683417  -1.82918059
33.56783920  -1.56432839
33.76884422  -1.25934802
33.96984925  -0.91628370
34.17085427  -0.54157406
34.37185930  -0.14635299
34.57286432   0.25466319
34.77386935   0.64566634
34.97487437   1.01271251
35.17587940   1.34589578
35.37688442   1.64004536
35.57788945   1.89413169
35.77889447   2.11004418
35.97989950   2.29134128
36.18090452   2.44228023
36.38190955   2.56718640
36.58291457   2.67010187
36.78391960   2.75462406
36.98492462   2.82385879
37.18592965   2.88043479
37.38693467   2.92654708
37.58793970   2.96401055
37.78894472   2.99431383
37.98994975   3.01866868
38.19095477   3.03805315
38.39195980   3.05324789
38.59296482   3.06486596
38.79396985   3.07337669
38.99497487   3.07912418
39.19597990   3.08234091
39.39698492   3.08315704
39.59798995   3.08160560
39.79899497   3.07762380
40.00000000   3.07105055
