Tt           theta        dtheta/dt    Uw0^2/mg^2   Kw0^2/mg^2  
0.00000000   3.11000000   -0.00000000  1.99975048   -0.00024949 
0.00500000   3.10980629   -0.00350361  1.99974741   -0.00024642 
0.01000000   3.10922277   -0.00705017  1.99973805   -0.00023706 
0.01500000   3.10824230   -0.01068316  1.99972195   -0.00022095 
0.02000000   3.10685286   -0.01444711  1.99969829   -0.00019730 
0.02500000   3.10503742   -0.01838814  1.99966594   -0.00016494 
0.03000000   3.10277371   -0.02255456  1.99962328   -0.00012229 
0.03500000   3.10003401   -0.02699741  1.99956824   -0.00006724 
0.04000000   3.09678472   -0.03177109  1.99949808   0.00000291  
0.04500000   3.09298604   -0.03693406  1.99940938   0.00009162  
0.05000000   3.08859143   -0.04254950  1.99929776   0.00020324  
0.05500000   3.08354705   -0.04868607  1.99915774   0.00034326  
0.06000000   3.07779113   -0.05541878  1.99898243   0.00051857  
0.06500000   3.07125321   -0.06282981  1.99876322   0.00073778  
0.07000000   3.06385327   -0.07100955  1.99848934   0.00101166  
0.07500000   3.05550081   -0.08005758  1.99814733   0.00135366  
0.08000000   3.04609373   -0.09008386  1.99772042   0.00178057  
0.08500000   3.03551713   -0.10120996  1.99718766   0.00231334  
0.09000000   3.02364196   -0.11357039  1.99652292   0.00297808  
0.09500000   3.01032347   -0.12731401  1.99569365   0.00380735  
0.10000000   2.99539959   -0.14260561  1.99465928   0.00484172  
0.10500000   2.97868907   -0.15962748  1.99336927   0.00613172  
0.11000000   2.95998940   -0.17858105  1.99176073   0.00774027  
0.11500000   2.93907465   -0.19968862  1.98975537   0.00974562  
0.12000000   2.91569308   -0.22319490  1.98725590   0.01224509  
0.12500000   2.88956452   -0.24936854  1.98414146   0.01535954  
0.13000000   2.86037769   -0.27850324  1.98026209   0.01923891  
0.13500000   2.82778738   -0.31091847  1.97543203   0.02406897  
0.14000000   2.79141161   -0.34695929  1.96942155   0.03007945  
0.14500000   2.75082881   -0.38699511  1.96194719   0.03755380  
0.15000000   2.70557534   -0.43141657  1.95266017   0.04684083  
0.15500000   2.65514334   -0.48063012  1.94113283   0.05836816  
0.16000000   2.59897951   -0.53504906  1.92684314   0.07265785  
0.16500000   2.53648501   -0.59508004  1.90915734   0.09034366  
0.17000000   2.46701723   -0.66110332  1.88731142   0.11218958  
0.17500000   2.38989415   -0.73344522  1.86039246   0.13910854  
0.18000000   2.30440231   -0.81234059  1.82732175   0.17217925  
0.18500000   2.20980953   -0.89788346  1.78684283   0.21265817  
0.19000000   2.10538382   -0.98996451  1.73751899   0.26198200  
0.19500000   1.99042001   -1.08819500  1.67774659   0.32175440  
0.20000000   1.86427541   -1.19181936  1.60579220   0.39370879  
0.20500000   1.72641557   -1.29962233  1.51986308   0.47963791  
0.21000000   1.57647007   -1.40984204  1.41821981   0.58128119  
0.21500000   1.41429685   -1.52010685  1.29933719   0.70016380  
0.22000000   1.24005111   -1.62742062  1.16211192   0.83738907  
0.22500000   1.05425188   -1.72822416  1.00610299   0.99339800  
0.23000000   0.85783630   -1.81855804  0.83177439   1.16772661  
0.23500000   0.65218978   -1.89433770  0.64069233   1.35880866  
0.24000000   0.43913989   -1.95172676  0.43561983   1.56388117  
0.24500000   0.22090559   -1.98756153  0.22045670   1.77904430  
0.25000000   0.00000000   -1.99975048  0.00000000   1.99950099  
0.25500000   -0.22090559  -1.98756153  -0.22045670  2.21995769  
0.26000000   -0.43913989  -1.95172676  -0.43561983  2.43512082  
0.26500000   -0.65218978  -1.89433770  -0.64069233  2.64019333  
0.27000000   -0.85783630  -1.81855804  -0.83177439  2.83127538  
0.27500000   -1.05425188  -1.72822416  -1.00610299  3.00560399  
0.28000000   -1.24005111  -1.62742062  -1.16211192  3.16161292  
0.28500000   -1.41429685  -1.52010685  -1.29933719  3.29883819  
0.29000000   -1.57647007  -1.40984204  -1.41821981  3.41772080  
0.29500000   -1.72641557  -1.29962233  -1.51986308  3.51936407  
0.30000000   -1.86427541  -1.19181936  -1.60579220  3.60529320  
0.30500000   -1.99042001  -1.08819500  -1.67774659  3.67724758  
0.31000000   -2.10538382  -0.98996451  -1.73751899  3.73701999  
0.31500000   -2.20980953  -0.89788346  -1.78684283  3.78634382  
0.32000000   -2.30440231  -0.81234059  -1.82732175  3.82682274  
0.32500000   -2.38989415  -0.73344522  -1.86039246  3.85989345  
0.33000000   -2.46701723  -0.66110332  -1.88731142  3.88681241  
0.33500000   -2.53648501  -0.59508004  -1.90915734  3.90865833  
0.34000000   -2.59897951  -0.53504906  -1.92684314  3.92634413  
0.34500000   -2.65514334  -0.48063012  -1.94113283  3.94063383  
0.35000000   -2.70557534  -0.43141657  -1.95266017  3.95216116  
0.35500000   -2.75082881  -0.38699511  -1.96194719  3.96144818  
0.36000000   -2.79141161  -0.34695929  -1.96942155  3.96892254  
0.36500000   -2.82778738  -0.31091847  -1.97543203  3.97493302  
0.37000000   -2.86037769  -0.27850324  -1.98026209  3.97976308  
0.37500000   -2.88956452  -0.24936854  -1.98414146  3.98364245  
0.38000000   -2.91569308  -0.22319490  -1.98725590  3.98675690  
0.38500000   -2.93907465  -0.19968862  -1.98975537  3.98925637  
0.39000000   -2.95998940  -0.17858105  -1.99176073  3.99126172  
0.39500000   -2.97868907  -0.15962748  -1.99336927  3.99287027  
0.40000000   -2.99539959  -0.14260561  -1.99465928  3.99416027  
0.40500000   -3.01032347  -0.12731401  -1.99569365  3.99519464  
0.41000000   -3.02364196  -0.11357039  -1.99652292  3.99602391  
0.41500000   -3.03551713  -0.10120996  -1.99718766  3.99668865  
0.42000000   -3.04609373  -0.09008386  -1.99772042  3.99722142  
0.42500000   -3.05550081  -0.08005758  -1.99814733  3.99764833  
0.43000000   -3.06385327  -0.07100955  -1.99848934  3.99799033  
0.43500000   -3.07125321  -0.06282981  -1.99876322  3.99826421  
0.44000000   -3.07779113  -0.05541878  -1.99898243  3.99848342  
0.44500000   -3.08354705  -0.04868607  -1.99915774  3.99865873  
0.45000000   -3.08859143  -0.04254950  -1.99929776  3.99879875  
