time         theta        dtheta/dt   
4.38000000   4.11562818   1.03854120  
4.41000000   4.14715925   1.06361663  
4.44000000   4.17945031   1.08920461  
4.47000000   4.21251651   1.11529044  
4.50000000   4.24637254   1.14185719  
4.53000000   4.28103256   1.16888548  
4.56000000   4.31651007   1.19635340  
4.59000000   4.35281791   1.22423628  
4.62000000   4.38996812   1.25250661  
4.65000000   4.42797188   1.28113386  
4.68000000   4.46683939   1.31008437  
4.71000000   4.50657980   1.33932123  
4.74000000   4.54720112   1.36880412  
4.77000000   4.58871008   1.39848930  
4.80000000   4.63111203   1.42832945  
4.83000000   4.67441088   1.45827366  
4.86000000   4.71860895   1.48826740  
4.89000000   4.76370684   1.51825251  
4.92000000   4.80970340   1.54816723  
4.95000000   4.85659552   1.57794629  
4.98000000   4.90437813   1.60752099  
5.01000000   4.95304402   1.63681938  
5.04000000   5.00258378   1.66576642  
5.07000000   5.05298571   1.69428428  
5.10000000   5.10423574   1.72229257  
5.13000000   5.15631735   1.74970876  
5.16000000   5.20921150   1.77644849  
5.19000000   5.26289664   1.80242612  
5.22000000   5.31734858   1.82755512  
5.25000000   5.37254059   1.85174869  
5.28000000   5.42844329   1.87492035  
5.31000000   5.48502473   1.89698448  
5.34000000   5.54225044   1.91785707  
5.37000000   5.60008342   1.93745634  
5.40000000   5.65848430   1.95570346  
5.43000000   5.71741136   1.97252324  
5.46000000   5.77682071   1.98784479  
5.49000000   5.83666640   2.00160226  
5.52000000   5.89690060   2.01373543  
5.55000000   5.95747374   2.02419035  
5.58000000   6.01833476   2.03291989  
5.61000000   6.07943128   2.03988424  
5.64000000   6.14070984   2.04505136  
5.67000000   6.20211615   2.04839727  
5.70000000   6.26359531   2.04990640  
5.73000000   6.32509209   2.04957168  
5.76000000   6.38655118   2.04739469  
5.79000000   6.44791745   2.04338558  
5.82000000   6.50913618   2.03756302  
5.85000000   6.57015336   2.02995392  
5.88000000   6.63091590   2.02059321  
5.91000000   6.69137186   2.00952341  
5.94000000   6.75147070   1.99679418  
5.97000000   6.81116348   1.98246181  
6.00000000   6.87040300   1.96658863  
6.03000000   6.92914406   1.94924242  
6.06000000   6.98734354   1.93049567  
6.09000000   7.04496056   1.91042501  
6.12000000   7.10195660   1.88911040  
6.15000000   7.15829557   1.86663452  
6.18000000   7.21394391   1.84308204  
6.21000000   7.26887059   1.81853895  
6.24000000   7.32304720   1.79309194  
6.27000000   7.37644793   1.76682777  
6.30000000   7.42904956   1.73983269  
6.33000000   7.48083144   1.71219195  
6.36000000   7.53177546   1.68398929  
6.39000000   7.58186600   1.65530651  
6.42000000   7.63108985   1.62622311  
6.45000000   7.67943615   1.59681592  
6.48000000   7.72689630   1.56715891  
6.51000000   7.77346389   1.53732285  
6.54000000   7.81913456   1.50737522  
6.57000000   7.86390593   1.47738002  
6.60000000   7.90777749   1.44739772  
6.63000000   7.95075049   1.41748517  
6.66000000   7.99282783   1.38769556  
6.69000000   8.03401395   1.35807852  
6.72000000   8.07431473   1.32868004  
6.75000000   8.11373737   1.29954262  
6.78000000   8.15229029   1.27070533  
6.81000000   8.18998305   1.24220389  
6.84000000   8.22682621   1.21407081  
6.87000000   8.26283127   1.18633550  
6.90000000   8.29801058   1.15902442  
6.93000000   8.33237722   1.13216123  
6.96000000   8.36594494   1.10576691  
6.99000000   8.39872811   1.07985992  
7.02000000   8.43074157   1.05445638  
7.05000000   8.46200066   1.02957016  
7.08000000   8.49252108   1.00521311  
7.11000000   8.52231884   0.98139513  
7.14000000   8.55141026   0.95812435  
7.17000000   8.57981184   0.93540727  
7.20000000   8.60754028   0.91324886  
7.23000000   8.63461240   0.89165274  
7.26000000   8.66104509   0.87062126  
7.29000000   8.68685533   0.85015562  
7.32000000   8.71206009   0.83025601  
7.35000000   8.73667634   0.81092168  
7.38000000   8.76072103   0.79215104  
7.41000000   8.78421102   0.77394179  
7.44000000   8.80716312   0.75629095  
7.47000000   8.82959403   0.73919498  
7.50000000   8.85152033   0.72264986  
7.53000000   8.87295848   0.70665113  
7.56000000   8.89392481   0.69119395  
7.59000000   8.91443548   0.67627322  
7.62000000   8.93450651   0.66188356  
7.65000000   8.95415375   0.64801941  
7.68000000   8.97339288   0.63467507  
7.71000000   8.99223940   0.62184473  
7.74000000   9.01070864   0.60952249  
7.77000000   9.02881577   0.59770247  
7.80000000   9.04657575   0.58637876  
7.83000000   9.06400340   0.57554551  
7.86000000   9.08111333   0.56519690  
7.89000000   9.09792000   0.55532724  
7.92000000   9.11443770   0.54593092  
7.95000000   9.13068054   0.53700248  
7.98000000   9.14666247   0.52853661  
8.01000000   9.16239731   0.52052815  
8.04000000   9.17789869   0.51297216  
8.07000000   9.19318011   0.50586386  
8.10000000   9.20825495   0.49919870  
8.13000000   9.22313642   0.49297234  
8.16000000   9.23783764   0.48718070  
8.19000000   9.25237157   0.48181989  
8.22000000   9.26675110   0.47688632  
8.25000000   9.28098899   0.47237662  
8.28000000   9.29509791   0.46828769  
8.31000000   9.30909043   0.46461671  
8.34000000   9.32297906   0.46136111  
8.37000000   9.33677623   0.45851860  
8.40000000   9.35049429   0.45608719  
8.43000000   9.36414555   0.45406515  
8.46000000   9.37774228   0.45245104  
8.49000000   9.39129668   0.45124372  
8.52000000   9.40482096   0.45044230  
8.55000000   9.41832728   0.45004623  
8.58000000   9.43182779   0.45005522  
8.61000000   9.44533464   0.45046927  
8.64000000   9.45885999   0.45128868  
8.67000000   9.47241602   0.45251404  
8.70000000   9.48601491   0.45414622  
8.73000000   9.49966887   0.45618640  
8.76000000   9.51339018   0.45863601  
8.79000000   9.52719115   0.46149680  
8.82000000   9.54108412   0.46477078  
8.85000000   9.55508155   0.46846026  
8.88000000   9.56919592   0.47256780  
8.91000000   9.58343982   0.47709624  
8.94000000   9.59782593   0.48204870  
8.97000000   9.61236702   0.48742854  
9.00000000   9.62707596   0.49323940  
9.03000000   9.64196573   0.49948513  
9.06000000   9.65704945   0.50616986  
9.09000000   9.67234036   0.51329793  
9.12000000   9.68785181   0.52087391  
9.15000000   9.70359732   0.52890255  
9.18000000   9.71959054   0.53738884  
9.21000000   9.73584528   0.54633793  
9.24000000   9.75237550   0.55575514  
9.27000000   9.76919532   0.56564593  
9.30000000   9.78631904   0.57601592  
9.33000000   9.80376112   0.58687082  
9.36000000   9.82153620   0.59821643  
9.39000000   9.83965908   0.61005861  
9.42000000   9.85814474   0.62240326  
9.45000000   9.87700836   0.63525630  
9.48000000   9.89626526   0.64862358  
9.51000000   9.91593097   0.66251093  
9.54000000   9.93602117   0.67692404  
9.57000000   9.95655173   0.69186846  
9.60000000   9.97753865   0.70734956  
9.63000000   9.99899812   0.72337245  
9.66000000   10.02094646  0.73994192  
9.69000000   10.04340014  0.75706242  
9.72000000   10.06637576  0.77473797  
9.75000000   10.08989001  0.79297208  
9.78000000   10.11395970  0.81176769  
9.81000000   10.13860171  0.83112708  
9.84000000   10.16383298  0.85105180  
9.87000000   10.18967048  0.87154255  
9.90000000   10.21613119  0.89259912  
9.93000000   10.24323207  0.91422025  
9.96000000   10.27099002  0.93640354  
9.99000000   10.29942187  0.95914531  
10.02000000  10.32854428  0.98244052  
10.05000000  10.35837377  1.00628261  
10.08000000  10.38892662  1.03066337  
10.11000000  10.42021886  1.05557280  
10.14000000  10.45226616  1.08099900  
10.17000000  10.48508383  1.10692797  
10.20000000  10.51868670  1.13334351  
10.23000000  10.55308912  1.16022704  
10.26000000  10.58830479  1.18755746  
