time         theta        dtheta/dt    Uw0^2/mg^2   Kw0^2/mg^2  
0.00000000   0.00000000   2.02000000   0.00000000   2.04020000  
0.03000000   0.06059091   2.01909135   0.00183507   2.03836493  
0.06000000   0.12112735   2.01636953   0.00732695   2.03287305  
0.09000000   0.18155507   2.01184696   0.01643590   2.02376410  
0.12000000   0.24182036   2.00554415   0.02909634   2.01110366  
0.15000000   0.30187020   1.99748949   0.04521786   1.99498214  
0.18000000   0.36165257   1.98771899   0.06468661   1.97551339  
0.21000000   0.42111661   1.97627582   0.08736694   1.95283306  
0.24000000   0.48021289   1.96320992   0.11310340   1.92709660  
0.27000000   0.53889354   1.94857744   0.14172297   1.89847703  
0.30000000   0.59711248   1.93244021   0.17303741   1.86716259  
0.33000000   0.65482557   1.91486510   0.20684583   1.83335417  
0.36000000   0.71199072   1.89592339   0.24293725   1.79726275  
0.39000000   0.76856806   1.87569014   0.28109324   1.75910676  
0.42000000   0.82452000   1.85424350   0.32109053   1.71910947  
0.45000000   0.87981134   1.83166402   0.36270346   1.67749654  
0.48000000   0.93440933   1.80803406   0.40570643   1.63449357  
0.51000000   0.98828371   1.78343708   0.44987609   1.59032391  
0.54000000   1.04140673   1.75795710   0.49499341   1.54520659  
0.57000000   1.09375315   1.73167807   0.54084553   1.49935447  
0.60000000   1.14530026   1.70468336   0.58722733   1.45297267  
0.63000000   1.19602782   1.67705523   0.63394288   1.40625712  
0.66000000   1.24591804   1.64887443   0.68080656   1.35939344  
0.69000000   1.29495554   1.62021976   0.72764397   1.31255603  
0.72000000   1.34312726   1.59116772   0.77429264   1.26590736  
0.75000000   1.39042237   1.56179222   0.82060253   1.21959747  
0.78000000   1.43683227   1.53216430   0.86643628   1.17376372  
0.81000000   1.48235039   1.50235194   0.91166933   1.12853067  
0.84000000   1.52697219   1.47241985   0.95618989   1.08401011  
0.87000000   1.57069500   1.44242943   0.99989867   1.04030133  
0.90000000   1.61351795   1.41243858   1.04270863   0.99749137  
0.93000000   1.65544185   1.38250173   1.08454448   0.95565552  
0.96000000   1.69646910   1.35266978   1.12534223   0.91485777  
0.99000000   1.73660356   1.32299013   1.16504855   0.87515145  
1.02000000   1.77585047   1.29350673   1.20362017   0.83657983  
1.05000000   1.81421634   1.26426009   1.24102322   0.79917678  
1.08000000   1.85170882   1.23528742   1.27723249   0.76296751  
1.11000000   1.88833666   1.20662272   1.31223081   0.72796919  
1.14000000   1.92410957   1.17829683   1.34600829   0.69419171  
1.17000000   1.95903814   1.15033763   1.37856167   0.66163833  
