  time        theta
37.29096990  -2.06259883
37.45819398  -1.91435042
37.62541806  -1.73980883
37.79264214  -1.53777252
37.95986622  -1.30789835
38.12709030  -1.05117052
38.29431438  -0.77034378
38.46153846  -0.47021255
38.62876254  -0.15753661
38.79598662   0.15948030
38.96321070   0.47210312
39.13043478   0.77213452
39.29765886   1.05282566
39.46488294   1.30939487
39.63210702   1.53909937
39.79933110   1.74096455
39.96655518   1.91534024
40.13377926   2.06343189
40.30100334   2.18689566
40.46822742   2.28753025
40.63545151   2.36706335
40.80267559   2.42701448
40.96989967   2.46861260
41.13712375   2.49275013
41.30434783   2.49995906
41.47157191   2.49040024
41.63879599   2.46386057
41.80602007   2.41975678
41.97324415   2.35714756
42.14046823   2.27475985
42.30769231   2.17103905
42.47491639   2.04423774
42.64214047   1.89256232
42.80936455   1.71439884
42.97658863   1.50863515
43.14381271   1.27507784
43.31103679   1.01492431
43.47826087   0.73119237
43.64548495   0.42895286
43.81270903   0.11519885
43.97993311  -0.20173549
44.14715719  -0.51312538
44.31438127  -0.81092132
44.48160535  -1.08861759
44.64882943  -1.34171012
44.81605351  -1.56771387
44.98327759  -1.76585889
45.15050167  -1.93663583
45.31772575  -2.08133192
45.48494983  -2.20163800
45.65217391  -2.29935376
45.81939799  -2.37618561
45.98662207  -2.43361797
46.15384615  -2.47283689
46.32107023  -2.49468758
46.48829431  -2.49965281
46.65551839  -2.48784343
46.82274247  -2.45899648
46.98996656  -2.41247985
47.15719064  -2.34730595
47.32441472  -2.26216048
47.49163880  -2.15545685
47.65886288  -2.02543147
47.82608696  -1.87029970
47.99331104  -1.68849383
48.16053512  -1.47899859
48.32775920  -1.24177890
48.49498328  -0.97825327
48.66220736  -0.69170701
48.82943144  -0.38748516
48.99665552  -0.07280360
49.16387960   0.24389048
49.33110368   0.55390214
49.49832776   0.84934557
49.66555184   1.12396640
49.83277592   1.37353830
50.00000000   1.59582821
