time         theta        dtheta/dt   
0.00000000   0.00000000   2.50000000  
0.03000000   0.07498875   2.49887561  
0.06000000   0.14991012   2.49550977  
0.09000000   0.22469714   2.48992435  
0.12000000   0.29928374   2.48215548  
0.15000000   0.37360513   2.47225307  
0.18000000   0.44759821   2.46028015  
0.21000000   0.52120198   2.44631205  
0.24000000   0.59435785   2.43043546  
0.27000000   0.66700999   2.41274736  
0.30000000   0.73910563   2.39335385  
0.33000000   0.81059531   2.37236892  
0.36000000   0.88143306   2.34991318  
0.39000000   0.95157665   2.32611259  
0.42000000   1.02098766   2.30109717  
0.45000000   1.08963166   2.27499974  
0.48000000   1.15747817   2.24795475  
0.51000000   1.22450081   2.22009710  
0.54000000   1.29067722   2.19156114  
0.57000000   1.35598903   2.16247967  
0.60000000   1.42042185   2.13298307  
0.63000000   1.48396514   2.10319857  
0.66000000   1.54661212   2.07324955  
0.69000000   1.60835965   2.04325500  
0.72000000   1.66920811   2.01332908  
0.75000000   1.72916118   1.98358074  
0.78000000   1.78822576   1.95411346  
0.81000000   1.84641178   1.92502509  
0.84000000   1.90373198   1.89640772  
0.87000000   1.96020181   1.86834768  
0.90000000   2.01583922   1.84092553  
0.93000000   2.07066448   1.81421618  
0.96000000   2.12470002   1.78828900  
0.99000000   2.17797028   1.76320798  
1.02000000   2.23050155   1.73903194  
1.05000000   2.28232179   1.71581476  
1.08000000   2.33346051   1.69360556  
1.11000000   2.38394865   1.67244905  
1.14000000   2.43381839   1.65238567  
1.17000000   2.48310309   1.63345193  
1.20000000   2.53183713   1.61568063  
1.23000000   2.58005584   1.59910114  
1.26000000   2.62779538   1.58373958  
1.29000000   2.67509263   1.56961912  
1.32000000   2.72198514   1.55676015  
1.35000000   2.76851103   1.54518053  
1.38000000   2.81470892   1.53489573  
1.41000000   2.86061786   1.52591901  
1.44000000   2.90627726   1.51826160  
1.47000000   2.95172684   1.51193282  
1.50000000   2.99700659   1.50694019  
1.53000000   3.04215667   1.50328952  
1.56000000   3.08721742   1.50098499  
1.59000000   3.13222926   1.50002922  
