time         theta        dtheta/dt    Uw0^2/mg^2   Kw0^2/mg^2  
0.00000000   0.00000000   2.60000000   0.00000000   3.38000000  
0.03000000   0.07798830   2.59883068   0.00303955   3.37696045  
0.06000000   0.15590653   2.59533087   0.01212883   3.36787117  
0.09000000   0.23368509   2.58952492   0.02718033   3.35281967  
0.12000000   0.31125536   2.58145303   0.04805014   3.33194986  
0.15000000   0.38855016   2.57117067   0.07454070   3.30545930  
0.18000000   0.46550419   2.55874788   0.10640464   3.27359536  
0.21000000   0.54205446   2.54426830   0.14334940   3.23665060  
0.24000000   0.61814068   2.52782807   0.18504262   3.19495738  
0.27000000   0.69370561   2.50953460   0.23111803   3.14888197  
0.30000000   0.76869540   2.48950527   0.28118176   3.09881824  
0.33000000   0.84305983   2.46786597   0.33481877   3.04518123  
0.36000000   0.91675258   2.44474972   0.39159939   2.98840061  
0.39000000   0.98973142   2.42029518   0.45108562   2.92891438  
0.42000000   1.06195834   2.39464518   0.51283722   2.86716278  
0.45000000   1.13339964   2.36794539   0.57641732   2.80358268  
0.48000000   1.20402603   2.34034288   0.64139759   2.73860241  
0.51000000   1.27381266   2.31198497   0.70736274   2.67263726  
0.54000000   1.34273904   2.28301798   0.77391446   2.60608554  
0.57000000   1.41078909   2.25358619   0.84067465   2.53932535  
0.60000000   1.47795098   2.22383093   0.90728799   2.47271201  
0.63000000   1.54421709   2.19388975   0.97342389   2.40657611  
0.66000000   1.60958384   2.16389566   1.03877779   2.34122221  
0.69000000   1.67405158   2.13397663   1.10307187   2.27692813  
0.72000000   1.73762441   2.10425506   1.16605531   2.21394469  
0.75000000   1.80031002   2.07484746   1.22750400   2.15249600  
0.78000000   1.86211950   2.04586417   1.28721990   2.09278010  
0.81000000   1.92306716   2.01740919   1.34503008   2.03496992  
0.84000000   1.98317032   1.98958014   1.40078544   1.97921456  
0.87000000   2.04244914   1.96246821   1.45435926   1.92564074  
0.90000000   2.10092643   1.93615826   1.50564559   1.87435441  
0.93000000   2.15862744   1.91072892   1.55455750   1.82544250  
0.96000000   2.21557970   1.88625273   1.60102532   1.77897468  
0.99000000   2.27181281   1.86279639   1.64499480   1.73500520  
1.02000000   2.32735829   1.84042095   1.68642537   1.69357463  
1.05000000   2.38224943   1.81918206   1.72528832   1.65471168  
1.08000000   2.43652109   1.79913025   1.76156517   1.61843483  
1.11000000   2.49020958   1.78031120   1.79524602   1.58475398  
1.14000000   2.54335250   1.76276600   1.82632802   1.55367198  
1.17000000   2.59598864   1.74653142   1.85481401   1.52518599  
1.20000000   2.64815782   1.73164018   1.88071114   1.49928886  
1.23000000   2.69990078   1.71812122   1.90402973   1.47597027  
1.26000000   2.75125907   1.70599989   1.92478218   1.45521782  
1.29000000   2.80227497   1.69529821   1.94298199   1.43701801  
1.32000000   2.85299135   1.68603505   1.95864290   1.42135710  
1.35000000   2.90345162   1.67822634   1.97177818   1.40822182  
1.38000000   2.95369961   1.67188518   1.98239997   1.39760003  
1.41000000   3.00377951   1.66702202   1.99051879   1.38948121  
1.44000000   3.05373579   1.66364475   1.99614307   1.38385693  
1.47000000   3.10361311   1.66175879   1.99927886   1.38072114  
1.50000000   3.15345626   1.66136713   1.99992963   1.38007037  
1.53000000   3.20331009   1.66247040   1.99809608   1.38190392  
1.56000000   3.25321942   1.66506685   1.99377620   1.38622380  
1.59000000   3.30322899   1.66915232   1.98696526   1.39303474  
1.62000000   3.35338338   1.67472024   1.97765605   1.40234395  
1.65000000   3.40372694   1.68176152   1.96583909   1.41416091  
1.68000000   3.45430369   1.69026445   1.95150305   1.42849695  
1.71000000   3.50515728   1.70021460   1.93463515   1.44536485  
1.74000000   3.55633087   1.71159467   1.91522184   1.46477816  
1.77000000   3.60786706   1.72438431   1.89324937   1.48675063  
1.80000000   3.65980779   1.73855994   1.86870466   1.51129534  
1.83000000   3.71219424   1.75409453   1.84157619   1.53842381  
1.86000000   3.76506674   1.77095738   1.81185498   1.56814502  
1.89000000   3.81846462   1.78911386   1.77953579   1.60046421  
1.92000000   3.87242612   1.80852519   1.74461833   1.63538167  
1.95000000   3.92698825   1.82914811   1.70710859   1.67289141  
1.98000000   3.98218665   1.85093469   1.66702039   1.71297961  
2.01000000   4.03805544   1.87383197   1.62437687   1.75562313  
2.04000000   4.09462709   1.89778178   1.57921215   1.80078785  
2.07000000   4.15193224   1.92272041   1.53157312   1.84842688  
2.10000000   4.20999951   1.94857839   1.48152112   1.89847888  
2.13000000   4.26885538   1.97528032   1.42913383   1.95086617  
2.16000000   4.32852396   2.00274462   1.37450700   2.00549300  
2.19000000   4.38902681   2.03088342   1.31775627   2.06224373  
2.22000000   4.45038277   2.05960248   1.25901882   2.12098118  
2.25000000   4.51260776   2.08880113   1.19845491   2.18154509  
2.28000000   4.57571456   2.11837235   1.13624930   2.24375070  
2.31000000   4.63971269   2.14820282   1.07261233   2.30738767  
2.34000000   4.70460813   2.17817319   1.00778077   2.37221923  
2.37000000   4.77040323   2.20815838   0.94201829   2.43798171  
2.40000000   4.83709648   2.23802793   0.87561549   2.50438451  
2.43000000   4.90468240   2.26764660   0.80888946   2.57111054  
2.46000000   4.97315138   2.29687494   0.74218275   2.63781725  
2.49000000   5.04248957   2.32557012   0.67586181   2.70413819  
