theta0       T/T0         omega/omega0
2.62322987   1.76817679   0.56555431  
2.63893783   1.78650496   0.55975216  
2.65464579   1.80547632   0.55387046  
2.67035376   1.82513216   0.54790553  
2.68606172   1.84551795   0.54185330  
2.70176968   1.86668391   0.53570934  
2.71747765   1.88868571   0.52946872  
2.73318561   1.91158527   0.52312602  
2.74889357   1.93545179   0.51667523  
2.76460154   1.96036288   0.51010964  
2.78030950   1.98640601   0.50342175  
2.79601746   2.01368029   0.49660316  
2.81172542   2.04229858   0.48964437  
2.82743339   2.07239022   0.48253461  
2.84314135   2.10410437   0.47526160  
2.85884931   2.13761433   0.46781123  
2.87455728   2.17312304   0.46016723  
2.89026524   2.21087025   0.45231058  
2.90597320   2.25114207   0.44421896  
2.92168117   2.29428374   0.43586588  
2.93738913   2.34071715   0.42721950  
2.95309709   2.39096548   0.41824109  
2.96880506   2.44568843   0.40888283  
2.98451302   2.50573442   0.39908459  
3.00022098   2.57222032   0.38876919  
3.01592895   2.64665828   0.37783495  
3.03163691   2.73116787   0.36614373  
3.04734487   2.82885257   0.35350022  
3.06305284   2.94452286   0.33961360  
3.07876080   3.08623623   0.32401927  
3.09446876   3.26909547   0.30589501  
3.11017673   3.52700279   0.28352685  
3.12588469   3.96812744   0.25200804  
