theta        omega       
-6.28318531  3.00000000  
-5.96810328  2.98350265  
-5.65645547  2.93601113  
-5.35122212  2.86233510  
-5.05477242  2.76969601  
-4.72452717  2.65022497  
-4.40895420  2.53022573  
-4.10741366  2.42122137  
-3.81804730  2.33238479  
-3.53792575  2.27041808  
-3.26346765  2.23934969  
-2.99082045  2.24108847  
-2.71599493  2.27555556  
-2.43508616  2.34061417  
-2.14454145  2.43193573  
-1.84157825  2.54266460  
-1.52445514  2.66328064  
-1.19258383  2.78210003  
-0.84709319  2.88532016  
-0.49062608  2.96034261  
-0.12719557  2.99736655  
0.23808983   2.99057740  
0.59984438   2.94140388  
0.95337154   2.85640939  
1.29498818   2.74669208  
1.62233658   2.62609311  
1.93502926   2.50741351  
2.23397505   2.40176119  
2.52125148   2.31780248  
2.79994517   2.26170253  
3.07372827   2.23705472  
3.34649664   2.24535328  
3.62223088   2.28611468  
3.90477735   2.35679201  
4.19757869   2.45256968  
4.50324586   2.56608706  
4.82328625   2.68732910  
5.15800227   2.80421266  
5.50593000   2.90284144  
5.86412619   2.97095046  
6.22834955   2.99955548  
6.27824732   3.00005248  
6.32814645   2.99971967  
