theta        omega       
-6.28318531  3.20000000  
-6.23532665  3.19964217  
-6.18747869  3.19856956  
-6.13965211  3.19678488  
-6.09185752  3.19429261  
-6.04410546  3.19109897  
-5.99640635  3.18721194  
-5.94877016  3.18263712  
-5.90120703  3.17738447  
-5.85372740  3.17147041  
-5.80634132  3.16491210  
-5.75905847  3.15772748  
-5.71188819  3.14993524  
-5.66483945  3.14155481  
-5.61792087  3.13260640  
-5.57114070  3.12311097  
-5.52450684  3.11309025  
-5.47802682  3.10256670  
-5.43170781  3.09156357  
-5.38555662  3.08010484  
-5.33957972  3.06821528  
-5.29378319  3.05592038  
-5.24817277  3.04324642  
-5.20275384  3.03022043  
-5.15753140  3.01687018  
-5.11251011  3.00322422  
-5.06769428  2.98931185  
-5.02308782  2.97516312  
-4.97869432  2.96080886  
-4.93451700  2.94628064  
-4.89055870  2.93161078  
-4.84682192  2.91683239  
-4.80330891  2.90197034  
-4.76002051  2.88704707  
-4.71695660  2.87209208  
-4.67411680  2.85713413  
-4.63150042  2.84220128  
-4.58910647  2.82732087  
-4.54693368  2.81251952  
-4.50498048  2.79782314  
-4.46324503  2.78325694  
-4.42172516  2.76884538  
-4.38041844  2.75461225  
-4.33932214  2.74058060  
-4.29843323  2.72677275  
-4.25774839  2.71321035  
-4.21726401  2.69991429  
-4.17697620  2.68690478  
-4.13688075  2.67420129  
-4.09697319  2.66182260  
-4.05724873  2.64978676  
-4.01770231  2.63811110  
-3.97832856  2.62681224  
-3.93912183  2.61590611  
-3.90007617  2.60540789  
-3.86118535  2.59533206  
-3.82244283  2.58569239  
-3.78384180  2.57650194  
-3.74537514  2.56777303  
-3.70703544  2.55951729  
-3.66881501  2.55174564  
-3.63070587  2.54446826  
-3.59270210  2.53769451  
-3.55479694  2.53143261  
-3.51698207  2.52569003  
-3.47924920  2.52047361  
-3.44159002  2.51578950  
-3.40399625  2.51164322  
-3.36645965  2.50803963  
-3.32897195  2.50498294  
-3.29152494  2.50247670  
-3.25411039  2.50052381  
-3.21672011  2.49912651  
-3.17934591  2.49828640  
-3.14197964  2.49800443  
-3.10461312  2.49828086  
-3.06723823  2.49911533  
-3.02984684  2.50050682  
-2.99243085  2.50245366  
-2.95498217  2.50495351  
-2.91749273  2.50800338  
-2.87995445  2.51159965  
-2.84235931  2.51573802  
-2.80469926  2.52041355  
-2.76696630  2.52562063  
-2.72915243  2.53135302  
-2.69124967  2.53760380  
-2.65325004  2.54436543  
-2.61514561  2.55162968  
-2.57692843  2.55938769  
-2.53859058  2.56762994  
-2.50012428  2.57634627  
-2.46152521  2.58552605  
-2.42278735  2.59515691  
-2.38390325  2.60522541  
-2.34486581  2.61571743  
-2.30566826  2.62661821  
-2.26630420  2.63791227  
-2.22676755  2.64958348  
-2.18705259  2.66161505  
-2.14715394  2.67398948  
-2.10706657  2.68668862  
-2.06678580  2.69969365  
-2.02630727  2.71298505  
-1.98562699  2.72654266  
-1.94474132  2.74034562  
-1.90364694  2.75437239  
-1.86234089  2.76860079  
-1.82082056  2.78300794  
-1.77908367  2.79757028  
-1.73712830  2.81226359  
-1.69495288  2.82706299  
-1.65255615  2.84194288  
-1.60993725  2.85687703  
-1.56709561  2.87183852  
-1.52403105  2.88679975  
-1.48074371  2.90173245  
-1.43723408  2.91660768  
-1.39350299  2.93139583  
-1.34955164  2.94606659  
-1.30538154  2.96058900  
-1.26099445  2.97493272  
-1.21639133  2.98908471  
-1.17157588  3.00301638  
-1.12655286  3.01669300  
-1.08132732  3.03008108  
-1.03590455  3.04314837  
-0.99029015  3.05586390  
-0.94448998  3.06819793  
-0.89851016  3.08012196  
-0.85235709  3.09160878  
-0.80603746  3.10263239  
-0.75955821  3.11316806  
-0.71292657  3.12319231  
-0.66615003  3.13268292  
-0.61923636  3.14161889  
-0.57219359  3.14998051  
-0.52503006  3.15774929  
-0.47775433  3.16490802  
-0.43037528  3.17144070  
-0.38290203  3.17733263  
-0.33534400  3.18257032  
-0.28771086  3.18714156  
-0.24001257  3.19103536  
-0.19225935  3.19424202  
-0.14446169  3.19675306  
-0.09663038  3.19856126  
-0.04877646  3.19966065  
-0.00091124  3.20004652  
0.04695368   3.19971540  
0.09480645   3.19866508  
0.14263538   3.19689436  
0.19043271   3.19440470  
0.23818801   3.19120640  
0.28589019   3.18731175  
0.33352849   3.18273388  
0.38109249   3.17748680  
0.42857208   3.17158537  
0.47595752   3.16504530  
0.52323939   3.15788317  
0.57040858   3.15011641  
0.61745635   3.14176330  
0.66437428   3.13284301  
0.71115428   3.12337552  
0.75778860   3.11338171  
0.80426982   3.10288330  
0.85059086   3.09190285  
0.89674496   3.08046382  
0.94272572   3.06859049  
0.98852705   3.05630801  
1.03414321   3.04364240  
1.07956878   3.03062051  
1.12479869   3.01727008  
1.16982819   3.00361969  
1.21465287   2.98969877  
1.25926866   2.97553762  
1.30367181   2.96116741  
1.34785892   2.94662014  
1.39182692   2.93192867  
1.43557307   2.91712676  
1.47909497   2.90224896  
1.52239075   2.88732738  
1.56546076   2.87237537  
1.60830572   2.85741881  
1.65092649   2.84248596  
1.69332421   2.82760433  
1.73550030   2.81280074  
1.77745646   2.79810123  
1.81919466   2.78353116  
1.86071716   2.76911513  
1.90202649   2.75487702  
1.94312545   2.74084001  
1.98401714   2.72702650  
2.02470491   2.71345822  
2.06519242   2.70015612  
2.10548357   2.68714046  
2.14558257   2.67443076  
2.18549390   2.66204581  
2.22522230   2.65000366  
2.26477280   2.63832167  
2.30415072   2.62701643  
2.34336164   2.61610383  
2.38241143   2.60559903  
2.42130623   2.59551644  
2.46005245   2.58586977  
2.49865681   2.57667199  
2.53712626   2.56793533  
2.57546807   2.55967133  
2.61368976   2.55189075  
2.65179915   2.54460368  
2.68980432   2.53781943  
2.72771288   2.53154665  
2.76553030   2.52579323  
2.80326474   2.52056603  
2.84092469   2.51587126  
2.87851860   2.51171445  
2.91605488   2.50810049  
2.95354191   2.50503359  
2.99098806   2.50251733  
3.02840165   2.50055461  
3.06579096   2.49914768  
3.10316426   2.49829814  
3.14052978   2.49800692  
3.17789571   2.49827430  
3.21527023   2.49909991  
3.25266147   2.50048270  
3.29007752   2.50242099  
3.32752648   2.50491241  
3.36501637   2.50795398  
3.40255522   2.51154201  
3.44015099   2.51567219  
3.47781164   2.52033953  
3.51554509   2.52553841  
3.55335922   2.53126251  
3.59126188   2.53750490  
3.62926091   2.54425796  
3.66736408   2.55151342  
3.70557917   2.55926236  
3.74391390   2.56749519  
3.78237598   2.57620169  
3.82097306   2.58537094  
3.85971150   2.59499170  
3.89859511   2.60505187  
3.93763095   2.61553703  
3.97682597   2.62643206  
4.01618676   2.63772121  
4.05571955   2.64938806  
4.09543019   2.66141558  
4.13532421   2.67378608  
4.17540674   2.68648124  
4.21568260   2.69948209  
4.25615619   2.71276905  
4.29683161   2.72632186  
4.33771257   2.74011964  
4.37880241   2.75414088  
4.42010415   2.76836341  
4.46162042   2.78276442  
4.50335350   2.79732049  
4.54530530   2.81200753  
4.58747740   2.82680082  
4.62987100   2.84167500  
4.67248694   2.85660407  
4.71532570   2.87156139  
4.75838742   2.88651968  
4.80167186   2.90145102  
4.84517844   2.91632686  
4.88890619   2.93111800  
4.93285382   2.94579459  
4.97701966   2.96032616  
5.02140168   2.97468159  
5.06599750   2.98882912  
5.11080506   3.00274500  
5.15582168   3.01641281  
5.20104215   3.02979854  
5.24646094   3.04286896  
5.29207228   3.05559213  
5.33787013   3.06793745  
5.38384821   3.07987563  
5.42999996   3.09137871  
5.47631857   3.10242005  
5.52279698   3.11297432  
5.56942787   3.12301752  
5.61620366   3.13252697  
5.66311652   3.14148130  
5.71015834   3.14986048  
5.75732079   3.15764578  
5.80459526   3.16481980  
5.85197287   3.17136647  
5.89944452   3.17727102  
5.94700082   3.18252002  
5.99463213   3.18710134  
6.04232856   3.19100420  
6.09007996   3.19421912  
6.13787593   3.19673793  
6.18570579   3.19855380  
6.23355864   3.19966123  
6.28142328   3.20005600  
6.32928829   3.19973526  
