Tt           theta        dtheta/dt    Uw0^2/mg^2   Kw0^2/mg^2  
0.00000000   1.60000000   -0.00000000  1.43471218   -0.40551266 
0.00500000   1.59930342   -0.03731724  1.43422678   -0.40502726 
0.01000000   1.59721366   -0.07463595  1.43276953   -0.40357001 
0.01500000   1.59373063   -0.11195736  1.43033723   -0.40113771 
0.02000000   1.58885423   -0.14928231  1.42692461   -0.39772509 
0.02500000   1.58258430   -0.18661093  1.42252431   -0.39332479 
0.03000000   1.57492073   -0.22394253  1.41712695   -0.38792743 
0.03500000   1.56586343   -0.26127531  1.41072118   -0.38152166 
0.04000000   1.55541242   -0.29860617  1.40329377   -0.37409425 
0.04500000   1.54356784   -0.33593048  1.39482965   -0.36563013 
0.05000000   1.53033006   -0.37324188  1.38531208   -0.35611255 
0.05500000   1.51569970   -0.41053205  1.37472269   -0.34552317 
0.06000000   1.49967774   -0.44779052  1.36304171   -0.33384219 
0.06500000   1.48226560   -0.48500442  1.35024804   -0.32104851 
0.07000000   1.46346523   -0.52215833  1.33631947   -0.30711995 
0.07500000   1.44327920   -0.55923402  1.32123289   -0.29203337 
0.08000000   1.42171080   -0.59621034  1.30496447   -0.27576495 
0.08500000   1.39876420   -0.63306295  1.28748994   -0.25829042 
0.09000000   1.37444452   -0.66976423  1.26878482   -0.23958530 
0.09500000   1.34875798   -0.70628310  1.24882474   -0.21962522 
0.10000000   1.32171202   -0.74258488  1.22758574   -0.19838621 
0.10500000   1.29331545   -0.77863121  1.20504460   -0.17584508 
0.11000000   1.26357858   -0.81437994  1.18117922   -0.15197970 
0.11500000   1.23251338   -0.84978511  1.15596899   -0.12676947 
0.12000000   1.20013358   -0.88479690  1.12939519   -0.10019567 
0.12500000   1.16645486   -0.91936167  1.10144140   -0.07224188 
0.13000000   1.13149496   -0.95342204  1.07209396   -0.04289444 
0.13500000   1.09527386   -0.98691695  1.04134239   -0.01214287 
0.14000000   1.05781384   -1.01978188  1.00917984   0.02001968  
0.14500000   1.01913969   -1.05194901  0.97560357   0.05359595  
0.15000000   0.97927877   -1.08334750  0.94061535   0.08858417  
0.15500000   0.93826114   -1.11390384  0.90422192   0.12497760  
0.16000000   0.89611965   -1.14354220  0.86643539   0.16276414  
0.16500000   0.85289002   -1.17218488  0.82727362   0.20192590  
0.17000000   0.80861089   -1.19975281  0.78676059   0.24243893  
0.17500000   0.76332386   -1.22616610  0.74492667   0.28427285  
0.18000000   0.71707356   -1.25134462  0.70180887   0.32739066  
0.18500000   0.66990755   -1.27520868  0.65745103   0.37174849  
0.19000000   0.62187640   -1.29767969  0.61190396   0.41729556  
0.19500000   0.57303353   -1.31868088  0.56522542   0.46397410  
0.20000000   0.52343523   -1.33813803  0.51748011   0.51171941  
0.20500000   0.47314046   -1.35598020  0.46873954   0.56045998  
0.21000000   0.42221079   -1.37214049  0.41908176   0.61011776  
0.21500000   0.37071018   -1.38655676  0.36859110   0.66060842  
0.22000000   0.31870481   -1.39917230  0.31735770   0.71184183  
0.22500000   0.26626287   -1.40993652  0.26547703   0.76372249  
0.23000000   0.21345433   -1.41880549  0.21304933   0.81615019  
0.23500000   0.16035065   -1.42574253  0.16017891   0.86902061  
0.24000000   0.10702451   -1.43071861  0.10697344   0.92222609  
0.24500000   0.05354954   -1.43371272  0.05354314   0.97565638  
0.25000000   0.00000000   -1.43471218  0.00000000   1.02919952  
0.25500000   -0.05354954  -1.43371272  -0.05354314  1.08274266  
0.26000000   -0.10702451  -1.43071861  -0.10697344  1.13617296  
0.26500000   -0.16035065  -1.42574253  -0.16017891  1.18937843  
0.27000000   -0.21345433  -1.41880549  -0.21304933  1.24224885  
0.27500000   -0.26626287  -1.40993652  -0.26547703  1.29467655  
0.28000000   -0.31870481  -1.39917230  -0.31735770  1.34655722  
0.28500000   -0.37071018  -1.38655676  -0.36859110  1.39779062  
0.29000000   -0.42221079  -1.37214049  -0.41908176  1.44828129  
0.29500000   -0.47314046  -1.35598020  -0.46873954  1.49793906  
0.30000000   -0.52343523  -1.33813803  -0.51748011  1.54667963  
0.30500000   -0.57303353  -1.31868088  -0.56522542  1.59442494  
0.31000000   -0.62187640  -1.29767969  -0.61190396  1.64110348  
0.31500000   -0.66990755  -1.27520868  -0.65745103  1.68665055  
0.32000000   -0.71707356  -1.25134462  -0.70180887  1.73100839  
0.32500000   -0.76332386  -1.22616610  -0.74492667  1.77412619  
0.33000000   -0.80861089  -1.19975281  -0.78676059  1.81596012  
0.33500000   -0.85289002  -1.17218488  -0.82727362  1.85647314  
0.34000000   -0.89611965  -1.14354220  -0.86643539  1.89563491  
0.34500000   -0.93826114  -1.11390384  -0.90422192  1.93342144  
0.35000000   -0.97927877  -1.08334750  -0.94061535  1.96981487  
0.35500000   -1.01913969  -1.05194901  -0.97560357  2.00480310  
0.36000000   -1.05781384  -1.01978188  -1.00917984  2.03837937  
0.36500000   -1.09527386  -0.98691695  -1.04134239  2.07054191  
0.37000000   -1.13149496  -0.95342204  -1.07209396  2.10129348  
0.37500000   -1.16645486  -0.91936167  -1.10144140  2.13064092  
0.38000000   -1.20013358  -0.88479690  -1.12939519  2.15859471  
0.38500000   -1.23251338  -0.84978511  -1.15596899  2.18516852  
0.39000000   -1.26357858  -0.81437994  -1.18117922  2.21037874  
0.39500000   -1.29331545  -0.77863121  -1.20504460  2.23424412  
0.40000000   -1.32171202  -0.74258488  -1.22758574  2.25678526  
0.40500000   -1.34875798  -0.70628310  -1.24882474  2.27802426  
0.41000000   -1.37444452  -0.66976423  -1.26878482  2.29798434  
0.41500000   -1.39876420  -0.63306295  -1.28748994  2.31668946  
0.42000000   -1.42171080  -0.59621034  -1.30496447  2.33416400  
0.42500000   -1.44327920  -0.55923402  -1.32123289  2.35043241  
0.43000000   -1.46346523  -0.52215833  -1.33631947  2.36551899  
0.43500000   -1.48226560  -0.48500442  -1.35024804  2.37944756  
0.44000000   -1.49967774  -0.44779052  -1.36304171  2.39224123  
0.44500000   -1.51569970  -0.41053205  -1.37472269  2.40392221  
0.45000000   -1.53033006  -0.37324188  -1.38531208  2.41451160  
0.45500000   -1.54356784  -0.33593048  -1.39482965  2.42402917  
0.46000000   -1.55541242  -0.29860617  -1.40329377  2.43249329  
0.46500000   -1.56586343  -0.26127531  -1.41072118  2.43992071  
0.47000000   -1.57492073  -0.22394253  -1.41712695  2.44632647  
0.47500000   -1.58258430  -0.18661093  -1.42252431  2.45172383  
0.48000000   -1.58885423  -0.14928231  -1.42692461  2.45612413  
0.48500000   -1.59373063  -0.11195736  -1.43033723  2.45953675  
0.49000000   -1.59721366  -0.07463595  -1.43276953  2.46196905  
