time         theta        dtheta/dt   
0.00000000   0.00000000   2.00100000  
0.00836120   0.16174688   1.99446633  
0.01672241   0.32244206   1.97507716  
0.02508361   0.48106768   1.94345151  
0.03344482   0.63667096   1.90056828  
0.04180602   0.78839053   1.84769489  
0.05016722   0.93547638   1.78630096  
0.05852843   1.07730253   1.71796752  
0.06688963   1.21337252   1.64430077  
0.07525084   1.34331833   1.56685782  
0.08361204   1.46689391   1.48708848  
0.09197324   1.58396479   1.40629472  
0.10033445   1.69449502   1.32560705  
0.10869565   1.79853285   1.24597547  
0.11705686   1.89619613   1.16817196  
0.12541806   1.98765834   1.09280127  
0.13377926   2.07313566   1.02031693  
0.14214047   2.15287548   0.95104008  
0.15050167   2.22714648   0.88517916  
0.15886288   2.29623030   0.82284907  
0.16722408   2.36041468   0.76408887  
0.17558528   2.41998803   0.70887771  
0.18394649   2.47523510   0.65714859  
0.19230769   2.52643374   0.60880005  
0.20066890   2.57385254   0.56370589  
0.20903010   2.61774917   0.52172306  
0.21739130   2.65836924   0.48269802  
0.22575251   2.69594567   0.44647178  
0.23411371   2.73069845   0.41288371  
0.24247492   2.76283461   0.38177457  
0.25083612   2.79254842   0.35298863  
0.25919732   2.82002173   0.32637528  
0.26755853   2.84542448   0.30179015  
0.27591973   2.86891516   0.27909578  
0.28428094   2.89064149   0.25816211  
0.29264214   2.91074092   0.23886664  
0.30100334   2.92934132   0.22109445  
0.30936455   2.94656156   0.20473816  
0.31772575   2.96251211   0.18969772  
0.32608696   2.97729567   0.17588017  
0.33444816   2.99100764   0.16319936  
0.34280936   3.00373675   0.15157563  
0.35117057   3.01556553   0.14093554  
0.35953177   3.02657079   0.13121146  
0.36789298   3.03682413   0.12234135  
0.37625418   3.04639231   0.11426838  
0.38461538   3.05533770   0.10694067  
0.39297659   3.06371867   0.10031099  
0.40133779   3.07158994   0.09433652  
0.40969900   3.07900294   0.08897861  
0.41806020   3.08600614   0.08420253  
0.42642140   3.09264533   0.07997726  
0.43478261   3.09896396   0.07627536  
0.44314381   3.10500338   0.07307274  
0.45150502   3.11080313   0.07034856  
0.45986622   3.11640118   0.06808507  
0.46822742   3.12183421   0.06626751  
0.47658863   3.12713778   0.06488405  
0.48494983   3.13234666   0.06392564  
0.49331104   3.13749496   0.06338605  
0.50167224   3.14261641   0.06326174  
0.51003344   3.14774457   0.06355192  
0.51839465   3.15291303   0.06425846  
0.52675585   3.15815566   0.06538598  
0.53511706   3.16350680   0.06694185  
0.54347826   3.16900151   0.06893619  
0.55183946   3.17467578   0.07138202  
0.56020067   3.18056676   0.07429528  
0.56856187   3.18671302   0.07769493  
0.57692308   3.19315480   0.08160310  
0.58528428   3.19993426   0.08604521  
0.59364548   3.20709574   0.09105010  
0.60200669   3.21468608   0.09665025  
0.61036789   3.22275488   0.10288193  
0.61872910   3.23135485   0.10978544  
0.62709030   3.24054214   0.11740534  
0.63545151   3.25037665   0.12579067  
0.64381271   3.26092249   0.13499526  
0.65217391   3.27224829   0.14507800  
0.66053512   3.28442768   0.15610311  
0.66889632   3.29753969   0.16814051  
0.67725753   3.31166928   0.18126611  
0.68561873   3.32690779   0.19556210  
0.69397993   3.34335348   0.21111733  
0.70234114   3.36111207   0.22802757  
0.71070234   3.38029732   0.24639577  
0.71906355   3.40103164   0.26633231  
0.72742475   3.42344666   0.28795513  
0.73578595   3.44768385   0.31138977  
0.74414716   3.47389518   0.33676930  
0.75250836   3.50224364   0.36423399  
0.76086957   3.53290388   0.39393082  
0.76923077   3.56606267   0.42601261  
0.77759197   3.60191935   0.46063670  
0.78595318   3.64068610   0.49796320  
0.79431438   3.68258812   0.53815249  
0.80267559   3.72786346   0.58136189  
0.81103679   3.77676264   0.62774142  
0.81939799   3.82954785   0.67742823  
0.82775920   3.88649164   0.73053968  
0.83612040   3.94787495   0.78716472  
0.84448161   4.01398442   0.84735340  
0.85284281   4.08510879   0.91110438  
0.86120401   4.16153407   0.97835028  
0.86956522   4.24353764   1.04894101  
0.87792642   4.33138074   1.12262541  
0.88628763   4.42529956   1.19903172  
0.89464883   4.52549465   1.27764807  
0.90301003   4.63211887   1.35780452  
0.91137124   4.74526396   1.43865879  
0.91973244   4.86494624   1.51918839  
0.92809365   4.99109203   1.59819240  
0.93645485   5.12352367   1.67430595  
0.94481605   5.26194739   1.74603047  
0.95317726   5.40594429   1.81178126  
0.96153846   5.55496588   1.86995248  
0.96989967   5.70833554   1.91899687  
0.97826087   5.86525676   1.95751482  
0.98662207   6.02482884   1.98434457  
0.99498328   6.18606947   1.99864377  
1.00334448   6.34794332   1.99995222  
1.01170569   6.50939457   1.98822740  
1.02006689   6.66938108   1.96384785  
1.02842809   6.82690751   1.92758373  
1.03678930   6.98105481   1.88053900  
1.04515050   7.13100415   1.82407277  
1.05351171   7.27605403   1.75971008  
1.06187291   7.41563001   1.68905181  
1.07023411   7.54928747   1.61369262  
