Tt           theta        dtheta/dt    Uw0^2/mg^2   Kw0^2/mg^2  
0.00000000   0.90000000   -0.00000000  0.86993107   -0.49154104 
0.00500000   0.89957132   -0.02591291  0.86954504   -0.49115501 
0.01000000   0.89828557   -0.05180817  0.86838700   -0.48999697 
0.01500000   0.89614363   -0.07766810  0.86645700   -0.48806697 
0.02000000   0.89314696   -0.10347492  0.86375518   -0.48536514 
0.02500000   0.88929762   -0.12921071  0.86028173   -0.48189170 
0.03000000   0.88459825   -0.15485739  0.85603695   -0.47764691 
0.03500000   0.87905210   -0.18039665  0.85102122   -0.47263118 
0.04000000   0.87266303   -0.20580994  0.84523508   -0.46684504 
0.04500000   0.86543552   -0.23107839  0.83867922   -0.46028919 
0.05000000   0.85737469   -0.25618283  0.83135457   -0.45296454 
0.05500000   0.84848627   -0.28110374  0.82326226   -0.44487223 
0.06000000   0.83877667   -0.30582119  0.81440375   -0.43601372 
0.06500000   0.82825296   -0.33031487  0.80478081   -0.42639078 
0.07000000   0.81692288   -0.35456405  0.79439562   -0.41600559 
0.07500000   0.80479486   -0.37854755  0.78325080   -0.40486077 
0.08000000   0.79187806   -0.40224376  0.77134948   -0.39295945 
0.08500000   0.77818234   -0.42563063  0.75869534   -0.38030531 
0.09000000   0.76371831   -0.44868567  0.74529271   -0.36690268 
0.09500000   0.74849732   -0.47138596  0.73114660   -0.35275656 
0.10000000   0.73253150   -0.49370815  0.71626275   -0.33787272 
0.10500000   0.71583374   -0.51562854  0.70064775   -0.32225772 
0.11000000   0.69841774   -0.53712304  0.68430907   -0.30591904 
0.11500000   0.68029799   -0.55816725  0.66725511   -0.28886508 
0.12000000   0.66148980   -0.57873650  0.64949529   -0.27110526 
0.12500000   0.64200928   -0.59880587  0.63104009   -0.25265005 
0.13000000   0.62187340   -0.61835030  0.61190111   -0.23351108 
0.13500000   0.60109994   -0.63734461  0.59209113   -0.21370110 
0.14000000   0.57970750   -0.65576359  0.57162416   -0.19323413 
0.14500000   0.55771556   -0.67358206  0.55051546   -0.17212543 
0.15000000   0.53514438   -0.69077499  0.52878160   -0.15039157 
0.15500000   0.51201507   -0.70731755  0.50644047   -0.12805044 
0.16000000   0.48834956   -0.72318521  0.48351133   -0.10512130 
0.16500000   0.46417058   -0.73835387  0.46001481   -0.08162478 
0.17000000   0.43950164   -0.75279991  0.43597289   -0.05758286 
0.17500000   0.41436704   -0.76650032  0.41140894   -0.03301891 
0.18000000   0.38879181   -0.77943282  0.38634771   -0.00795767 
0.18500000   0.36280172   -0.79157591  0.36081525   0.01757479  
0.19000000   0.33642322   -0.80290905  0.33483894   0.04355109  
0.19500000   0.30968344   -0.81341271  0.30844743   0.06994260  
0.20000000   0.28261014   -0.82306849  0.28167059   0.09671944  
0.20500000   0.25523164   -0.83185921  0.25453943   0.12385060  
0.21000000   0.22757684   -0.83976901  0.22708605   0.15130398  
0.21500000   0.19967512   -0.84678344  0.19934358   0.17904646  
