time         theta        dtheta/dt   
1.22073579   7.74098963   3.77167118  
1.22909699   7.79405209   3.75763055  
1.23745819   7.84691629   3.74354519  
1.24581940   7.89958188   3.72945453  
1.25418060   7.95204905   3.71539761  
1.26254181   8.00431855   3.70141290  
1.27090301   8.05639167   3.68753827  
1.27926421   8.10827023   3.67381084  
1.28762542   8.15995655   3.66026694  
1.29598662   8.21145347   3.64694200  
1.30434783   8.26276432   3.63387050  
1.31270903   8.31389292   3.62108586  
1.32107023   8.36484353   3.60862043  
1.32943144   8.41562087   3.59650543  
1.33779264   8.46623010   3.58477085  
1.34615385   8.51667679   3.57344546  
1.35451505   8.56696689   3.56255673  
1.36287625   8.61710674   3.55213083  
1.37123746   8.66710306   3.54219258  
1.37959866   8.71696286   3.53276542  
1.38795987   8.76669353   3.52387138  
1.39632107   8.81630271   3.51553110  
1.40468227   8.86579836   3.50776376  
1.41304348   8.91518867   3.50058711  
1.42140468   8.96448208   3.49401743  
1.42976589   9.01368726   3.48806952  
1.43812709   9.06281306   3.48275671  
1.44648829   9.11186853   3.47809086  
1.45484950   9.16086286   3.47408230  
1.46321070   9.20980537   3.47073991  
1.47157191   9.25870550   3.46807104  
1.47993311   9.30757281   3.46608155  
1.48829431   9.35641688   3.46477581  
1.49665552   9.40524739   3.46415667  
1.50501672   9.45407401   3.46422548  
1.51337793   9.50290646   3.46498210  
1.52173913   9.55175441   3.46642487  
1.53010033   9.60062751   3.46855063  
1.53846154   9.64953536   3.47135472  
1.54682274   9.69848748   3.47483098  
1.55518395   9.74749329   3.47897175  
1.56354515   9.79656210   3.48376788  
1.57190635   9.84570306   3.48920870  
1.58026756   9.89492519   3.49528208  
1.58862876   9.94423729   3.50197439  
1.59698997   9.99364800   3.50927052  
1.60535117   10.04316570  3.51715391  
1.61371237   10.09279856  3.52560653  
1.62207358   10.14255445  3.53460888  
1.63043478   10.19244098  3.54414008  
1.63879599   10.24246545  3.55417778  
1.64715719   10.29263483  3.56469827  
1.65551839   10.34295575  3.57567647  
1.66387960   10.39343448  3.58708594  
1.67224080   10.44407690  3.59889894  
1.68060201   10.49488850  3.61108647  
1.68896321   10.54587434  3.62361827  
1.69732441   10.59703906  3.63646290  
1.70568562   10.64838684  3.64958781  
1.71404682   10.69992139  3.66295933  
1.72240803   10.75164594  3.67654280  
1.73076923   10.80356324  3.69030260  
1.73913043   10.85567551  3.70420224  
1.74749164   10.90798446  3.71820444  
1.75585284   10.96049127  3.73227121  
1.76421405   11.01319658  3.74636394  
1.77257525   11.06610048  3.76044352  
1.78093645   11.11920251  3.77447044  
1.78929766   11.17250163  3.78840487  
1.79765886   11.22599628  3.80220683  
1.80602007   11.27968429  3.81583628  
1.81438127   11.33356296  3.82925325  
1.82274247   11.38762901  3.84241800  
1.83110368   11.44187861  3.85529112  
1.83946488   11.49630737  3.86783369  
1.84782609   11.55091035  3.88000745  
1.85618729   11.60568211  3.89177487  
1.86454849   11.66061665  3.90309940  
1.87290970   11.71570747  3.91394553  
1.88127090   11.77094760  3.92427897  
1.88963211   11.82632957  3.93406682  
1.89799331   11.88184547  3.94327767  
1.90635452   11.93748695  3.95188175  
1.91471572   11.99324526  3.95985109  
1.92307692   12.04911128  3.96715961  
1.93143813   12.10507550  3.97378328  
1.93979933   12.16112813  3.97970020  
1.94816054   12.21725906  3.98489071  
1.95652174   12.27345793  3.98933752  
1.96488294   12.32971415  3.99302575  
1.97324415   12.38601693  3.99594302  
1.98160535   12.44235533  3.99807953  
1.98996656   12.49871831  3.99942807  
1.99832776   12.55509471  3.99998411  
2.00668896   12.61147335  3.99974575  
2.01505017   12.66784303  3.99871382  
2.02341137   12.72419260  3.99689178  
2.03177258   12.78051095  3.99428578  
2.04013378   12.83678709  3.99090459  
2.04849498   12.89301018  3.98675957  
2.05685619   12.94916955  3.98186459  
2.06521739   13.00525472  3.97623601  
2.07357860   13.06125551  3.96989254  
2.08193980   13.11716196  3.96285519  
2.09030100   13.17296447  3.95514716  
2.09866221   13.22865376  3.94679372  
2.10702341   13.28422091  3.93782211  
2.11538462   13.33965743  3.92826138  
2.12374582   13.39495521  3.91814230  
2.13210702   13.45010662  3.90749721  
2.14046823   13.50510448  3.89635985  
2.14882943   13.55994210  3.88476525  
2.15719064   13.61461328  3.87274957  
2.16555184   13.66911235  3.86034997  
2.17391304   13.72343417  3.84760444  
2.18227425   13.77757413  3.83455163  
