theta        omega       
-6.28318531  2.10000000  
-6.21260158  2.09881395  
-6.14209739  2.09526297  
-6.07175213  2.08936890  
-6.00164410  2.08116737  
-5.93184985  2.07070727  
-5.86244423  2.05805076  
-5.79351499  2.04326697  
-5.72514237  2.02645054  
-5.65738622  2.00771205  
-5.59030322  1.98716242  
-5.52394684  1.96491292  
-5.45836738  1.94107515  
-5.39361192  1.91576103  
-5.32972434  1.88908285  
-5.26674536  1.86115320  
-5.20471246  1.83208503  
-5.14365995  1.80199163  
-5.08361895  1.77098661  
-5.02461737  1.73918392  
-4.96667992  1.70669785  
-4.90982815  1.67364304  
-4.85408037  1.64013445  
-4.79945171  1.60628737  
-4.74595413  1.57221745  
-4.69359635  1.53804065  
-4.64238393  1.50387329  
-4.59231923  1.46983202  
-4.54340139  1.43603382  
-4.49562638  1.40259601  
-4.44898698  1.36963624  
-4.40347274  1.33727252  
-4.35905287  1.30549485  
-4.31569231  1.27424027  
-4.27337142  1.24354567  
-4.23206997  1.21344548  
-4.19176713  1.18397160  
-4.15244150  1.15515349  
-4.11407108  1.12701806  
-4.07663328  1.09958979  
-4.04010493  1.07289064  
-4.00446227  1.04694007  
-3.96968094  1.02175508  
-3.93573602  0.99735016  
-3.90260197  0.97373732  
-3.87025268  0.95092607  
-3.83866145  0.92892344  
-3.80780098  0.90773397  
-3.77764340  0.88735970  
-3.74816024  0.86780020  
-3.71932245  0.84905254  
-3.69110038  0.83111128  
-3.66346379  0.81396853  
-3.63638184  0.79761391  
-3.60981786  0.78203972  
-3.58374391  0.76724332  
-3.55813858  0.75322133  
-3.53298022  0.73997041  
-3.50824693  0.72748723  
-3.48391656  0.71576853  
-3.45996672  0.70481109  
-3.43637476  0.69461171  
-3.41311779  0.68516725  
-3.39017267  0.67647459  
-3.36751602  0.66853067  
-3.34512420  0.66133247  
-3.32297332  0.65487698  
-3.30103926  0.64916127  
-3.27929763  0.64418242  
-3.25772381  0.63993757  
-3.23629291  0.63642389  
-3.21497983  0.63363859  
-3.19375918  0.63157892  
-3.17260535  0.63024217  
-3.15149248  0.62962568  
-3.13039443  0.62972681  
-3.10928486  0.63054298  
-3.08813714  0.63207163  
-3.06692443  0.63431027  
-3.04561961  0.63725643  
-3.02419533  0.64090766  
-3.00262398  0.64526159  
-2.98087772  0.65031587  
-2.95892894  0.65606842  
-2.93676913  0.66252871  
-2.91438214  0.66971079  
-2.89174226  0.67762513  
-2.86882376  0.68628150  
-2.84560081  0.69568891  
-2.82204753  0.70585562  
-2.79813798  0.71678918  
-2.77384614  0.72849639  
-2.74914594  0.74098331  
-2.72401125  0.75425527  
-2.69841586  0.76831684  
-2.67233352  0.78317189  
-2.64573790  0.79882352  
-2.61860261  0.81527411  
-2.59090120  0.83252529  
-2.56260715  0.85057797  
-2.53369387  0.86943230  
-2.50413473  0.88908771  
-2.47390302  0.90954288  
-2.44297197  0.93079576  
-2.41131474  0.95284357  
-2.37890444  0.97568277  
-2.34571410  0.99930910  
-2.31171671  1.02371756  
-2.27688517  1.04890241  
-2.24119233  1.07485717  
-2.20461881  1.10156439  
-2.16717168  1.12896637  
-2.12881778  1.15704956  
-2.08952097  1.18580192  
-2.04924820  1.21520547  
-2.00796949  1.24523623  
-1.96565793  1.27586424  
-1.92228969  1.30705356  
-1.87784404  1.33876229  
-1.83230331  1.37094253  
-1.78565290  1.40354043  
-1.73788130  1.43649615  
-1.68898009  1.46974385  
-1.63894389  1.50321175  
-1.58777045  1.53682206  
-1.53546055  1.57049104  
-1.48201808  1.60412896  
-1.42744999  1.63764011  
-1.37176633  1.67092280  
-1.31498019  1.70386937  
-1.25710778  1.73636618  
-1.19816836  1.76829362  
-1.13818428  1.79952608  
-1.07718096  1.82993200  
-1.01518692  1.85937383  
-0.95223372  1.88770804  
-0.88835604  1.91478513  
-0.82359161  1.94044961  
-0.75798124  1.96454002  
-0.69156884  1.98689023  
-0.62440731  2.00747987  
-0.55656923  2.02626768  
-0.48813059  2.04313123  
-0.41916718  2.05796237  
-0.34975469  2.07066720  
-0.27996863  2.08116613  
-0.20988437  2.08939381  
-0.13957711  2.09529916  
-0.06912193  2.09884540  
0.00140628   2.10000998  
0.07193273   2.09878467  
0.14238284   2.09517546  
0.21268213   2.08920264  
0.28275630   2.08090078  
0.35253119   2.07031870  
0.42193280   2.05751951  
0.49088728   2.04258056  
0.55932091   2.02559351  
0.62716016   2.00666427  
0.69433161   1.98591302  
