time         theta        dtheta/dt    Uw0^2/mg^2   Kw0^2/mg^2  
0.00000000   2.40000000   -0.00000000  1.86407817   -0.12668446 
0.12500000   2.39471788   -0.08459489  1.86215766   -0.12476394 
0.25000000   2.37881090   -0.17015826  1.85629567   -0.11890195 
0.37500000   2.35209831   -0.25764043  1.84618765   -0.10879394 
0.50000000   2.31428281   -0.34795186  1.83131563   -0.09392191 
0.62500000   2.26495724   -0.44193431  1.81093388   -0.07354016 
0.75000000   2.20361551   -0.54032088  1.78405179   -0.04665807 
0.87500000   2.12966946   -0.64368097  1.74941769   -0.01202397 
1.00000000   2.04247375   -0.75234637  1.70550942   0.03188430  
1.12500000   1.94136124   -0.86631594  1.65054055   0.08685316  
1.25000000   1.82569173   -0.98513910  1.58249435   0.15489936  
1.37500000   1.69491625   -1.10778359  1.49920077   0.23819295  
1.50000000   1.54865828   -1.23250149  1.39847328   0.33892043  
1.62500000   1.38681049   -1.35671905  1.27831954   0.45907418  
1.75000000   1.20964185   -1.47698896  1.13722955   0.60016416  
1.87500000   1.01790432   -1.58905271  0.97452497   0.76286875  
2.00000000   0.81292241   -1.68805956  0.79072267   0.94667104  
2.12500000   0.59664412   -1.76896554  0.58783359   1.14956012  
2.25000000   0.37163163   -1.82709047  0.36949673   1.36789699  
2.37500000   0.14097650   -1.85874849  0.14085979   1.59653393  
2.50000000   -0.09186147  -1.86181493  -0.09182917  1.82922289  
2.62500000   -0.32327439  -1.83607954  -0.32186855  2.05926227  
2.75000000   -0.54975143  -1.78328244  -0.54285464  2.28024836  
2.87500000   -0.76810745  -1.70682194  -0.74936392  2.48675764  
3.00000000   -0.97565872  -1.61122092  -0.93741911  2.67481282  
3.12500000   -1.17032437  -1.50149706  -1.10466918  2.84206290  
3.25000000   -1.35065074  -1.38258122  -1.25030261  2.98769632  
3.37500000   -1.51577144  -1.25888112  -1.37477480  3.11216852  
3.50000000   -1.66532410  -1.13402527  -1.47945061  3.21684433  
3.62500000   -1.79934567  -1.01077088  -1.56624700  3.30364071  
3.75000000   -1.91816435  -0.89103254  -1.63732967  3.37472338  
3.87500000   -2.02230001  -0.77598284  -1.69488586  3.43227957  
4.00000000   -2.11237950  -0.66618385  -1.74097286  3.47836658  
4.12500000   -2.18906882  -0.56172129  -1.77742978  3.51482350  
4.25000000   -2.25302127  -0.46232498  -1.80583583  3.54322955  
4.37500000   -2.30483948  -0.36746887  -1.82749940  3.56489312  
4.50000000   -2.34504850  -0.27644926  -1.84346501  3.58085872  
4.62500000   -2.37407748  -0.18844357  -1.85452863  3.59192235  
4.75000000   -2.39224759  -0.10255312  -1.86125503  3.59864875  
4.87500000   -2.39976460  -0.01783403  -1.86399286  3.60138657  
5.00000000   -2.39671465  0.06667992   -1.86288519  3.60027890  
5.12500000   -2.38306273  0.15195869   -1.85787405  3.59526777  
5.25000000   -2.35865324  0.23895804   -1.84869859  3.58609231  
5.37500000   -2.32321307  0.32859898   -1.83488696  3.57228067  
5.50000000   -2.27635750  0.42174066   -1.81574289  3.55313661  
5.62500000   -2.21760016  0.51914316   -1.79032897  3.52772268  
5.75000000   -2.14636848  0.62141591   -1.75744977  3.49484349  
5.87500000   -2.06202662  0.72894809   -1.71564044  3.45303415  
6.00000000   -1.96390847  0.84181791   -1.66316867  3.40056239  
6.12500000   -1.85136335  0.95968034   -1.59806166  3.33545538  
6.25000000   -1.72381682  1.08163736   -1.51817260  3.25556632  
6.37500000   -1.58084837  1.20610269   -1.42130353  3.15869725  
6.50000000   -1.42228510  1.33068375   -1.30539962  3.04279334  
6.62500000   -1.24830740  1.45211699   -1.16882149  2.90621521  
6.75000000   -1.05955689  1.56630284   -1.01068434  2.74807805  
6.87500000   -0.85723126  1.66848851   -0.83122412  2.56861783  
7.00000000   -0.64314529  1.75362890   -0.63211796  2.36951168  
7.12500000   -0.41973583  1.81691516   -0.41666143  2.15405514  
7.25000000   -0.18999362  1.85439972   -0.18970799  1.92710171  
7.37500000   0.04268251   1.86358952   0.04267927   1.69471444  
7.50000000   0.27469580   1.84385546   0.27383295   1.46356077  
7.62500000   0.50249467   1.79653975   0.49722465   1.24016906  
7.75000000   0.72280834   1.72472879   0.70717609   1.03021763  
7.87500000   0.93283607   1.63275953   0.89937965   0.83801407  
8.00000000   1.13036516   1.52559709   1.07114003   0.66625369  
8.12500000   1.31381092   1.40823281   1.22133852   0.51605520  
8.25000000   1.48218875   1.28521235   1.35019134   0.38720238  
8.37500000   1.63503813   1.16034141   1.45890207   0.27849165  
8.50000000   1.77232079   1.03656215   1.54929866   0.18809505  
8.62500000   1.89431213   0.91596046   1.62351590   0.11387782  
8.75000000   2.00149914   0.79985521   1.68375149   0.05364223  
8.87500000   2.09449230   0.68892603   1.73209941   0.00529431  
9.00000000   2.17395417   0.58334858   1.77044962   -0.03305591 
9.12500000   2.24054431   0.48291880   1.80043797   -0.06304425 
9.25000000   2.29487865   0.38715742   1.82342989   -0.08603617 
9.37500000   2.33750038   0.29539279   1.84052453   -0.10313081 
9.50000000   2.36886009   0.20682338   1.85256890   -0.11517518 
9.62500000   2.38930253   0.12056368   1.86017521   -0.12278150 
9.75000000   2.39905827   0.03567723   1.86373672   -0.12634301 
9.87500000   2.39823894   -0.04879912  1.86343931   -0.12604560 
10.00000000  2.38683512   -0.13383598  1.85926743   -0.12187371 
10.12500000  2.36471653   -0.22039370  1.85100352   -0.11360981 
10.25000000  2.33163449   -0.30940260  1.83822128   -0.10082756 
10.37500000  2.28722717   -0.40173760  1.82027315   -0.08287943 
10.50000000  2.23102861   -0.49818346  1.79627411   -0.05888039 
10.62500000  2.16248281   -0.59938655  1.76508447   -0.02769076 
10.75000000  2.08096492   -0.70578940  1.72529671   0.01209700  
10.87500000  1.98581190   -0.81754454  1.67523382   0.06215989  
11.00000000  1.87636526   -0.93440667  1.61296981   0.12442390  
11.12500000  1.75202860   -1.05560591  1.53638654   0.20100718  
11.25000000  1.61234156   -1.17971219  1.44328326   0.29411045  
11.37500000  1.45707048   -1.30451108  1.33155483   0.40583888  
11.50000000  1.28631199   -1.42692415  1.19944775   0.53794597  
11.62500000  1.10060170   -1.54301881  1.04588737   0.69150635  
11.75000000  0.90101328   -1.64815633  0.87084336   0.86655036  
11.87500000  0.68922856   -1.73731434  0.67566732   1.06172639  
12.00000000  0.46755606   -1.80558365  0.46330886   1.27408486  
12.12500000  0.23887916   -1.84878204  0.23831160   1.49908212  
12.25000000  0.00652617   -1.86406675  0.00652616   1.73086756  
12.37500000  -0.22592819  -1.85039472  -0.22544799  1.96284171  
12.50000000  -0.45490232  -1.80869990  -0.45099013  2.18838384  
12.62500000  -0.67704829  -1.74173423  -0.66419072  2.40158443  
12.75000000  -0.88945364  -1.65362040  -0.86042258  2.59781630  
12.87500000  -1.08977559  -1.54924371  -1.03664427  2.77403799  
13.00000000  -1.27629709  -1.43363482  -1.19141875  2.92881247  
13.12500000  -1.44791188  -1.31146417  -1.32470720  3.06210092  
13.25000000  -1.60405666  -1.18670933  -1.43753553  3.17492925  
13.37500000  -1.74461307  -1.06249789  -1.53162843  3.26902215  
13.50000000  -1.86979911  -0.94109121  -1.60907885  3.34647257  
13.62500000  -1.98006495  -0.82396025  -1.67208760  3.40948131  
13.75000000  -2.07600153  -0.71190827  -1.72278090  3.46017462  
13.87500000  -2.15826551  -0.60520647  -1.76309743  3.50049115  
14.00000000  -2.22752092  -0.50372153  -1.79472896  3.53212268  
14.12500000  -2.28439568  -0.40702472  -1.81909821  3.55649193  
14.25000000  -2.32945027  -0.31447915  -1.83735960  3.57475331  
14.37500000  -2.36315613  -0.22530640  -1.85041197  3.58780568  
14.50000000  -2.38588119  -0.13863559  -1.85891571  3.59630942  
14.62500000  -2.39788065  -0.05353874  -1.86330916  3.60070288  
14.75000000  -2.39929151  0.03094336   -1.86382133  3.60121504  
14.87500000  -2.39012998  0.11578122   -1.86047901  3.59787272  
15.00000000  -2.37029118  0.20193889   -1.85310769  3.59050141  
15.12500000  -2.33955109  0.29035491   -1.84132601  3.57871972  
15.25000000  -2.29757119  0.38191840   -1.82453440  3.56192811  
15.37500000  -2.24390653  0.47743667   -1.80189946  3.53929317  
15.50000000  -2.17801863  0.57759016   -1.77233661  3.50973032  
15.62500000  -2.09929499  0.68287086   -1.73449555  3.47188927  
15.75000000  -2.00707751  0.79350084   -1.68675542  3.42414914  
15.87500000  -1.90070251  0.90932881   -1.62723955  3.36463326  
16.00000000  -1.77955484  1.02970693   -1.55386327  3.29125699  
16.12500000  -1.64313844  1.15335570   -1.46443097  3.20182468  
16.25000000  -1.49116345  1.27823508   -1.35679863  3.09419234  
16.37500000  -1.32364771  1.40145206   -1.22911332  2.96650704  
16.50000000  -1.14102526  1.51924746   -1.08012712  2.81752084  
16.62500000  -0.94424899  1.62711101   -0.90955879  2.64695251  
16.75000000  -0.73486869  1.72006542   -0.71844443  2.45583814  
16.87500000  -0.51506224  1.79312899   -0.50938774  2.24678146  
17.00000000  -0.28759982  1.84191268   -0.28660966  2.02400337  
17.12500000  -0.05573031  1.86324512   -0.05572310  1.79311681  
17.25000000  0.17700450   1.85567738   0.17677352   1.56062020  
17.37500000  0.40700380   1.81972786   0.40420040   1.33319331  
17.50000000  0.63085167   1.75779360   0.62044265   1.11695106  
17.62500000  0.84552995   1.67375537   0.82056712   0.91682660  
17.75000000  1.04856822   1.57239067   1.00118680   0.73620692  
17.87500000  1.23811638   1.45874667   1.16053677   0.57685695  
18.00000000  1.41294335   1.33760379   1.29830794   0.43908577  
18.12500000  1.57237866   1.21310460   1.41533200   0.32206172  
18.25000000  1.71621890   1.08856158   1.51321549   0.22417823  
18.37500000  1.84462004   0.96641508   1.59399791   0.14339581  
18.50000000  1.95799136   0.84829374   1.65987504   0.07751867  
18.62500000  2.05690085   0.73513060   1.71300042   0.02439330  
18.75000000  2.14199671   0.62729810   1.75535880   -0.01796509 
18.87500000  2.21394552   0.52473858   1.78869697   -0.05130326 
19.00000000  2.27338577   0.42707768   1.81449499   -0.07710128 
19.12500000  2.32089429   0.33371628   1.83396316   -0.09656945 
19.25000000  2.35696275   0.24390123   1.84805293   -0.11065921 
19.37500000  2.38198184   0.15677781   1.85747359   -0.12007988 
19.50000000  2.39623114   0.07142772   1.86270919   -0.12531547 
19.62500000  2.39987291   -0.01310348  1.86403212   -0.12663840 
19.75000000  2.39294898   -0.09778542  1.86151160   -0.12411789 
19.87500000  2.37537996   -0.18358500  1.85501590   -0.11762218 
20.00000000  2.34696670   -0.27144789  1.84420809   -0.10681437 
20.12500000  2.30739433   -0.36227605  1.82853589   -0.09114217 
20.25000000  2.25623948   -0.45689731  1.80721672   -0.06982301 
20.37500000  2.19298206   -0.55602342  1.77922044   -0.04182673 
20.50000000  2.11702317   -0.66019226  1.74325374   -0.00586003 
20.62500000  2.02771145   -0.76969076  1.69775251   0.03964121  
20.75000000  1.92438038   -0.88445617  1.64089144   0.09650228  
20.87500000  1.80639928   -1.00395657  1.57062365   0.16677007  
21.00000000  1.67324020   -1.12705717  1.48476583   0.25262789  
21.12500000  1.52456171   -1.25188806  1.38114580   0.35624792  
21.25000000  1.36030771   -1.37574087  1.25782530   0.47956842  
21.37500000  1.18081532   -1.49503482  1.11339944   0.62399428  
21.50000000  0.98692022   -1.60540073  0.94735207   0.79004165  
21.62500000  0.78004160   -1.70192714  0.76041531   0.97697841  
21.75000000  0.56222517   -1.77958689  0.55484947   1.18254425  
21.87500000  0.33612283   -1.83381257  0.33454278   1.40285093  
22.00000000  0.10489563   -1.86112719  0.10484755   1.63254617  
22.12500000  -0.12795811  -1.85968720  -0.12787083  1.86526455  
22.25000000  -0.35882944  -1.82959135  -0.35690744  2.09430116  
22.37500000  -0.58424405  -1.77286378  -0.57596999  2.31336371  
22.50000000  -0.80108479  -1.69311655  -0.77983573  2.51722945  
22.62500000  -1.00675688  -1.59499092  -0.96477531  2.70216903  
22.75000000  -1.19927699  -1.48352637  -1.12868815  2.86608187  
22.87500000  -1.37728659  -1.36359673  -1.27098049  3.00837420  
23.00000000  -1.54000373  -1.23950106  -1.39227316  3.12966687  
23.12500000  -1.68713516  -1.11473508  -1.49403920  3.23143292  
23.25000000  -1.81876999  -0.99192097  -1.57825227  3.31564599  
23.37500000  -1.93527239  -0.87285038  -1.64709430  3.38448802  
23.50000000  -2.03718393  -0.75859222  -1.70274052  3.44013423  
23.62500000  -2.12514157  -0.64962605  -1.74721877  3.48461248  
23.75000000  -2.19981237  -0.54597492  -1.78232960  3.51972332  
23.87500000  -2.26184393  -0.44732297  -1.80961034  3.54700406  
24.00000000  -2.31182838  -0.35311195  -1.83032767  3.56772139  
24.12500000  -2.35027688  -0.26261634  -1.84548641  3.58288013  
24.25000000  -2.37760250  -0.17499927  -1.85584555  3.59323926  
24.37500000  -2.39410888  -0.08935328  -1.86193540  3.59932911  
24.50000000  -2.39998344  -0.00472966  -1.86407217  3.60146589  
24.62500000  -2.39529357  0.07983955   -1.86236760  3.59976132  
24.75000000  -2.37998543  0.16532329   -1.85673252  3.59412623  
24.87500000  -2.35388493  0.25267341   -1.84687400  3.58426772  
25.00000000  -2.31670116  0.34280330   -1.83228637  3.56968008  
25.12500000  -2.26803286  0.43655951   -1.81223708  3.54963079  
25.25000000  -2.20737911  0.53468250   -1.78574972  3.52314343  
25.37500000  -2.13415578  0.63775262   -1.75158757  3.48898129  
25.50000000  -2.04771990  0.74611728   -1.70824367  3.44563739  
25.62500000  -1.94740440  0.85979688   -1.65394581  3.39133953  
25.75000000  -1.83256601  0.97836942   -1.58668860  3.32408231  
25.87500000  -1.70264869  1.10083883   -1.50430758  3.24170130  
26.00000000  -1.55726381  1.22550057   -1.40461233  3.14200604  
26.12500000  -1.39628619  1.34982921   -1.28559268  3.02298639  
26.25000000  -1.21996084  1.47042595   -1.14570282  2.88309654  
26.37500000  -1.02901004  1.58307359   -0.98420802  2.72160174  
26.50000000  -0.82472442  1.68294568   -0.80154929  2.53894301  
26.62500000  -0.60901665  1.76499556   -0.59964832  2.33704203  
26.75000000  -0.38441601  1.82450613   -0.38205340  2.11944712  
26.87500000  -0.15398800  1.85771956   -0.15383590  1.89122962  
27.00000000  0.07882280   1.86241177   0.07880240   1.65859132  
27.12500000  0.31041038   1.83826114   0.30916565   1.42822806  
27.25000000  0.53725208   1.78690345   0.53081400   1.20657971  
27.37500000  0.75613923   1.71165656   0.73825420   0.99913951  
27.50000000  0.96435662   1.61699682   0.92742046   0.80997326  
27.62500000  1.15978827   1.50793060   1.09587077   0.64152295  
27.75000000  1.34094593   1.38940676   1.24271328   0.49468044  
27.87500000  1.50693222   1.26587078   1.36834155   0.36905217  
28.00000000  1.65735918   1.14099862   1.47407923   0.26331448  
28.12500000  1.79224431   1.01759642   1.56182104   0.17557268  
28.25000000  1.91190223   0.89762379   1.63372549   0.10366823  
28.37500000  2.01684447   0.78229152   1.69198328   0.04541044  
28.50000000  2.10769382   0.67219229   1.73866183   -0.00126811 
28.62500000  2.18511562   0.56743512   1.77561393   -0.03822021 
28.75000000  2.24976500   0.46776694   1.80443385   -0.06704014 
28.87500000  2.30224823   0.37267375   1.82644510   -0.08905139 
29.00000000  2.34309526   0.28146009   1.84270661   -0.10531289 
29.12500000  2.37274096   0.19330879   1.85402782   -0.11663410 
29.25000000  2.39151281   0.10732450   1.86098600   -0.12359228 
29.37500000  2.39962316   0.02256523   1.86394159   -0.12654787 
29.50000000  2.39716493   -0.06193453  1.86304899   -0.12565528 
29.62500000  2.38410990   -0.14714497  1.85826150   -0.12086778 
29.75000000  2.36030916   -0.23402316  1.84932977   -0.11193605 
29.87500000  2.32549605   -0.32349268  1.83579408   -0.09840037 
30.00000000  2.27929190   -0.41641705  1.81697118   -0.07957747 
30.12500000  2.22121569   -0.51356308  1.79193761   -0.05454389 
30.25000000  2.15069912   -0.61555031  1.75951279   -0.02211907 
30.37500000  2.06710915   -0.72278244  1.71824706   0.01914665  
30.50000000  1.96978030   -0.83535789  1.66642271   0.07097101  
30.62500000  1.85805954   -0.95295863  1.60207905   0.13531466  
30.75000000  1.73136628   -1.07472123  1.52307640   0.21431732  
30.87500000  1.58926905   -1.19910137  1.42721524   0.31017848  
31.00000000  1.43157836   -1.32375406  1.31242623   0.42496748  
31.12500000  1.25845192   -1.44546475  1.17703827   0.56035544  
31.25000000  1.07050280   -1.56017745  1.02011459   0.71727913  
31.37500000  0.86889551   -1.66316810  0.84181904   0.89557467  
31.50000000  0.65540951   -1.74939539  0.64374155   1.09365216  
31.62500000  0.43244787   -1.81402111  0.42908605   1.30830766  
31.75000000  0.20297349   -1.85303277  0.20262525   1.53476847  
31.87500000  -0.02963262  -1.86384264  -0.02963154  1.76702526  
32.00000000  -0.26177848  -1.84571122  -0.26103166  1.99842537  
32.12500000  -0.48990349  -1.79987332  -0.48501903  2.22241274  
32.25000000  -0.71071556  -1.72932875  -0.69585163  2.43324535  
32.37500000  -0.92138377  -1.63836038  -0.88913593  2.62652965  
32.50000000  -1.11966072  -1.53191483  -1.06208492  2.79947864  
32.62500000  -1.30392671  -1.41499602  -1.21349647  2.95089019  
32.75000000  -1.47316521  -1.29218404  -1.34352068  3.08091440  
32.87500000  -1.62688889  -1.16733077  -1.45331562  3.19070934  
33.00000000  -1.76503870  -1.04342753  -1.54468328  3.28207699  
33.12500000  -1.88787527  -0.92260638  -1.61974841  3.35714212  
33.25000000  -1.99587622  -0.80622596  -1.68071031  3.41810402  
33.37500000  -2.08964716  -0.69499809  -1.72967196  3.46706567  
33.50000000  -2.16984932  -0.58912323  -1.76853647  3.50593019  
33.62500000  -2.23714366  -0.48841562  -1.79895459  3.53634831  
33.75000000  -2.29214937  -0.39240902  -1.82230694  3.55970066  
33.87500000  -2.33541436  -0.30044073  -1.83970726  3.57710098  
34.00000000  -2.36739478  -0.21171513  -1.85201623  3.58940995  
34.12500000  -2.38844158  -0.12535046  -1.85985878  3.59725250  
34.25000000  -2.39879188  -0.04041239  -1.86364006  3.60103377  
34.37500000  -2.39856404  0.04406126   -1.86355736  3.60095108  
34.50000000  -2.38775546  0.12904115   -1.85960636  3.59700007  
34.62500000  -2.36624256  0.21548870   -1.85158096  3.58897468  
34.75000000  -2.33378320  0.30433651   -1.83906681  3.57646052  
34.87500000  -2.29002168  0.39646342   -1.82142916  3.55882288  
35.00000000  -2.23449757  0.49266036   -1.79779676  3.53519048  
35.12500000  -2.16665941  0.59358303   -1.76704460  3.50443832  
35.25000000  -2.08588552  0.69968743   -1.72778035  3.46517407  
35.37500000  -1.99151397  0.81114499   -1.67834181  3.41573553  
35.50000000  -1.88288466  0.92773590   -1.61681586  3.35420958  
35.62500000  -1.75939590  1.04872325   -1.54109279  3.27848650  
35.75000000  -1.62057748  1.17271746   -1.44897246  3.18636617  
35.87500000  -1.46618036  1.29755073   -1.33833834  3.07573206  
36.00000000  -1.29627984  1.42019384   -1.20740916  2.94480287  
36.12500000  -1.11138410  1.53675962   -1.05506269  2.79245641  
36.25000000  -0.91253447  1.64264209   -0.88120054  2.61859426  
36.37500000  -0.70137766  1.73282871   -0.68708959  2.42448330  
36.50000000  -0.48018771  1.80238838   -0.47558758  2.21298130  
36.62500000  -0.25181852  1.84708128   -0.25115370  1.98854741  
36.75000000  -0.01957820  1.86397536   -0.01957788  1.75697160  
36.87500000  0.21296625   1.85191900   0.21256402   1.52482970  
37.00000000  0.44222703   1.81173649   0.43863233   1.29876139  
37.12500000  0.66483729   1.74608756   0.65266044   1.08473327  
37.25000000  0.87785593   1.65903340   0.84993859   0.88745513  
37.37500000  1.07890601   1.55543348   1.02733351   0.71006021  
37.50000000  1.26623527   1.44032508   1.18332205   0.55407166  
37.62500000  1.43870462   1.31840937   1.31779519   0.41959852  
37.75000000  1.59572276   1.19370839   1.43172892   0.30566479  
37.87500000  1.73714925   1.06939889   1.52681808   0.21057563  
38.00000000  1.86318609   0.94778935   1.60514260   0.13225111  
38.12500000  1.97427303   0.83039204   1.66890278   0.06849094  
38.25000000  2.07099524   0.71804404   1.72023260   0.01716112  
38.37500000  2.15400740   0.61104283   1.76108322   -0.02368950 
38.50000000  2.22397441   0.50927468   1.79316110   -0.05576738 
38.62500000  2.28152712   0.41232490   1.81790418   -0.08051047 
38.75000000  2.32723046   0.31956630   1.83648164   -0.09908792 
38.87500000  2.36156130   0.23022697   1.84980620   -0.11241248 
39.00000000  2.38489364   0.14344014   1.85855114   -0.12115743 
39.12500000  2.39748917   0.05828030   1.86316688   -0.12577317 
39.25000000  2.39949160   -0.02621060  1.86389389   -0.12650018 
39.37500000  2.39092395   -0.11100291  1.86077021   -0.12337650 
39.50000000  2.37168808   -0.19706150  1.85363270   -0.11623899 
39.62500000  2.34156656   -0.28532692  1.84211183   -0.10471811 
39.75000000  2.30022710   -0.37669182  1.82562064   -0.08822692 
39.87500000  2.24723042   -0.47196914  1.80333928   -0.06594556 
40.00000000  2.18204283   -0.57184789  1.77419768   -0.03680397 
40.12500000  2.10405534   -0.67683258  1.73686070   0.00053301  
40.25000000  2.01261145   -0.78716290  1.68972246   0.04767125  
40.37500000  1.90704650   -0.90271161  1.63091973   0.10647398  
40.50000000  1.78674094   -1.02286218  1.55837749   0.17901623  
40.62500000  1.65118985   -1.14637408  1.46990268   0.26749103  
40.75000000  1.50008927   -1.27125282  1.36334284   0.37405088  
40.87500000  1.33343696   -1.39465449  1.23682104   0.50057267  
41.00000000  1.15164079   -1.51286679  1.08904615   0.64834757  
41.12500000  0.95562219   -1.62141571  0.91967305   0.81772067  
41.25000000  0.74689617   -1.71533947  0.72965604   1.00773768  
41.37500000  0.52760566   -1.78964171  0.52150740   1.21588632  
41.50000000  0.30048993   -1.83988331  0.29936068   1.43803303  
41.62500000  0.06877537   -1.86280950  0.06876182   1.66863189  
41.75000000  -0.16400674  -1.85686549  -0.16382299  1.90121670  
41.87500000  -0.39425236  -1.82245862  -0.39170396  2.12909768  
42.00000000  -0.61852913  -1.76188871  -0.60871635  2.34611007  
42.12500000  -0.83379195  -1.67896780  -0.80984848  2.54724220  
42.25000000  -1.03753706  -1.57844004  -0.99162214  2.72901585  
42.37500000  -1.22787902  -1.46535299  -1.15218403  2.88957775  
42.50000000  -1.40355318  -1.34451352  -1.29115096  3.02854468  
42.62500000  -1.56385992  -1.22010660  -1.40930029  3.14669401  
42.75000000  -1.70857247  -1.09549353  -1.50820468  3.24559840  
42.87500000  -1.83782954  -0.97316263  -1.58988740  3.32728111  
43.00000000  -1.95202884  -0.85478528  -1.65654145  3.39393516  
43.12500000  -2.05173173  -0.74132994  -1.71032668  3.44772039  
43.25000000  -2.13758369  -0.63319691  -1.75323960  3.49063332  
43.37500000  -2.21025164  -0.53034943  -1.78704139  3.52443510  
43.50000000  -2.27037663  -0.43242823  -1.81322730  3.55062102  
43.62500000  -2.31853965  -0.33884473  -1.83302255  3.57041627  
43.75000000  -2.35523761  -0.24885288  -1.84739267  3.58478639  
43.87500000  -2.38086718  -0.16160252  -1.85706006  3.59445377  
44.00000000  -2.39571437  -0.07617809  -1.86252096  3.59991468  
44.12500000  -2.39994810  0.00837341   -1.86405937  3.60145308  
44.25000000  -2.39361700  0.09302123   -1.86175575  3.59914947  
44.37500000  -2.37664844  0.17873291   -1.85548969  3.59288340  
44.50000000  -2.34884991  0.26645586   -1.84493596  3.58232968  
44.62500000  -2.30991286  0.35709517   -1.82955472  3.56694844  
44.75000000  -2.25941974  0.45148383   -1.80857673  3.54597045  
