time         theta        dtheta/dt   
0.00000000   0.00000000   2.05000000  
0.00625000   0.07313817   2.04869549  
0.01250000   0.14618334   2.04479057  
0.01875000   0.21904312   2.03831098  
0.02500000   0.29162635   2.02929916  
0.03125000   0.36384366   2.01781361  
0.03750000   0.43560805   2.00392796  
0.04375000   0.50683539   1.98772987  
0.05000000   0.57744493   1.96931976  
0.05625000   0.64735968   1.94880933  
0.06250000   0.71650684   1.92632005  
0.06875000   0.78481809   1.90198151  
0.07500000   0.85222984   1.87592978  
0.08125000   0.91868347   1.84830575  
0.08750000   0.98412542   1.81925351  
0.09375000   1.04850734   1.78891881  
0.10000000   1.11178606   1.75744760  
0.10625000   1.17392362   1.72498465  
0.11250000   1.23488717   1.69167234  
0.11875000   1.29464890   1.65764958  
0.12500000   1.35318587   1.62305087  
0.13125000   1.41047984   1.58800544  
0.13750000   1.46651710   1.55263668  
0.14375000   1.52128822   1.51706156  
0.15000000   1.57478782   1.48139024  
0.15625000   1.62701432   1.44572585  
0.16250000   1.67796970   1.41016430  
0.16875000   1.72765925   1.37479422  
0.17500000   1.77609127   1.33969705  
0.18125000   1.82327683   1.30494706  
0.18750000   1.86922956   1.27061162  
0.19375000   1.91396534   1.23675138  
0.20000000   1.95750213   1.20342052  
0.20625000   1.99985968   1.17066713  
0.21250000   2.04105937   1.13853345  
0.21875000   2.08112400   1.10705628  
0.22500000   2.12007756   1.07626732  
0.23125000   2.15794512   1.04619350  
0.23750000   2.19475260   1.01685739  
0.24375000   2.23052667   0.98827749  
0.25000000   2.26529459   0.96046864  
0.25625000   2.29908410   0.93344229  
0.26250000   2.33192327   0.90720686  
0.26875000   2.36384043   0.88176805  
0.27500000   2.39486408   0.85712906  
0.28125000   2.42502279   0.83329097  
0.28750000   2.45434512   0.81025287  
0.29375000   2.48285958   0.78801222  
0.30000000   2.51059456   0.76656496  
0.30625000   2.53757828   0.74590578  
0.31250000   2.56383875   0.72602830  
0.31875000   2.58940373   0.70692523  
0.32500000   2.61430073   0.68858852  
0.33125000   2.63855693   0.67100951  
0.33750000   2.66219922   0.65417909  
0.34375000   2.68525413   0.63808778  
0.35000000   2.70774787   0.62272585  
0.35625000   2.72970629   0.60808343  
0.36250000   2.75115489   0.59415059  
0.36875000   2.77211881   0.58091740  
0.37500000   2.79262285   0.56837405  
0.38125000   2.81269145   0.55651086  
0.38750000   2.83234871   0.54531837  
0.39375000   2.85161839   0.53478737  
0.40000000   2.87052395   0.52490896  
0.40625000   2.88908852   0.51567460  
0.41250000   2.90733493   0.50707611  
0.41875000   2.92528573   0.49910574  
0.42500000   2.94296322   0.49175615  
0.43125000   2.96038940   0.48502049  
0.43750000   2.97758609   0.47889238  
0.44375000   2.99457485   0.47336596  
0.45000000   3.01137705   0.46843586  
0.45625000   3.02801390   0.46409727  
0.46250000   3.04450641   0.46034589  
0.46875000   3.06087547   0.45717800  
0.47500000   3.07714185   0.45459044  
0.48125000   3.09332621   0.45258060  
0.48750000   3.10944913   0.45114645  
0.49375000   3.12553112   0.45028654  
0.50000000   3.14159265   0.45000000  
0.50625000   3.15765419   0.45028654  
0.51250000   3.17373618   0.45114645  
0.51875000   3.18985909   0.45258060  
0.52500000   3.20604345   0.45459044  
0.53125000   3.22230984   0.45717800  
0.53750000   3.23867890   0.46034589  
0.54375000   3.25517141   0.46409727  
0.55000000   3.27180825   0.46843586  
0.55625000   3.28861046   0.47336596  
0.56250000   3.30559922   0.47889238  
0.56875000   3.32279590   0.48502049  
0.57500000   3.34022209   0.49175615  
0.58125000   3.35789957   0.49910574  
0.58750000   3.37585038   0.50707611  
0.59375000   3.39409679   0.51567460  
0.60000000   3.41266136   0.52490896  
0.60625000   3.43156691   0.53478737  
0.61250000   3.45083660   0.54531837  
0.61875000   3.47049386   0.55651086  
0.62500000   3.49056245   0.56837405  
0.63125000   3.51106649   0.58091740  
0.63750000   3.53203042   0.59415059  
0.64375000   3.55347902   0.60808343  
0.65000000   3.57543744   0.62272585  
0.65625000   3.59793118   0.63808778  
0.66250000   3.62098609   0.65417909  
0.66875000   3.64462838   0.67100951  
0.67500000   3.66888458   0.68858852  
0.68125000   3.69378157   0.70692523  
0.68750000   3.71934656   0.72602830  
0.69375000   3.74560703   0.74590578  
0.70000000   3.77259075   0.76656496  
0.70625000   3.80032572   0.78801222  
0.71250000   3.82884019   0.81025287  
0.71875000   3.85816252   0.83329097  
0.72500000   3.88832122   0.85712906  
0.73125000   3.91934488   0.88176805  
0.73750000   3.95126204   0.90720686  
0.74375000   3.98410121   0.93344229  
0.75000000   4.01789071   0.96046864  
0.75625000   4.05265864   0.98827749  
0.76250000   4.08843271   1.01685739  
0.76875000   4.12524019   1.04619350  
