Tt           theta        dtheta/dt    Uw0^2/mg^2   Kw0^2/mg^2  
0.00000000   1.70000000   -0.00000000  1.50256081   -0.37371632 
0.00500000   1.69927427   -0.03793987  1.50208174   -0.37323725 
0.01000000   1.69709693   -0.07588684  1.50064325   -0.37179876 
0.01500000   1.69346760   -0.11384776  1.49824153   -0.36939703 
0.02000000   1.68838560   -0.15182901  1.49487021   -0.36602571 
0.02500000   1.68185005   -0.18983625  1.49052044   -0.36167595 
0.03000000   1.67385986   -0.22787419  1.48518091   -0.35633642 
0.03500000   1.66441379   -0.26594632  1.47883790   -0.34999341 
0.04000000   1.65351048   -0.30405469  1.47147536   -0.34263087 
0.04500000   1.64114853   -0.34219967  1.46307497   -0.33423048 
0.05000000   1.62732658   -0.38037967  1.45361628   -0.32477179 
0.05500000   1.61204333   -0.41859093  1.44307679   -0.31423230 
0.06000000   1.59529772   -0.45682723  1.43143211   -0.30258761 
0.06500000   1.57708893   -0.49507966  1.41865610   -0.28981160 
0.07000000   1.55741657   -0.53333639  1.40472107   -0.27587658 
0.07500000   1.53628076   -0.57158238  1.38959799   -0.26075349 
0.08000000   1.51368224   -0.60979921  1.37325668   -0.24441219 
0.08500000   1.48962254   -0.64796476  1.35566613   -0.22682164 
0.09000000   1.46410411   -0.68605307  1.33679474   -0.20795024 
0.09500000   1.43713046   -0.72403410  1.31661065   -0.18776616 
0.10000000   1.40870635   -0.76187353  1.29508213   -0.16623763 
0.10500000   1.37883791   -0.79953262  1.27217789   -0.14333340 
0.11000000   1.34753285   -0.83696806  1.24786756   -0.11902307 
0.11500000   1.31480064   -0.87413187  1.22212211   -0.09327762 
0.12000000   1.28065267   -0.91097132  1.19491432   -0.06606983 
0.12500000   1.24510242   -0.94742893  1.16621928   -0.03737479 
0.13000000   1.20816568   -0.98344245  1.13601494   -0.00717045 
0.13500000   1.16986070   -1.01894498  1.10428263   0.02456187  
0.14000000   1.13020839   -1.05386510  1.07100763   0.05783686  
0.14500000   1.08923246   -1.08812706  1.03617976   0.09266473  
0.15000000   1.04695961   -1.12165105  0.99979393   0.12905056  
0.15500000   1.00341965   -1.15435359  0.96185070   0.16699379  
0.16000000   0.95864567   -1.18614789  0.92235686   0.20648764  
0.16500000   0.91267411   -1.21694440  0.88132589   0.24751860  
0.17000000   0.86554490   -1.24665135  0.83877852   0.29006598  
0.17500000   0.81730150   -1.27517545  0.79474308   0.33410141  
0.18000000   0.76799096   -1.30242257  0.74925592   0.37958857  
0.18500000   0.71766395   -1.32829856  0.70236168   0.42648281  
0.19000000   0.66637470   -1.35271007  0.65411349   0.47473101  
0.19500000   0.61418100   -1.37556548  0.60457307   0.52427143  
0.20000000   0.56114410   -1.39677580  0.55381075   0.57503375  
0.20500000   0.50732858   -1.41625564  0.50190533   0.62693916  
0.21000000   0.45280221   -1.43392413  0.44894386   0.67990063  
0.21500000   0.39763574   -1.44970590  0.39502126   0.73382324  
0.22000000   0.34190271   -1.46353198  0.34023983   0.78860467  
0.22500000   0.28567913   -1.47534063  0.28470866   0.84413583  
0.23000000   0.22904324   -1.48507816  0.22854291   0.90030159  
0.23500000   0.17207516   -1.49269961  0.17186294   0.95698155  
0.24000000   0.11485657   -1.49816937  0.11479345   1.01405105  
0.24500000   0.05747030   -1.50146164  0.05746239   1.07138210  
0.25000000   0.00000000   -1.50256081  0.00000000   1.12884449  
0.25500000   -0.05747030  -1.50146164  -0.05746239  1.18630689  
0.26000000   -0.11485657  -1.49816937  -0.11479345  1.24363794  
0.26500000   -0.17207516  -1.49269961  -0.17186294  1.30070744  
0.27000000   -0.22904324  -1.48507816  -0.22854291  1.35738740  
0.27500000   -0.28567913  -1.47534063  -0.28470866  1.41355315  
0.28000000   -0.34190271  -1.46353198  -0.34023983  1.46908432  
0.28500000   -0.39763574  -1.44970590  -0.39502126  1.52386575  
0.29000000   -0.45280221  -1.43392413  -0.44894386  1.57778836  
0.29500000   -0.50732858  -1.41625564  -0.50190533  1.63074983  
0.30000000   -0.56114410  -1.39677580  -0.55381075  1.68265524  
0.30500000   -0.61418100  -1.37556548  -0.60457307  1.73341756  
0.31000000   -0.66637470  -1.35271007  -0.65411349  1.78295798  
0.31500000   -0.71766395  -1.32829856  -0.70236168  1.83120618  
0.32000000   -0.76799096  -1.30242257  -0.74925592  1.87810042  
0.32500000   -0.81730150  -1.27517545  -0.79474308  1.92358757  
0.33000000   -0.86554490  -1.24665135  -0.83877852  1.96762301  
0.33500000   -0.91267411  -1.21694440  -0.88132589  2.01017039  
0.34000000   -0.95864567  -1.18614789  -0.92235686  2.05120135  
0.34500000   -1.00341965  -1.15435359  -0.96185070  2.09069520  
0.35000000   -1.04695961  -1.12165105  -0.99979393  2.12863842  
0.35500000   -1.08923246  -1.08812706  -1.03617976  2.16502426  
0.36000000   -1.13020839  -1.05386510  -1.07100763  2.19985212  
0.36500000   -1.16986070  -1.01894498  -1.10428263  2.23312712  
0.37000000   -1.20816568  -0.98344245  -1.13601494  2.26485943  
0.37500000   -1.24510242  -0.94742893  -1.16621928  2.29506378  
0.38000000   -1.28065267  -0.91097132  -1.19491432  2.32375882  
0.38500000   -1.31480064  -0.87413187  -1.22212211  2.35096661  
0.39000000   -1.34753285  -0.83696806  -1.24786756  2.37671206  
0.39500000   -1.37883791  -0.79953262  -1.27217789  2.40102238  
0.40000000   -1.40870635  -0.76187353  -1.29508213  2.42392662  
0.40500000   -1.43713046  -0.72403410  -1.31661065  2.44545515  
0.41000000   -1.46410411  -0.68605307  -1.33679474  2.46563923  
0.41500000   -1.48962254  -0.64796476  -1.35566613  2.48451063  
0.42000000   -1.51368224  -0.60979921  -1.37325668  2.50210118  
0.42500000   -1.53628076  -0.57158238  -1.38959799  2.51844248  
0.43000000   -1.55741657  -0.53333639  -1.40472107  2.53356557  
0.43500000   -1.57708893  -0.49507966  -1.41865610  2.54750059  
0.44000000   -1.59529772  -0.45682723  -1.43143211  2.56027660  
0.44500000   -1.61204333  -0.41859093  -1.44307679  2.57192128  
0.45000000   -1.62732658  -0.38037967  -1.45361628  2.58246078  
0.45500000   -1.64114853  -0.34219967  -1.46307497  2.59191947  
0.46000000   -1.65351048  -0.30405469  -1.47147536  2.60031985  
0.46500000   -1.66441379  -0.26594632  -1.47883790  2.60768240  
0.47000000   -1.67385986  -0.22787419  -1.48518091  2.61402541  
0.47500000   -1.68185005  -0.18983625  -1.49052044  2.61936494  
0.48000000   -1.68838560  -0.15182901  -1.49487021  2.62371470  
0.48500000   -1.69346760  -0.11384776  -1.49824153  2.62708602  
0.49000000   -1.69709693  -0.07588684  -1.50064325  2.62948775  
0.49500000   -1.69927427  -0.03793987  -1.50208174  2.63092623  
0.50000000   -1.70000000  -0.00000000  -1.50256081  2.63140530  
0.50500000   -1.69927427  0.03793987   -1.50208174  2.63092623  
0.51000000   -1.69709693  0.07588684   -1.50064325  2.62948775  
0.51500000   -1.69346760  0.11384776   -1.49824153  2.62708602  
0.52000000   -1.68838560  0.15182901   -1.49487021  2.62371470  
0.52500000   -1.68185005  0.18983625   -1.49052044  2.61936494  
0.53000000   -1.67385986  0.22787419   -1.48518091  2.61402541  
0.53500000   -1.66441379  0.26594632   -1.47883790  2.60768240  
0.54000000   -1.65351048  0.30405469   -1.47147536  2.60031985  
0.54500000   -1.64114853  0.34219967   -1.46307497  2.59191947  
0.55000000   -1.62732658  0.38037967   -1.45361628  2.58246078  
0.55500000   -1.61204333  0.41859093   -1.44307679  2.57192128  
0.56000000   -1.59529772  0.45682723   -1.43143211  2.56027660  
0.56500000   -1.57708893  0.49507966   -1.41865610  2.54750059  
0.57000000   -1.55741657  0.53333639   -1.40472107  2.53356557  
0.57500000   -1.53628076  0.57158238   -1.38959799  2.51844248  
0.58000000   -1.51368224  0.60979921   -1.37325668  2.50210118  
0.58500000   -1.48962254  0.64796476   -1.35566613  2.48451063  
0.59000000   -1.46410411  0.68605307   -1.33679474  2.46563923  
0.59500000   -1.43713046  0.72403410   -1.31661065  2.44545515  
0.60000000   -1.40870635  0.76187353   -1.29508213  2.42392662  
0.60500000   -1.37883791  0.79953262   -1.27217789  2.40102238  
0.61000000   -1.34753285  0.83696806   -1.24786756  2.37671206  
0.61500000   -1.31480064  0.87413187   -1.22212211  2.35096661  
0.62000000   -1.28065267  0.91097132   -1.19491432  2.32375882  
0.62500000   -1.24510242  0.94742893   -1.16621928  2.29506378  
0.63000000   -1.20816568  0.98344245   -1.13601494  2.26485943  
0.63500000   -1.16986070  1.01894498   -1.10428263  2.23312712  
0.64000000   -1.13020839  1.05386510   -1.07100763  2.19985212  
0.64500000   -1.08923246  1.08812706   -1.03617976  2.16502426  
0.65000000   -1.04695961  1.12165105   -0.99979393  2.12863842  
0.65500000   -1.00341965  1.15435359   -0.96185070  2.09069520  
0.66000000   -0.95864567  1.18614789   -0.92235686  2.05120135  
0.66500000   -0.91267411  1.21694440   -0.88132589  2.01017039  
0.67000000   -0.86554490  1.24665135   -0.83877852  1.96762301  
0.67500000   -0.81730150  1.27517545   -0.79474308  1.92358757  
0.68000000   -0.76799096  1.30242257   -0.74925592  1.87810042  
0.68500000   -0.71766395  1.32829856   -0.70236168  1.83120618  
0.69000000   -0.66637470  1.35271007   -0.65411349  1.78295798  
0.69500000   -0.61418100  1.37556548   -0.60457307  1.73341756  
0.70000000   -0.56114410  1.39677580   -0.55381075  1.68265524  
0.70500000   -0.50732858  1.41625564   -0.50190533  1.63074983  
0.71000000   -0.45280221  1.43392413   -0.44894386  1.57778836  
0.71500000   -0.39763574  1.44970590   -0.39502126  1.52386575  
0.72000000   -0.34190271  1.46353198   -0.34023983  1.46908432  
0.72500000   -0.28567913  1.47534063   -0.28470866  1.41355315  
0.73000000   -0.22904324  1.48507816   -0.22854291  1.35738740  
0.73500000   -0.17207516  1.49269961   -0.17186294  1.30070744  
0.74000000   -0.11485657  1.49816937   -0.11479345  1.24363794  
0.74500000   -0.05747030  1.50146164   -0.05746239  1.18630689  
0.75000000   -0.00000000  1.50256081   -0.00000000  1.12884449  
0.75500000   0.05747030   1.50146164   0.05746239   1.07138210  
0.76000000   0.11485657   1.49816937   0.11479345   1.01405105  
0.76500000   0.17207516   1.49269961   0.17186294   0.95698155  
0.77000000   0.22904324   1.48507816   0.22854291   0.90030159  
0.77500000   0.28567913   1.47534063   0.28470866   0.84413583  
0.78000000   0.34190271   1.46353198   0.34023983   0.78860467  
0.78500000   0.39763574   1.44970590   0.39502126   0.73382324  
0.79000000   0.45280221   1.43392413   0.44894386   0.67990063  
0.79500000   0.50732858   1.41625564   0.50190533   0.62693916  
0.80000000   0.56114410   1.39677580   0.55381075   0.57503375  
0.80500000   0.61418100   1.37556548   0.60457307   0.52427143  
0.81000000   0.66637470   1.35271007   0.65411349   0.47473101  
0.81500000   0.71766395   1.32829856   0.70236168   0.42648281  
0.82000000   0.76799096   1.30242257   0.74925592   0.37958857  
0.82500000   0.81730150   1.27517545   0.79474308   0.33410141  
0.83000000   0.86554490   1.24665135   0.83877852   0.29006598  
0.83500000   0.91267411   1.21694440   0.88132589   0.24751860  
0.84000000   0.95864567   1.18614789   0.92235686   0.20648764  
0.84500000   1.00341965   1.15435359   0.96185070   0.16699379  
0.85000000   1.04695961   1.12165105   0.99979393   0.12905056  
0.85500000   1.08923246   1.08812706   1.03617976   0.09266473  
0.86000000   1.13020839   1.05386510   1.07100763   0.05783686  
0.86500000   1.16986070   1.01894498   1.10428263   0.02456187  
0.87000000   1.20816568   0.98344245   1.13601494   -0.00717045 
0.87500000   1.24510242   0.94742893   1.16621928   -0.03737479 
0.88000000   1.28065267   0.91097132   1.19491432   -0.06606983 
0.88500000   1.31480064   0.87413187   1.22212211   -0.09327762 
0.89000000   1.34753285   0.83696806   1.24786756   -0.11902307 
0.89500000   1.37883791   0.79953262   1.27217789   -0.14333340 
0.90000000   1.40870635   0.76187353   1.29508213   -0.16623763 
0.90500000   1.43713046   0.72403410   1.31661065   -0.18776616 
0.91000000   1.46410411   0.68605307   1.33679474   -0.20795024 
0.91500000   1.48962254   0.64796476   1.35566613   -0.22682164 
0.92000000   1.51368224   0.60979921   1.37325668   -0.24441219 
0.92500000   1.53628076   0.57158238   1.38959799   -0.26075349 
0.93000000   1.55741657   0.53333639   1.40472107   -0.27587658 
0.93500000   1.57708893   0.49507966   1.41865610   -0.28981160 
0.94000000   1.59529772   0.45682723   1.43143211   -0.30258761 
0.94500000   1.61204333   0.41859093   1.44307679   -0.31423230 
0.95000000   1.62732658   0.38037967   1.45361628   -0.32477179 
0.95500000   1.64114853   0.34219967   1.46307497   -0.33423048 
0.96000000   1.65351048   0.30405469   1.47147536   -0.34263087 
0.96500000   1.66441379   0.26594632   1.47883790   -0.34999341 
0.97000000   1.67385986   0.22787419   1.48518091   -0.35633642 
0.97500000   1.68185005   0.18983625   1.49052044   -0.36167595 
