Tt           theta        dtheta/dt    Uw0^2/mg^2   Kw0^2/mg^2  
0.00000000   1.90000000   0.00000000   1.62683101   -0.30354144 
0.00500000   1.89922587   -0.03827939  1.62638059   -0.30309102 
0.01000000   1.89690307   -0.07657895  1.62502763   -0.30173806 
0.01500000   1.89303039   -0.11491861  1.62276703   -0.29947747 
0.02000000   1.88760580   -0.15331775  1.61959032   -0.29630075 
0.02500000   1.88062652   -0.19179493  1.61548564   -0.29219607 
0.03000000   1.87208904   -0.23036768  1.61043779   -0.28714822 
0.03500000   1.86198915   -0.26905213  1.60442827   -0.28113871 
0.04000000   1.85032205   -0.30786280  1.59743533   -0.27414576 
0.04500000   1.83708237   -0.34681225  1.58943399   -0.26614442 
0.05000000   1.82226427   -0.38591079  1.58039615   -0.25710658 
0.05500000   1.80586156   -0.42516619  1.57029069   -0.24700112 
0.06000000   1.78786778   -0.46458334  1.55908353   -0.23579396 
0.06500000   1.76827635   -0.50416388  1.54673783   -0.22344826 
0.07000000   1.74708068   -0.54390594  1.53321410   -0.20992453 
0.07500000   1.72427435   -0.58380369  1.51847041   -0.19518084 
0.08000000   1.69985125   -0.62384707  1.50246263   -0.17917307 
0.08500000   1.67380576   -0.66402140  1.48514468   -0.16185511 
0.09000000   1.64613297   -0.70430698  1.46646882   -0.14317925 
0.09500000   1.61682887   -0.74467882  1.44638604   -0.12309647 
0.10000000   1.58589057   -0.78510623  1.42484643   -0.10155686 
0.10500000   1.55331655   -0.82555249  1.40179964   -0.07851007 
0.11000000   1.51910688   -0.86597460  1.37719539   -0.05390582 
0.11500000   1.48326353   -0.90632293  1.35098404   -0.02769447 
0.12000000   1.44579060   -0.94654105  1.32311722   0.00017235  
0.12500000   1.40669461   -0.98656550  1.29354847   0.02974110  
0.13000000   1.36598481   -1.02632567  1.26223404   0.06105553  
0.13500000   1.32367343   -1.06574373  1.22913361   0.09415595  
0.14000000   1.27977600   -1.10473468  1.19421121   0.12907836  
0.14500000   1.23431165   -1.14320647  1.15743600   0.16585357  
0.15000000   1.18730333   -1.18106019  1.11878325   0.20450632  
0.15500000   1.13877818   -1.21819042  1.07823524   0.24505432  
0.16000000   1.08876768   -1.25448571  1.03578219   0.28750738  
0.16500000   1.03730795   -1.28982915  0.99142316   0.33186640  
0.17000000   0.98443994   -1.32409915  0.94516696   0.37812261  
0.17500000   0.93020959   -1.35717023  0.89703294   0.42625663  
0.18000000   0.87466799   -1.38891412  0.84705176   0.47623780  
0.18500000   0.81787144   -1.41920084  0.79526606   0.52802351  
0.19000000   0.75988151   -1.44790000  0.74173090   0.58155866  
0.19500000   0.70076506   -1.47488214  0.68651424   0.63677533  
0.20000000   0.64059409   -1.50002026  0.62969703   0.69359254  
0.20500000   0.57944572   -1.52319129  0.57137329   0.75191627  
0.21000000   0.51740190   -1.54427767  0.51164989   0.81163968  
0.21500000   0.45454921   -1.56316897  0.45064610   0.87264346  
0.22000000   0.39097852   -1.57976338  0.38849300   0.93479657  
0.22500000   0.32678464   -1.59396922  0.32533255   0.99795701  
0.23000000   0.26206584   -1.60570632  0.26131656   1.06197301  
0.23500000   0.19692339   -1.61490726  0.19660536   1.12668421  
0.24000000   0.13146099   -1.62151843  0.13136635   1.19192322  
0.24500000   0.06578424   -1.62550089  0.06577238   1.25751718  
0.25000000   0.00000000   -1.62683101  0.00000000   1.32328957  
0.25500000   -0.06578424  -1.62550089  -0.06577238  1.38906195  
0.26000000   -0.13146099  -1.62151843  -0.13136635  1.45465592  
