Tt           theta        dtheta/dt    Uw0^2/mg^2   Kw0^2/mg^2  
1.21500000   0.93894296   -1.76725747  0.90483002   1.06612815  
1.22000000   0.81290062   -1.82118248  0.79070266   1.18025550  
1.22500000   0.68328189   -1.86893717  0.67006731   1.30089086  
1.23000000   0.55055463   -1.90955108  0.54362764   1.42733052  
1.23500000   0.41525172   -1.94214982  0.41227467   1.55868350  
1.24000000   0.27796284   -1.96599827  0.27706886   1.69388931  
1.24500000   0.13932321   -1.98053951  0.13921056   1.83174761  
1.25000000   -0.00000000  -1.98542598  -0.00000000  1.97095817  
1.25500000   -0.13932321  -1.98053951  -0.13921056  2.11016872  
1.26000000   -0.27796284  -1.96599827  -0.27706886  2.24802702  
1.26500000   -0.41525172  -1.94214982  -0.41227467  2.38323283  
1.27000000   -0.55055463  -1.90955108  -0.54362764  2.51458581  
1.27500000   -0.68328189  -1.86893717  -0.67006731  2.64102547  
1.28000000   -0.81290062  -1.82118248  -0.79070266  2.76166083  
1.28500000   -0.93894296  -1.76725747  -0.90483002  2.87578818  
1.29000000   -1.06101129  -1.70818488  -1.01193910  2.98289726  
1.29500000   -1.17878045  -1.64499867  -1.11170846  3.08266663  
1.30000000   -1.29199721  -1.57870801  -1.20399225  3.17495041  
1.30500000   -1.40047748  -1.51026803  -1.28880053  3.25975870  
1.31000000   -1.50410167  -1.44055780  -1.36627580  3.33723396  
1.31500000   -1.60280882  -1.37036575  -1.43666769  3.40762585  
1.32000000   -1.69658989  -1.30038156  -1.50030801  3.47126618  
1.32500000   -1.78548075  -1.23119378  -1.55758730  3.52854547  
1.33000000   -1.86955507  -1.16329188  -1.60893391  3.57989208  
1.33500000   -1.94891760  -1.09707160  -1.65479613  3.62575429  
1.34000000   -2.02369779  -1.03284254  -1.69562750  3.66658567  
1.34500000   -2.09404405  -0.97083697  -1.73187526  3.70283342  
1.35000000   -2.16011870  -0.91121933  -1.76397156  3.73492972  
1.35500000   -2.22209347  -0.85409558  -1.79232728  3.76328544  
1.36000000   -2.28014577  -0.79952222  -1.81732786  3.78828602  
1.36500000   -2.33445545  -0.74751465  -1.83933091  3.81028907  
