Tt           theta        dtheta/dt   
0.00000000   2.40000000   -0.00000000 
0.00668896   2.39854754   -0.04431391 
0.01337793   2.39418556   -0.08876806 
0.02006689   2.38690028   -0.13350203 
0.02675585   2.37666881   -0.17865396 
0.03344482   2.36345928   -0.22435978 
0.04013378   2.34723100   -0.27075228 
0.04682274   2.32793469   -0.31796007 
0.05351171   2.30551284   -0.36610624 
0.06020067   2.27990005   -0.41530690 
0.06688963   2.25102361   -0.46566936 
0.07357860   2.21880412   -0.51729000 
0.08026756   2.18315628   -0.57025173 
0.08695652   2.14398988   -0.62462112 
0.09364548   2.10121095   -0.68044497 
0.10033445   2.05472322   -0.73774653 
0.10702341   2.00442980   -0.79652115 
0.11371237   1.95023512   -0.85673156 
0.12040134   1.89204727   -0.91830275 
0.12709030   1.82978064   -0.98111655 
0.13377926   1.76335896   -1.04500615 
0.14046823   1.69271861   -1.10975067 
0.14715719   1.61781237   -1.17507020 
0.15384615   1.53861344   -1.24062166 
0.16053512   1.45511965   -1.30599586 
0.16722408   1.36735788   -1.37071644 
0.17391304   1.27538841   -1.43424115 
0.18060201   1.17930915   -1.49596605 
0.18729097   1.07925939   -1.55523319 
0.19397993   0.97542309   -1.61134200 
0.20066890   0.86803108   -1.66356479 
0.20735786   0.75736232   -1.71116589 
0.21404682   0.64374363   -1.75342418 
0.22073579   0.52754798   -1.78965794 
0.22742475   0.40919105   -1.81925078 
0.23411371   0.28912607   -1.84167702 
0.24080268   0.16783715   -1.85652476 
0.24749164   0.04583114   -1.86351477 
0.25418060   -0.07637155  -1.86251380 
0.26086957   -0.19824671  -1.85354100 
0.26755853   -0.31927643  -1.83676700 
0.27424749   -0.43895870  -1.81250568 
0.28093645   -0.55681644  -1.78119937 
0.28762542   -0.67240522  -1.74339870 
0.29431438   -0.78531964  -1.69973881 
0.30100334   -0.89519800  -1.65091371 
0.30769231   -1.00172535  -1.59765039 
0.31438127   -1.10463479  -1.54068453 
0.32107023   -1.20370738  -1.48073871 
0.32775920   -1.29877058  -1.41850411 
0.33444816   -1.38969576  -1.35462612 
0.34113712   -1.47639481  -1.28969383 
0.34782609   -1.55881619  -1.22423328 
0.35451505   -1.63694071  -1.15870406 
0.36120401   -1.71077710  -1.09349864 
0.36789298   -1.78035765  -1.02894400 
0.37458194   -1.84573405  -0.96530484 
0.38127090   -1.90697340  -0.90278805 
0.38795987   -1.96415464  -0.84154776 
0.39464883   -2.01736521  -0.78169083 
0.40133779   -2.06669816  -0.72328234 
0.40802676   -2.11224959  -0.66635094 
0.41471572   -2.15411643  -0.61089387 
0.42140468   -2.19239451  -0.55688162 
0.42809365   -2.22717698  -0.50426209 
0.43478261   -2.25855292  -0.45296435 
0.44147157   -2.28660625  -0.40290184 
0.44816054   -2.31141477  -0.35397524 
0.45484950   -2.33304941  -0.30607485 
0.46153846   -2.35157363  -0.25908266 
0.46822742   -2.36704294  -0.21287407 
0.47491639   -2.37950447  -0.16731931 
0.48160535   -2.38899675  -0.12228472 
0.48829431   -2.39554942  -0.07763372 
0.49498328   -2.39918309  -0.03322775 
0.50167224   -2.39990924  0.01107299  
0.50836120   -2.39773019  0.05540883  
0.51505017   -2.39263904  0.09991990  
0.52173913   -2.38461971  0.14474547  
0.52842809   -2.37364706  0.19002324  
0.53511706   -2.35968700  0.23588842  
0.54180602   -2.34269666  0.28247288  
0.54849498   -2.32262467  0.32990397  
0.55518395   -2.29941151  0.37830319  
0.56187291   -2.27298990  0.42778463  
0.56856187   -2.24328539  0.47845308  
0.57525084   -2.21021702  0.53040180  
0.58193980   -2.17369816  0.58370992  
0.58862876   -2.13363755  0.63843938  
0.59531773   -2.08994050  0.69463150  
0.60200669   -2.04251042  0.75230295  
0.60869565   -1.99125054  0.81144139  
0.61538462   -1.93606599  0.87200062  
0.62207358   -1.87686616  0.93389534  
0.62876254   -1.81356749  0.99699576  
0.63545151   -1.74609653  1.06112202  
0.64214047   -1.67439340  1.12603894  
0.64882943   -1.59841562  1.19145116  
0.65551839   -1.51814211  1.25699929  
0.66220736   -1.43357758  1.32225735  
0.66889632   -1.34475683  1.38673231  
0.67558528   -1.25174918  1.44986596  
0.68227425   -1.15466254  1.51104000  
0.68896321   -1.05364711  1.56958458  
0.69565217   -0.94889837  1.62479078  
0.70234114   -0.84065913  1.67592695  
0.70903010   -0.72922040  1.72225885  
0.71571906   -0.61492077  1.76307281  
0.72240803   -0.49814426  1.79770101  
0.72909699   -0.37931649  1.82554740  
0.73578595   -0.25889911  1.84611274  
0.74247492   -0.13738270  1.85901670  
0.74916388   -0.01527841  1.86401556  
0.75585284   0.10689146   1.86101384  
0.76254181   0.22860336   1.85006895  
0.76923077   0.34934244   1.83138838  
0.77591973   0.46861216   1.80531974  
0.78260870   0.58594290   1.77233449  
0.78929766   0.70089945   1.73300672  
0.79598662   0.81308698   1.68798875  
0.80267559   0.92215525   1.63798519  
0.80936455   1.02780125   1.58372744  
0.81605351   1.12977016   1.52594979  
0.82274247   1.22785481   1.46536855  
0.82943144   1.32189392   1.40266465  
0.83612040   1.41176933   1.33847023  
0.84280936   1.49740245   1.27335911  
0.84949833   1.57875025   1.20784094  
0.85618729   1.65580093   1.14235848  
0.86287625   1.72856950   1.07728760  
0.86956522   1.79709350   1.01293935  
0.87625418   1.86142883   0.94956354  
0.88294314   1.92164587   0.88735336  
0.88963211   1.97782597   0.82645062  
0.89632107   2.03005825   0.76695121  
0.90301003   2.07843675   0.70891062  
0.90969900   2.12305796   0.65234918  
0.91638796   2.16401870   0.59725704  
0.92307692   2.20141428   0.54359865  
0.92976589   2.23533695   0.49131688  
0.93645485   2.26587460   0.44033660  
0.94314381   2.29310969   0.39056782  
0.94983278   2.31711837   0.34190841  
0.95652174   2.33796976   0.29424643  
0.96321070   2.35572537   0.24746204  
0.96989967   2.37043864   0.20142925  
0.97658863   2.38215460   0.15601719  
0.98327759   2.39090955   0.11109139  
0.98996656   2.39673089   0.06651471  
0.99665552   2.39963696   0.02214818  
1.00334448   2.39963696   -0.02214818 
1.01003344   2.39673089   -0.06651471 
1.01672241   2.39090955   -0.11109139 
1.02341137   2.38215460   -0.15601719 
1.03010033   2.37043864   -0.20142925 
1.03678930   2.35572537   -0.24746204 
1.04347826   2.33796976   -0.29424643 
1.05016722   2.31711837   -0.34190841 
1.05685619   2.29310969   -0.39056782 
1.06354515   2.26587460   -0.44033660 
1.07023411   2.23533695   -0.49131688 
1.07692308   2.20141428   -0.54359865 
1.08361204   2.16401870   -0.59725704 
1.09030100   2.12305796   -0.65234918 
1.09698997   2.07843675   -0.70891062 
1.10367893   2.03005825   -0.76695121 
1.11036789   1.97782597   -0.82645062 
1.11705686   1.92164587   -0.88735336 
1.12374582   1.86142883   -0.94956354 
1.13043478   1.79709350   -1.01293935 
1.13712375   1.72856950   -1.07728760 
1.14381271   1.65580093   -1.14235848 
1.15050167   1.57875025   -1.20784094 
1.15719064   1.49740245   -1.27335911 
1.16387960   1.41176933   -1.33847023 
1.17056856   1.32189392   -1.40266465 
1.17725753   1.22785481   -1.46536855 
1.18394649   1.12977016   -1.52594979 
1.19063545   1.02780125   -1.58372744 
1.19732441   0.92215525   -1.63798519 
1.20401338   0.81308698   -1.68798875 
1.21070234   0.70089945   -1.73300672 
1.21739130   0.58594290   -1.77233449 
1.22408027   0.46861216   -1.80531974 
1.23076923   0.34934244   -1.83138838 
1.23745819   0.22860336   -1.85006895 
1.24414716   0.10689146   -1.86101384 
1.25083612   -0.01527841  -1.86401556 
1.25752508   -0.13738270  -1.85901670 
1.26421405   -0.25889911  -1.84611274 
1.27090301   -0.37931649  -1.82554740 
1.27759197   -0.49814426  -1.79770101 
1.28428094   -0.61492077  -1.76307281 
1.29096990   -0.72922040  -1.72225885 
1.29765886   -0.84065913  -1.67592695 
1.30434783   -0.94889837  -1.62479078 
1.31103679   -1.05364711  -1.56958458 
1.31772575   -1.15466254  -1.51104000 
1.32441472   -1.25174918  -1.44986596 
1.33110368   -1.34475683  -1.38673231 
1.33779264   -1.43357758  -1.32225735 
1.34448161   -1.51814211  -1.25699929 
1.35117057   -1.59841562  -1.19145116 
1.35785953   -1.67439340  -1.12603894 
1.36454849   -1.74609653  -1.06112202 
1.37123746   -1.81356749  -0.99699576 
1.37792642   -1.87686616  -0.93389534 
1.38461538   -1.93606599  -0.87200062 
1.39130435   -1.99125054  -0.81144139 
1.39799331   -2.04251042  -0.75230295 
1.40468227   -2.08994050  -0.69463150 
1.41137124   -2.13363755  -0.63843938 
1.41806020   -2.17369816  -0.58370992 
1.42474916   -2.21021702  -0.53040180 
1.43143813   -2.24328539  -0.47845308 
1.43812709   -2.27298990  -0.42778463 
1.44481605   -2.29941151  -0.37830319 
1.45150502   -2.32262467  -0.32990397 
1.45819398   -2.34269666  -0.28247288 
1.46488294   -2.35968700  -0.23588842 
