theta        omega       
0.00000000   1.20000000  
0.00005024   1.20000000  
0.00010048   1.20000000  
0.00015071   1.19999999  
0.00020095   1.19999998  
0.00045214   1.19999991  
0.00070333   1.19999979  
0.00095452   1.19999962  
0.00120571   1.19999939  
0.00246165   1.19999748  
0.00371759   1.19999424  
0.00497352   1.19998969  
0.00622945   1.19998383  
0.01250897   1.19993480  
0.01878814   1.19985291  
0.02506680   1.19973817  
0.03134478   1.19959059  
0.06271835   1.19836042  
0.09404900   1.19631154  
0.12531537   1.19344736  
0.15649618   1.18977262  
0.31039456   1.15949438  
0.45907293   1.11039501  
0.60018198   1.04426364  
0.73165403   0.96336619  
0.89094150   0.83504566  
1.02601938   0.69022969  
1.13439849   0.53404584  
1.21444655   0.37071823  
1.26525613   0.20339084  
1.28627363   0.03404212  
1.27728048   -0.13560505 
1.23837843   -0.30392848 
1.16998724   -0.46913714 
1.07282064   -0.62853173 
0.94823626   -0.77841444 
0.79835813   -0.91403591 
0.62613213   -1.02984200 
0.43569866   -1.11943254 
0.23216147   -1.17729940 
0.02144201   -1.19966635 
-0.18996362  -1.18482264 
-0.39545953  -1.13386203 
-0.58896286  -1.05009955 
-0.76519278  -0.93896440 
-0.91981673  -0.80690559 
-1.04967207  -0.65946442 
-1.15244946  -0.50158275 
-1.22665970  -0.33725397 
-1.27150057  -0.16940313 
-1.28648761  0.00011076  
-1.27146236  0.16961526  
-1.22658501  0.33745213  
-1.15234115  0.50171526  
-1.04954492  0.65950061  
-0.91969062  0.80689072  
-0.76507566  0.93893760  
-0.57481999  1.05733258  
-0.36507212  1.14351226  
-0.14252254  1.19110245  
0.08518082   1.19651504  
