Tt           theta        dtheta/dt   
0.00000000   3.00000000   -0.00000000 
0.00500000   2.99953935   -0.01141163 
0.01000000   2.99815440   -0.02289700 
0.01500000   2.99583623   -0.03453032 
0.02000000   2.99256984   -0.04638667 
0.02500000   2.98833415   -0.05854249 
0.03000000   2.98310182   -0.07107602 
0.03500000   2.97683910   -0.08406773 
0.04000000   2.96950565   -0.09760082 
0.04500000   2.96105426   -0.11176166 
0.05000000   2.95143063   -0.12664023 
0.05500000   2.94057300   -0.14233062 
0.06000000   2.92841184   -0.15893144 
0.06500000   2.91486947   -0.17654626 
0.07000000   2.89985961   -0.19528405 
0.07500000   2.88328695   -0.21525954 
0.08000000   2.86504669   -0.23659353 
0.08500000   2.84502400   -0.25941319 
0.09000000   2.82309350   -0.28385219 
0.09500000   2.79911877   -0.31005071 
0.10000000   2.77295181   -0.33815535 
0.10500000   2.74443252   -0.36831867 
0.11000000   2.71338827   -0.40069858 
0.11500000   2.67963346   -0.43545723 
0.12000000   2.64296931   -0.47275947 
0.12500000   2.60318367   -0.51277071 
0.13000000   2.56005110   -0.55565393 
0.13500000   2.51333322   -0.60156590 
0.14000000   2.46277940   -0.65065214 
0.14500000   2.40812792   -0.70304066 
0.15000000   2.34910768   -0.75883405 
0.15500000   2.28544065   -0.81809986 
0.16000000   2.21684512   -0.88085901 
0.16500000   2.14304005   -0.94707213 
0.17000000   2.06375053   -1.01662390 
0.17500000   1.97871461   -1.08930549 
0.18000000   1.88769161   -1.16479574 
0.18500000   1.79047200   -1.24264186 
0.19000000   1.68688876   -1.32224102 
0.19500000   1.57683016   -1.40282479 
0.20000000   1.46025361   -1.48344883 
0.20500000   1.33719999   -1.56299083 
0.21000000   1.20780777   -1.64015983 
0.21500000   1.07232578   -1.71351992 
0.22000000   0.93112338   -1.78153057 
0.22500000   0.78469672   -1.84260419 
0.23000000   0.63366966   -1.89517947 
0.23500000   0.47878831   -1.93780613 
0.24000000   0.32090841   -1.96923425 
0.24500000   0.16097573   -1.98849886 
0.25000000   0.00000000   -1.99498997 
0.25500000   -0.16097573  -1.98849886 
0.26000000   -0.32090841  -1.96923425 
0.26500000   -0.47878831  -1.93780613 
0.27000000   -0.63366966  -1.89517947 
0.27500000   -0.78469672  -1.84260419 
0.28000000   -0.93112338  -1.78153057 
0.28500000   -1.07232578  -1.71351992 
0.29000000   -1.20780777  -1.64015983 
0.29500000   -1.33719999  -1.56299083 
0.30000000   -1.46025361  -1.48344883 
0.30500000   -1.57683016  -1.40282479 
0.31000000   -1.68688876  -1.32224102 
0.31500000   -1.79047200  -1.24264186 
0.32000000   -1.88769161  -1.16479574 
0.32500000   -1.97871461  -1.08930549 
0.33000000   -2.06375053  -1.01662390 
0.33500000   -2.14304005  -0.94707213 
0.34000000   -2.21684512  -0.88085901 
0.34500000   -2.28544065  -0.81809986 
0.35000000   -2.34910768  -0.75883405 
0.35500000   -2.40812792  -0.70304066 
0.36000000   -2.46277940  -0.65065214 
0.36500000   -2.51333322  -0.60156590 
0.37000000   -2.56005110  -0.55565393 
0.37500000   -2.60318367  -0.51277071 
0.38000000   -2.64296931  -0.47275947 
0.38500000   -2.67963346  -0.43545723 
0.39000000   -2.71338827  -0.40069858 
0.39500000   -2.74443252  -0.36831867 
0.40000000   -2.77295181  -0.33815535 
0.40500000   -2.79911877  -0.31005071 
0.41000000   -2.82309350  -0.28385219 
0.41500000   -2.84502400  -0.25941319 
0.42000000   -2.86504669  -0.23659353 
0.42500000   -2.88328695  -0.21525954 
0.43000000   -2.89985961  -0.19528405 
0.43500000   -2.91486947  -0.17654626 
0.44000000   -2.92841184  -0.15893144 
0.44500000   -2.94057300  -0.14233062 
0.45000000   -2.95143063  -0.12664023 
0.45500000   -2.96105426  -0.11176166 
0.46000000   -2.96950565  -0.09760082 
0.46500000   -2.97683910  -0.08406773 
0.47000000   -2.98310182  -0.07107602 
0.47500000   -2.98833415  -0.05854249 
0.48000000   -2.99256984  -0.04638667 
0.48500000   -2.99583623  -0.03453032 
0.49000000   -2.99815440  -0.02289700 
0.49500000   -2.99953935  -0.01141163 
0.50000000   -3.00000000  -0.00000000 
0.50500000   -2.99953935  0.01141163  
0.51000000   -2.99815440  0.02289700  
0.51500000   -2.99583623  0.03453032  
0.52000000   -2.99256984  0.04638667  
0.52500000   -2.98833415  0.05854249  
0.53000000   -2.98310182  0.07107602  
0.53500000   -2.97683910  0.08406773  
0.54000000   -2.96950565  0.09760082  
0.54500000   -2.96105426  0.11176166  
0.55000000   -2.95143063  0.12664023  
0.55500000   -2.94057300  0.14233062  
0.56000000   -2.92841184  0.15893144  
0.56500000   -2.91486947  0.17654626  
0.57000000   -2.89985961  0.19528405  
0.57500000   -2.88328695  0.21525954  
0.58000000   -2.86504669  0.23659353  
0.58500000   -2.84502400  0.25941319  
0.59000000   -2.82309350  0.28385219  
0.59500000   -2.79911877  0.31005071  
0.60000000   -2.77295181  0.33815535  
0.60500000   -2.74443252  0.36831867  
0.61000000   -2.71338827  0.40069858  
0.61500000   -2.67963346  0.43545723  
0.62000000   -2.64296931  0.47275947  
0.62500000   -2.60318367  0.51277071  
0.63000000   -2.56005110  0.55565393  
0.63500000   -2.51333322  0.60156590  
0.64000000   -2.46277940  0.65065214  
0.64500000   -2.40812792  0.70304066  
0.65000000   -2.34910768  0.75883405  
0.65500000   -2.28544065  0.81809986  
0.66000000   -2.21684512  0.88085901  
0.66500000   -2.14304005  0.94707213  
0.67000000   -2.06375053  1.01662390  
0.67500000   -1.97871461  1.08930549  
0.68000000   -1.88769161  1.16479574  
0.68500000   -1.79047200  1.24264186  
0.69000000   -1.68688876  1.32224102  
0.69500000   -1.57683016  1.40282479  
0.70000000   -1.46025361  1.48344883  
0.70500000   -1.33719999  1.56299083  
0.71000000   -1.20780777  1.64015983  
0.71500000   -1.07232578  1.71351992  
0.72000000   -0.93112338  1.78153057  
0.72500000   -0.78469672  1.84260419  
0.73000000   -0.63366966  1.89517947  
0.73500000   -0.47878831  1.93780613  
0.74000000   -0.32090841  1.96923425  
0.74500000   -0.16097573  1.98849886  
0.75000000   0.00000000   1.99498997  
0.75500000   0.16097573   1.98849886  
0.76000000   0.32090841   1.96923425  
0.76500000   0.47878831   1.93780613  
0.77000000   0.63366966   1.89517947  
0.77500000   0.78469672   1.84260419  
0.78000000   0.93112338   1.78153057  
0.78500000   1.07232578   1.71351992  
0.79000000   1.20780777   1.64015983  
0.79500000   1.33719999   1.56299083  
0.80000000   1.46025361   1.48344883  
0.80500000   1.57683016   1.40282479  
0.81000000   1.68688876   1.32224102  
0.81500000   1.79047200   1.24264186  
0.82000000   1.88769161   1.16479574  
0.82500000   1.97871461   1.08930549  
0.83000000   2.06375053   1.01662390  
0.83500000   2.14304005   0.94707213  
0.84000000   2.21684512   0.88085901  
0.84500000   2.28544065   0.81809986  
0.85000000   2.34910768   0.75883405  
0.85500000   2.40812792   0.70304066  
0.86000000   2.46277940   0.65065214  
0.86500000   2.51333322   0.60156590  
0.87000000   2.56005110   0.55565393  
0.87500000   2.60318367   0.51277071  
0.88000000   2.64296931   0.47275947  
0.88500000   2.67963346   0.43545723  
0.89000000   2.71338827   0.40069858  
0.89500000   2.74443252   0.36831867  
0.90000000   2.77295181   0.33815535  
0.90500000   2.79911877   0.31005071  
0.91000000   2.82309350   0.28385219  
0.91500000   2.84502400   0.25941319  
0.92000000   2.86504669   0.23659353  
0.92500000   2.88328695   0.21525954  
0.93000000   2.89985961   0.19528405  
0.93500000   2.91486947   0.17654626  
0.94000000   2.92841184   0.15893144  
0.94500000   2.94057300   0.14233062  
0.95000000   2.95143063   0.12664023  
0.95500000   2.96105426   0.11176166  
0.96000000   2.96950565   0.09760082  
0.96500000   2.97683910   0.08406773  
0.97000000   2.98310182   0.07107602  
0.97500000   2.98833415   0.05854249  
0.98000000   2.99256984   0.04638667  
0.98500000   2.99583623   0.03453032  
0.99000000   2.99815440   0.02289700  
0.99500000   2.99953935   0.01141163  
1.00000000   3.00000000   0.00000000  
1.00500000   2.99953935   -0.01141163 
1.01000000   2.99815440   -0.02289700 
1.01500000   2.99583623   -0.03453032 
1.02000000   2.99256984   -0.04638667 
1.02500000   2.98833415   -0.05854249 
1.03000000   2.98310182   -0.07107602 
1.03500000   2.97683910   -0.08406773 
1.04000000   2.96950565   -0.09760082 
1.04500000   2.96105426   -0.11176166 
1.05000000   2.95143063   -0.12664023 
