Tt           theta        dtheta/dt   
0.78500000   0.34460253   1.31944882  
0.79000000   0.39253303   1.30629695  
0.79500000   0.43995394   1.29153713  
0.80000000   0.48680747   1.27522049  
0.80500000   0.53303779   1.25740223  
0.81000000   0.57859115   1.23814111  
0.81500000   0.62341599   1.21749883  
0.82000000   0.66746307   1.19553949  
0.82500000   0.71068549   1.17232902  
0.83000000   0.75303882   1.14793459  
0.83500000   0.79448107   1.12242409  
0.84000000   0.83497273   1.09586559  
0.84500000   0.87447681   1.06832686  
0.85000000   0.91295872   1.03987494  
0.85500000   0.95038636   1.01057565  
0.86000000   0.98672996   0.98049330  
0.86500000   1.02196208   0.94969030  
0.87000000   1.05605753   0.91822689  
0.87500000   1.08899326   0.88616086  
0.88000000   1.12074828   0.85354742  
0.88500000   1.15130358   0.82043895  
0.89000000   1.18064200   0.78688493  
0.89500000   1.20874813   0.75293186  
0.90000000   1.23560821   0.71862316  
0.90500000   1.26121000   0.68399920  
0.91000000   1.28554269   0.64909729  
0.91500000   1.30859676   0.61395174  
0.92000000   1.33036389   0.57859389  
0.92500000   1.35083688   0.54305220  
0.93000000   1.37000948   0.50735241  
0.93500000   1.38787635   0.47151756  
0.94000000   1.40443295   0.43556823  
0.94500000   1.41967543   0.39952259  
0.95000000   1.43360057   0.36339664  
0.95500000   1.44620572   0.32720429  
0.96000000   1.45748866   0.29095763  
0.96500000   1.46744761   0.25466700  
0.97000000   1.47608112   0.21834125  
0.97500000   1.48338807   0.18198788  
0.98000000   1.48936756   0.14561327  
0.98500000   1.49401891   0.10922281  
0.99000000   1.49734163   0.07282113  
0.99500000   1.49933539   0.03641231  
1.00000000   1.50000000   0.00000000  
1.00500000   1.49933539   -0.03641231 
1.01000000   1.49734163   -0.07282113 
1.01500000   1.49401891   -0.10922281 
1.02000000   1.48936756   -0.14561327 
1.02500000   1.48338807   -0.18198788 
1.03000000   1.47608112   -0.21834125 
1.03500000   1.46744761   -0.25466700 
1.04000000   1.45748866   -0.29095763 
1.04500000   1.44620572   -0.32720429 
1.05000000   1.43360057   -0.36339664 
1.05500000   1.41967543   -0.39952259 
1.06000000   1.40443295   -0.43556823 
1.06500000   1.38787635   -0.47151756 
1.07000000   1.37000948   -0.50735241 
1.07500000   1.35083688   -0.54305220 
1.08000000   1.33036389   -0.57859389 
1.08500000   1.30859676   -0.61395174 
1.09000000   1.28554269   -0.64909729 
1.09500000   1.26121000   -0.68399920 
1.10000000   1.23560821   -0.71862316 
1.10500000   1.20874813   -0.75293186 
1.11000000   1.18064200   -0.78688493 
1.11500000   1.15130358   -0.82043895 
1.12000000   1.12074828   -0.85354742 
1.12500000   1.08899326   -0.88616086 
1.13000000   1.05605753   -0.91822689 
1.13500000   1.02196208   -0.94969030 
1.14000000   0.98672996   -0.98049330 
1.14500000   0.95038636   -1.01057565 
1.15000000   0.91295872   -1.03987494 
1.15500000   0.87447681   -1.06832686 
1.16000000   0.83497273   -1.09586559 
1.16500000   0.79448107   -1.12242409 
1.17000000   0.75303882   -1.14793459 
1.17500000   0.71068549   -1.17232902 
1.18000000   0.66746307   -1.19553949 
1.18500000   0.62341599   -1.21749883 
1.19000000   0.57859115   -1.23814111 
1.19500000   0.53303779   -1.25740223 
1.20000000   0.48680747   -1.27522049 
1.20500000   0.43995394   -1.29153713 
1.21000000   0.39253303   -1.30629695 
1.21500000   0.34460253   -1.31944882 
1.22000000   0.29622199   -1.33094624 
1.22500000   0.24745258   -1.34074779 
1.23000000   0.19835688   -1.34881762 
1.23500000   0.14899866   -1.35512584 
1.24000000   0.09944270   -1.35964881 
1.24500000   0.04975447   -1.36236948 
1.25000000   -0.00000000  -1.36327752 
1.25500000   -0.04975447  -1.36236948 
1.26000000   -0.09944270  -1.35964881 
1.26500000   -0.14899866  -1.35512584 
1.27000000   -0.19835688  -1.34881762 
1.27500000   -0.24745258  -1.34074779 
1.28000000   -0.29622199  -1.33094624 
1.28500000   -0.34460253  -1.31944882 
1.29000000   -0.39253303  -1.30629695 
1.29500000   -0.43995394  -1.29153713 
1.30000000   -0.48680747  -1.27522049 
1.30500000   -0.53303779  -1.25740223 
1.31000000   -0.57859115  -1.23814111 
1.31500000   -0.62341599  -1.21749883 
1.32000000   -0.66746307  -1.19553949 
1.32500000   -0.71068549  -1.17232902 
1.33000000   -0.75303882  -1.14793459 
1.33500000   -0.79448107  -1.12242409 
1.34000000   -0.83497273  -1.09586559 
1.34500000   -0.87447681  -1.06832686 
1.35000000   -0.91295872  -1.03987494 
1.35500000   -0.95038636  -1.01057565 
1.36000000   -0.98672996  -0.98049330 
1.36500000   -1.02196208  -0.94969030 
1.37000000   -1.05605753  -0.91822689 
1.37500000   -1.08899326  -0.88616086 
1.38000000   -1.12074828  -0.85354742 
1.38500000   -1.15130358  -0.82043895 
1.39000000   -1.18064200  -0.78688493 
1.39500000   -1.20874813  -0.75293186 
1.40000000   -1.23560821  -0.71862316 
1.40500000   -1.26121000  -0.68399920 
1.41000000   -1.28554269  -0.64909729 
1.41500000   -1.30859676  -0.61395174 
1.42000000   -1.33036389  -0.57859389 
1.42500000   -1.35083688  -0.54305220 
1.43000000   -1.37000948  -0.50735241 
1.43500000   -1.38787635  -0.47151756 
1.44000000   -1.40443295  -0.43556823 
1.44500000   -1.41967543  -0.39952259 
1.45000000   -1.43360057  -0.36339664 
1.45500000   -1.44620572  -0.32720429 
1.46000000   -1.45748866  -0.29095763 
1.46500000   -1.46744761  -0.25466700 
1.47000000   -1.47608112  -0.21834125 
1.47500000   -1.48338807  -0.18198788 
1.48000000   -1.48936756  -0.14561327 
1.48500000   -1.49401891  -0.10922281 
1.49000000   -1.49734163  -0.07282113 
1.49500000   -1.49933539  -0.03641231 
1.50000000   -1.50000000  0.00000000  
1.50500000   -1.49933539  0.03641231  
1.51000000   -1.49734163  0.07282113  
1.51500000   -1.49401891  0.10922281  
1.52000000   -1.48936756  0.14561327  
1.52500000   -1.48338807  0.18198788  
1.53000000   -1.47608112  0.21834125  
1.53500000   -1.46744761  0.25466700  
1.54000000   -1.45748866  0.29095763  
1.54500000   -1.44620572  0.32720429  
1.55000000   -1.43360057  0.36339664  
1.55500000   -1.41967543  0.39952259  
1.56000000   -1.40443295  0.43556823  
1.56500000   -1.38787635  0.47151756  
1.57000000   -1.37000948  0.50735241  
1.57500000   -1.35083688  0.54305220  
1.58000000   -1.33036389  0.57859389  
1.58500000   -1.30859676  0.61395174  
1.59000000   -1.28554269  0.64909729  
1.59500000   -1.26121000  0.68399920  
1.60000000   -1.23560821  0.71862316  
1.60500000   -1.20874813  0.75293186  
1.61000000   -1.18064200  0.78688493  
1.61500000   -1.15130358  0.82043895  
1.62000000   -1.12074828  0.85354742  
1.62500000   -1.08899326  0.88616086  
1.63000000   -1.05605753  0.91822689  
1.63500000   -1.02196208  0.94969030  
1.64000000   -0.98672996  0.98049330  
1.64500000   -0.95038636  1.01057565  
1.65000000   -0.91295872  1.03987494  
1.65500000   -0.87447681  1.06832686  
1.66000000   -0.83497273  1.09586559  
1.66500000   -0.79448107  1.12242409  
1.67000000   -0.75303882  1.14793459  
1.67500000   -0.71068549  1.17232902  
1.68000000   -0.66746307  1.19553949  
1.68500000   -0.62341599  1.21749883  
1.69000000   -0.57859115  1.23814111  
1.69500000   -0.53303779  1.25740223  
1.70000000   -0.48680747  1.27522049  
1.70500000   -0.43995394  1.29153713  
1.71000000   -0.39253303  1.30629695  
1.71500000   -0.34460253  1.31944882  
1.72000000   -0.29622199  1.33094624  
1.72500000   -0.24745258  1.34074779  
1.73000000   -0.19835688  1.34881762  
1.73500000   -0.14899866  1.35512584  
1.74000000   -0.09944270  1.35964881  
1.74500000   -0.04975447  1.36236948  
1.75000000   -0.00000000  1.36327752  
1.75500000   0.04975447   1.36236948  
1.76000000   0.09944270   1.35964881  
1.76500000   0.14899866   1.35512584  
1.77000000   0.19835688   1.34881762  
1.77500000   0.24745258   1.34074779  
1.78000000   0.29622199   1.33094624  
1.78500000   0.34460253   1.31944882  
1.79000000   0.39253303   1.30629695  
1.79500000   0.43995394   1.29153713  
1.80000000   0.48680747   1.27522049  
1.80500000   0.53303779   1.25740223  
1.81000000   0.57859115   1.23814111  
1.81500000   0.62341599   1.21749883  
1.82000000   0.66746307   1.19553949  
1.82500000   0.71068549   1.17232902  
1.83000000   0.75303882   1.14793459  
1.83500000   0.79448107   1.12242409  
1.84000000   0.83497273   1.09586559  
1.84500000   0.87447681   1.06832686  
1.85000000   0.91295872   1.03987494  
1.85500000   0.95038636   1.01057565  
1.86000000   0.98672996   0.98049330  
1.86500000   1.02196208   0.94969030  
1.87000000   1.05605753   0.91822689  
1.87500000   1.08899326   0.88616086  
1.88000000   1.12074828   0.85354742  
1.88500000   1.15130358   0.82043895  
1.89000000   1.18064200   0.78688493  
1.89500000   1.20874813   0.75293186  
1.90000000   1.23560821   0.71862316  
1.90500000   1.26121000   0.68399920  
1.91000000   1.28554269   0.64909729  
1.91500000   1.30859676   0.61395174  
1.92000000   1.33036389   0.57859389  
1.92500000   1.35083688   0.54305220  
1.93000000   1.37000948   0.50735241  
1.93500000   1.38787635   0.47151756  
1.94000000   1.40443295   0.43556823  
1.94500000   1.41967543   0.39952259  
1.95000000   1.43360057   0.36339664  
1.95500000   1.44620572   0.32720429  
1.96000000   1.45748866   0.29095763  
1.96500000   1.46744761   0.25466700  
1.97000000   1.47608112   0.21834125  
1.97500000   1.48338807   0.18198788  
1.98000000   1.48936756   0.14561327  
1.98500000   1.49401891   0.10922281  
1.99000000   1.49734163   0.07282113  
1.99500000   1.49933539   0.03641231  
2.00000000   1.50000000   0.00000000  
