theta        omega       
0.00000000   1.60000000  
0.00005024   1.60000000  
0.00010048   1.60000000  
0.00015071   1.59999999  
0.00020095   1.59999999  
0.00045214   1.59999994  
0.00070333   1.59999985  
0.00095452   1.59999972  
0.00120571   1.59999955  
0.00246165   1.59999811  
0.00371759   1.59999568  
0.00497353   1.59999227  
0.00622946   1.59998787  
0.01250907   1.59995110  
0.01878848   1.59988968  
0.02506760   1.59980363  
0.03134634   1.59969294  
0.06273085   1.59877019  
0.09409121   1.59723304  
0.12541540   1.59508357  
0.15669142   1.59232471  
0.31193892   1.56954516  
0.46423468   1.53243344  
0.61222917   1.48214774  
0.75470763   1.42018384  
1.00326309   1.27868315  
1.22354026   1.11382119  
1.41218762   0.93561859  
1.56742241   0.75214429  
1.69870926   0.55128666  
1.78979479   0.35290523  
1.84120014   0.15748084  
1.85338618   -0.03614971 
1.82660901   -0.23013322 
1.76045861   -0.42655914 
1.65440293   -0.62613247 
1.50797863   -0.82741797 
1.32113079   -1.02645410 
1.09501672   -1.21455659 
0.83306076   -1.37976632 
0.54137771   -1.50767811 
0.22881871   -1.58371519 
-0.09265395  -1.59769474 
-0.41048922  -1.54717331 
-0.71246714  -1.43931453 
-0.96645503  -1.30173445 
-1.19252183  -1.13875172 
-1.38696295  -0.96081394 
-1.54773813  -0.77656811 
-1.68393226  -0.57552421 
-1.77986260  -0.37672738 
-1.83603212  -0.18093928 
-1.85292511  0.01284466  
-1.83084874  0.20672864  
-1.76944471  0.40285655  
-1.66820188  0.60210403  
-1.52663153  0.80332923  
-1.34459698  1.00295915  
-1.12305744  1.19285073  
-0.86515868  1.36146116  
-0.57667825  1.49453727  
-0.40460239  1.54779688  
-0.22753008  1.58291407  
-0.04759550  1.59838489  
0.13295614   1.59355746  
