time         theta        dtheta/dt    Uw0^2/mg^2   Kw0^2/mg^2  
0.00000000   0.00000000   3.00000000   0.00000000   4.50000000  
0.03000000   0.08998651   2.99865101   0.00404605   4.49595395  
0.06000000   0.17989219   2.99461616   0.01613701   4.48386299  
0.09000000   0.26963697   2.98793161   0.03613234   4.46386766  
0.12000000   0.35914218   2.97865697   0.06380133   4.43619867  
0.15000000   0.44833130   2.96687434   0.09882833   4.40117167  
0.18000000   0.53713059   2.95268705   0.14081958   4.35918042  
0.21000000   0.62546970   2.93621805   0.18931179   4.31068821  
0.24000000   0.71328226   2.91760803   0.24378169   4.25621831  
0.27000000   0.80050633   2.89701343   0.30365660   4.19634340  
0.30000000   0.88708491   2.87460417   0.36832542   4.13167458  
0.33000000   0.97296625   2.85056143   0.43714977   4.06285023  
0.36000000   1.05810416   2.82507524   0.50947495   3.99052505  
0.39000000   1.14245829   2.79834221   0.58464044   3.91535956  
0.42000000   1.22599423   2.77056327   0.66198958   3.83801042  
0.45000000   1.30868366   2.74194152   0.74087836   3.75912164  
0.48000000   1.39050433   2.71268017   0.82068316   3.67931684  
0.51000000   1.47144009   2.68298075   0.90080715   3.59919285  
0.54000000   1.55148078   2.65304141   0.98068565   3.51931435  
0.57000000   1.63062211   2.62305543   1.05979010   3.44020990  
0.60000000   1.70886551   2.59321001   1.13763093   3.36236907  
0.63000000   1.78621792   2.56368512   1.21375929   3.28624071  
0.66000000   1.86269155   2.53465272   1.28776779   3.21223221  
0.69000000   1.93830364   2.50627600   1.35929031   3.14070969  
0.72000000   2.01307621   2.47870891   1.42800108   3.07199892  
0.75000000   2.08703572   2.45209580   1.49361310   3.00638690  
0.78000000   2.16021284   2.42657121   1.55587609   2.94412391  
0.81000000   2.23264213   2.40225978   1.61457397   2.88542603  
0.84000000   2.30436171   2.37927627   1.66952222   2.83047778  
0.87000000   2.37541303   2.35772563   1.72056493   2.77943507  
0.90000000   2.44584053   2.33770322   1.76757184   2.73242816  
0.93000000   2.51569137   2.31929496   1.81043545   2.68956455  
0.96000000   2.58501514   2.30257763   1.84906812   2.65093188  
0.99000000   2.65386362   2.28761913   1.88339936   2.61660064  
1.02000000   2.72229048   2.27447873   1.91337326   2.58662674  
1.05000000   2.79035104   2.26320735   1.93894624   2.56105376  
1.08000000   2.85810204   2.25384785   1.96008493   2.53991507  
1.11000000   2.92560138   2.24643521   1.97676443   2.52323557  
1.14000000   2.99290789   2.24099676   1.98896677   2.51103323  
1.17000000   3.06008113   2.23755233   1.99667977   2.50332023  
1.20000000   3.12718110   2.23611442   1.99989616   2.50010384  
1.23000000   3.19426811   2.23668819   1.99861297   2.50138703  
1.26000000   3.26140249   2.23927159   1.99283138   2.50716862  
1.29000000   3.32864441   2.24385527   1.98255677   2.51744323  
1.32000000   3.39605365   2.25042257   1.96779912   2.53220088  
1.35000000   3.46368936   2.25894941   1.94857378   2.55142622  
1.38000000   3.53160989   2.26940410   1.92490251   2.57509749  
1.41000000   3.59987250   2.28174721   1.89681483   2.60318517  
1.44000000   3.66853314   2.29593131   1.86434972   2.63565028  
1.47000000   3.73764623   2.31190073   1.82755750   2.67244250  
1.50000000   3.80726440   2.32959134   1.78650210   2.71349790  
1.53000000   3.87743820   2.34893019   1.74126348   2.75873652  
1.56000000   3.94821587   2.36983533   1.69194025   2.80805975  
1.59000000   4.01964307   2.39221548   1.63865255   2.86134745  
1.62000000   4.09176255   2.41596983   1.58154489   2.91845511  
1.65000000   4.16461390   2.44098786   1.52078914   2.97921086  
1.68000000   4.23823326   2.46714917   1.45658748   3.04341252  
1.71000000   4.31265298   2.49432349   1.38917516   3.11082484  
1.74000000   4.38790140   2.52237065   1.31882315   3.18117685  
1.77000000   4.46400246   2.55114080   1.24584032   3.25415968  
1.80000000   4.54097549   2.58047465   1.17057530   3.32942470  
1.83000000   4.61883489   2.61020395   1.09341768   3.40658232  
1.86000000   4.69758991   2.64015207   1.01479853   3.48520147  
1.89000000   4.77724437   2.67013480   0.93519007   3.56480993  
1.92000000   4.85779644   2.69996133   0.85510440   3.64489560  
1.95000000   4.93923852   2.72943544   0.77509110   3.72490890  
1.98000000   5.02155704   2.75835685   0.69573375   3.80426625  
2.01000000   5.10473238   2.78652285   0.61764520   3.88235480  
2.04000000   5.18873882   2.81373006   0.54146156   3.95853844  
2.07000000   5.27354457   2.83977637   0.46783508   4.03216492  
2.10000000   5.35911181   2.86446304   0.39742574   4.10257426  
2.13000000   5.44539682   2.88759692   0.33089202   4.16910798  
2.16000000   5.53235024   2.90899275   0.26888060   4.23111940  
2.19000000   5.61991725   2.92847548   0.21201568   4.28798432  
2.22000000   5.70803801   2.94588261   0.16088781   4.33911219  
2.25000000   5.79664797   2.96106642   0.11604281   4.38395719  
2.28000000   5.88567844   2.97389610   0.07797100   4.42202900  
2.31000000   5.97505707   2.98425967   0.04709710   4.45290290  
2.34000000   6.06470844   2.99206574   0.02377129   4.47622871  
2.37000000   6.15455474   2.99724490   0.00826151   4.49173849  
2.40000000   6.24451640   2.99975081   0.00074755   4.49925245  
2.43000000   6.33451282   2.99956098   0.00131697   4.49868303  
2.46000000   6.42446311   2.99667712   0.00996312   4.49003688  
2.49000000   6.51428676   2.99112511   0.02658530   4.47341470  
2.52000000   6.60390442   2.98295456   0.05099104   4.44900896  
2.55000000   6.69323857   2.97223808   0.08290041   4.41709959  
2.58000000   6.78221418   2.95907003   0.12195227   4.37804773  
2.61000000   6.87075939   2.94356516   0.16771208   4.33228792  
2.64000000   6.95880605   2.92585676   0.21968110   4.28031890  
2.67000000   7.04629026   2.90609479   0.27730655   4.22269345  
2.70000000   7.13315284   2.88444363   0.33999246   4.16000754  
2.73000000   7.21933975   2.86107993   0.40711083   4.09288917  
2.76000000   7.30480237   2.83619017   0.47801265   4.02198735  
2.79000000   7.38949784   2.80996845   0.55203865   3.94796135  
2.82000000   7.47338915   2.78261410   0.62852938   3.87147062  
2.85000000   7.55644538   2.75432954   0.70683439   3.79316561  
