time         theta        dtheta/dt   
0.00000000   0.00000000   2.00002000  
0.00625000   0.16970150   1.99282474  
0.01250000   0.33818780   1.97149561  
0.01875000   0.50428664   1.93678051  
0.02500000   0.66690811   1.88985605  
0.03125000   0.82507722   1.83223374  
0.03750000   0.97795768   1.76564862  
0.04375000   1.12486603   1.69194408  
0.05000000   1.26527616   1.61296577  
0.05625000   1.39881567   1.53047321  
0.06250000   1.52525557   1.44607401  
0.06875000   1.64449538   1.36118158  
0.07500000   1.75654566   1.27699410  
0.08125000   1.86150943   1.19449112  
0.08750000   1.95956394   1.11444311  
0.09375000   2.05094364   1.03742967  
0.10000000   2.13592491   0.96386263  
0.10625000   2.21481288   0.89401087  
0.11250000   2.28793032   0.82802502  
0.11875000   2.35560859   0.76596036  
0.12500000   2.41818044   0.70779744  
0.13125000   2.47597442   0.65345979  
0.13750000   2.52931073   0.60282892  
0.14375000   2.57849814   0.55575662  
0.15000000   2.62383192   0.51207490  
0.15625000   2.66559253   0.47160390  
0.16250000   2.70404487   0.43415795  
0.16875000   2.73943799   0.39955027  
0.17500000   2.77200513   0.36759645  
0.18125000   2.80196408   0.33811694  
0.18750000   2.82951764   0.31093883  
0.19375000   2.85485426   0.28589705  
0.20000000   2.87814869   0.26283503  
0.20625000   2.89956280   0.24160516  
0.21250000   2.91924628   0.22206884  
0.21875000   2.93733742   0.20409644  
0.22500000   2.95396389   0.18756704  
0.23125000   2.96924344   0.17236820  
0.23750000   2.98328462   0.15839551  
0.24375000   2.99618742   0.14555225  
0.25000000   3.00804394   0.13374890  
0.25625000   3.01893896   0.12290272  
0.26250000   3.02895051   0.11293734  
0.26875000   3.03815039   0.10378230  
0.27500000   3.04660462   0.09537266  
0.28125000   3.05437397   0.08764860  
0.28750000   3.06151430   0.08055505  
0.29375000   3.06807700   0.07404133  
0.30000000   3.07410930   0.06806082  
0.30625000   3.07965467   0.06257066  
0.31250000   3.08475306   0.05753147  
0.31875000   3.08944123   0.05290704  
0.32500000   3.09375297   0.04866415  
0.33125000   3.09771939   0.04477226  
0.33750000   3.10136909   0.04120336  
0.34375000   3.10472841   0.03793176  
0.35000000   3.10782159   0.03493389  
0.35625000   3.11067095   0.03218813  
0.36250000   3.11329706   0.02967470  
0.36875000   3.11571886   0.02737547  
0.37500000   3.11795385   0.02527385  
0.38125000   3.12001815   0.02335469  
0.38750000   3.12192667   0.02160414  
0.39375000   3.12369319   0.02000956  
0.40000000   3.12533046   0.01855946  
0.40625000   3.12685031   0.01724335  
0.41250000   3.12826370   0.01605175  
0.41875000   3.12958084   0.01497606  
0.42500000   3.13081125   0.01400850  
0.43125000   3.13196380   0.01314209  
0.43750000   3.13304683   0.01237058  
0.44375000   3.13406814   0.01168839  
0.45000000   3.13503512   0.01109061  
0.45625000   3.13595474   0.01057291  
0.46250000   3.13683366   0.01013156  
0.46875000   3.13767820   0.00976337  
0.47500000   3.13849448   0.00946568  
0.48125000   3.13928839   0.00923634  
0.48750000   3.14006566   0.00907370  
0.49375000   3.14083190   0.00897659  
0.50000000   3.14159265   0.00894429  
0.50625000   3.14235340   0.00897659  
0.51250000   3.14311965   0.00907370  
0.51875000   3.14389691   0.00923634  
0.52500000   3.14469082   0.00946568  
0.53125000   3.14550710   0.00976337  
0.53750000   3.14635165   0.01013156  
0.54375000   3.14723057   0.01057291  
0.55000000   3.14815019   0.01109061  
0.55625000   3.14911717   0.01168839  
0.56250000   3.15013848   0.01237058  
0.56875000   3.15122151   0.01314209  
0.57500000   3.15237406   0.01400850  
0.58125000   3.15360447   0.01497606  
0.58750000   3.15492161   0.01605175  
0.59375000   3.15633500   0.01724335  
0.60000000   3.15785485   0.01855946  
0.60625000   3.15949212   0.02000956  
0.61250000   3.16125864   0.02160414  
0.61875000   3.16316716   0.02335469  
0.62500000   3.16523146   0.02527385  
0.63125000   3.16746645   0.02737547  
0.63750000   3.16988825   0.02967470  
0.64375000   3.17251436   0.03218813  
0.65000000   3.17536371   0.03493389  
0.65625000   3.17845689   0.03793176  
0.66250000   3.18181621   0.04120336  
0.66875000   3.18546592   0.04477226  
0.67500000   3.18943234   0.04866415  
0.68125000   3.19374408   0.05290704  
0.68750000   3.19843224   0.05753147  
0.69375000   3.20353064   0.06257066  
0.70000000   3.20907600   0.06806082  
0.70625000   3.21510831   0.07404133  
0.71250000   3.22167100   0.08055505  
0.71875000   3.22881133   0.08764860  
0.72500000   3.23658068   0.09537266  
0.73125000   3.24503492   0.10378230  
0.73750000   3.25423479   0.11293734  
0.74375000   3.26424635   0.12290272  
0.75000000   3.27514137   0.13374890  
0.75625000   3.28699789   0.14555225  
0.76250000   3.29990069   0.15839551  
0.76875000   3.31394187   0.17236820  
0.77500000   3.32922142   0.18756704  
0.78125000   3.34584789   0.20409644  
0.78750000   3.36393903   0.22206884  
0.79375000   3.38362251   0.24160516  
0.80000000   3.40503661   0.26283503  
0.80625000   3.42833105   0.28589705  
0.81250000   3.45366766   0.31093883  
0.81875000   3.48122123   0.33811694  
0.82500000   3.51118018   0.36759645  
0.83125000   3.54374732   0.39955027  
0.83750000   3.57914043   0.43415795  
0.84375000   3.61759278   0.47160390  
0.85000000   3.65935339   0.51207490  
0.85625000   3.70468717   0.55575662  
0.86250000   3.75387457   0.60282892  
0.86875000   3.80721088   0.65345979  
0.87500000   3.86500487   0.70779744  
0.88125000   3.92757672   0.76596036  
0.88750000   3.99525499   0.82802502  
0.89375000   4.06837242   0.89401087  
0.90000000   4.14726039   0.96386263  
0.90625000   4.23224167   1.03742967  
0.91250000   4.32362137   1.11444311  
0.91875000   4.42167588   1.19449112  
0.92500000   4.52663965   1.27699410  
0.93125000   4.63868993   1.36118158  
0.93750000   4.75792974   1.44607401  
0.94375000   4.88436963   1.53047321  
0.95000000   5.01790915   1.61296577  
0.95625000   5.15831928   1.69194408  
0.96250000   5.30522762   1.76564862  
0.96875000   5.45810809   1.83223374  
0.97500000   5.61627720   1.88985605  
0.98125000   5.77889867   1.93678051  
0.98750000   5.94499751   1.97149561  
0.99375000   6.11348380   1.99282474  
1.00000000   6.28318531   2.00002000  
1.00625000   6.45288681   1.99282474  
1.01250000   6.62137310   1.97149561  
1.01875000   6.78747195   1.93678051  
1.02500000   6.95009342   1.88985605  
1.03125000   7.10826253   1.83223374  
1.03750000   7.26114299   1.76564862  
1.04375000   7.40805133   1.69194408  
1.05000000   7.54846147   1.61296577  
1.05625000   7.68200098   1.53047321  
1.06250000   7.80844088   1.44607401  
1.06875000   7.92768069   1.36118158  
1.07500000   8.03973097   1.27699410  
1.08125000   8.14469474   1.19449112  
1.08750000   8.24274925   1.11444311  
1.09375000   8.33412895   1.03742967  
1.10000000   8.41911022   0.96386263  
1.10625000   8.49799819   0.89401087  
1.11250000   8.57111563   0.82802502  
1.11875000   8.63879390   0.76596036  
1.12500000   8.70136574   0.70779744  
1.13125000   8.75915973   0.65345979  
1.13750000   8.81249604   0.60282892  
1.14375000   8.86168344   0.55575662  
1.15000000   8.90701722   0.51207490  
1.15625000   8.94877784   0.47160390  
1.16250000   8.98723018   0.43415795  
1.16875000   9.02262329   0.39955027  
1.17500000   9.05519044   0.36759645  
1.18125000   9.08514939   0.33811694  
1.18750000   9.11270295   0.31093883  
1.19375000   9.13803956   0.28589705  
1.20000000   9.16133400   0.26283503  
1.20625000   9.18274811   0.24160516  
1.21250000   9.20243158   0.22206884  
1.21875000   9.22052273   0.20409644  
1.22500000   9.23714920   0.18756704  
1.23125000   9.25242875   0.17236820  
1.23750000   9.26646992   0.15839551  
1.24375000   9.27937272   0.14555225  
1.25000000   9.29122925   0.13374890  
1.25625000   9.30212427   0.12290272  
1.26250000   9.31213582   0.11293734  
1.26875000   9.32133569   0.10378230  
1.27500000   9.32978993   0.09537266  
1.28125000   9.33755928   0.08764860  
1.28750000   9.34469961   0.08055505  
1.29375000   9.35126230   0.07404133  
1.30000000   9.35729461   0.06806082  
1.30625000   9.36283998   0.06257066  
1.31250000   9.36793837   0.05753147  
1.31875000   9.37262654   0.05290704  
1.32500000   9.37693828   0.04866415  
1.33125000   9.38090470   0.04477226  
1.33750000   9.38455440   0.04120336  
1.34375000   9.38791372   0.03793176  
1.35000000   9.39100690   0.03493389  
1.35625000   9.39385626   0.03218813  
1.36250000   9.39648236   0.02967470  
1.36875000   9.39890417   0.02737547  
1.37500000   9.40113915   0.02527385  
1.38125000   9.40320346   0.02335469  
1.38750000   9.40511198   0.02160414  
1.39375000   9.40687850   0.02000956  
1.40000000   9.40851577   0.01855946  
1.40625000   9.41003561   0.01724335  
1.41250000   9.41144901   0.01605175  
1.41875000   9.41276615   0.01497606  
1.42500000   9.41399656   0.01400850  
1.43125000   9.41514911   0.01314209  
1.43750000   9.41623213   0.01237058  
1.44375000   9.41725345   0.01168839  
1.45000000   9.41822042   0.01109061  
1.45625000   9.41914005   0.01057291  
1.46250000   9.42001896   0.01013156  
1.46875000   9.42086351   0.00976337  
1.47500000   9.42167979   0.00946568  
1.48125000   9.42247370   0.00923634  
1.48750000   9.42325097   0.00907370  
1.49375000   9.42401721   0.00897659  
1.50000000   9.42477796   0.00894429  
1.50625000   9.42553871   0.00897659  
1.51250000   9.42630495   0.00907370  
1.51875000   9.42708222   0.00923634  
1.52500000   9.42787613   0.00946568  
1.53125000   9.42869241   0.00976337  
1.53750000   9.42953696   0.01013156  
1.54375000   9.43041587   0.01057291  
1.55000000   9.43133550   0.01109061  
1.55625000   9.43230248   0.01168839  
1.56250000   9.43332379   0.01237058  
1.56875000   9.43440681   0.01314209  
1.57500000   9.43555937   0.01400850  
1.58125000   9.43678977   0.01497606  
1.58750000   9.43810692   0.01605175  
1.59375000   9.43952031   0.01724335  
1.60000000   9.44104015   0.01855946  
1.60625000   9.44267742   0.02000956  
1.61250000   9.44444394   0.02160414  
1.61875000   9.44635247   0.02335469  
1.62500000   9.44841677   0.02527385  
1.63125000   9.45065175   0.02737547  
1.63750000   9.45307356   0.02967470  
1.64375000   9.45569966   0.03218813  
1.65000000   9.45854902   0.03493389  
1.65625000   9.46164220   0.03793176  
1.66250000   9.46500152   0.04120336  
1.66875000   9.46865123   0.04477226  
1.67500000   9.47261764   0.04866415  
1.68125000   9.47692939   0.05290704  
1.68750000   9.48161755   0.05753147  
1.69375000   9.48671594   0.06257066  
1.70000000   9.49226131   0.06806082  
1.70625000   9.49829362   0.07404133  
1.71250000   9.50485631   0.08055505  
1.71875000   9.51199664   0.08764860  
1.72500000   9.51976599   0.09537266  
1.73125000   9.52822023   0.10378230  
1.73750000   9.53742010   0.11293734  
1.74375000   9.54743165   0.12290272  
1.75000000   9.55832668   0.13374890  
1.75625000   9.57018320   0.14555225  
1.76250000   9.58308600   0.15839551  
1.76875000   9.59712717   0.17236820  
1.77500000   9.61240672   0.18756704  
1.78125000   9.62903320   0.20409644  
1.78750000   9.64712434   0.22206884  
1.79375000   9.66680781   0.24160516  
1.80000000   9.68822192   0.26283503  
1.80625000   9.71151636   0.28589705  
1.81250000   9.73685297   0.31093883  
1.81875000   9.76440653   0.33811694  
1.82500000   9.79436549   0.36759645  
1.83125000   9.82693263   0.39955027  
1.83750000   9.86232574   0.43415795  
1.84375000   9.90077808   0.47160390  
1.85000000   9.94253870   0.51207490  
1.85625000   9.98787248   0.55575662  
1.86250000   10.03705988  0.60282892  
1.86875000   10.09039619  0.65345979  
1.87500000   10.14819018  0.70779744  
1.88125000   10.21076203  0.76596036  
1.88750000   10.27844029  0.82802502  
1.89375000   10.35155773  0.89401087  
1.90000000   10.43044570  0.96386263  
1.90625000   10.51542697  1.03742967  
1.91250000   10.60680667  1.11444311  
1.91875000   10.70486118  1.19449112  
1.92500000   10.80982495  1.27699410  
1.93125000   10.92187523  1.36118158  
1.93750000   11.04111505  1.44607401  
1.94375000   11.16755494  1.53047321  
1.95000000   11.30109446  1.61296577  
1.95625000   11.44150459  1.69194408  
1.96250000   11.58841293  1.76564862  
1.96875000   11.74129340  1.83223374  
1.97500000   11.89946250  1.88985605  
1.98125000   12.06208398  1.93678051  
1.98750000   12.22818282  1.97149561  
1.99375000   12.39666911  1.99282474  
2.00000000   12.56637061  2.00002000  
2.00625000   12.73607212  1.99282474  
2.01250000   12.90455841  1.97149561  
2.01875000   13.07065725  1.93678051  
2.02500000   13.23327873  1.88985605  
2.03125000   13.39144783  1.83223374  
2.03750000   13.54432830  1.76564862  
2.04375000   13.69123664  1.69194408  
2.05000000   13.83164677  1.61296577  
2.05625000   13.96518629  1.53047321  
2.06250000   14.09162618  1.44607401  
2.06875000   14.21086600  1.36118158  
2.07500000   14.32291628  1.27699410  
2.08125000   14.42788005  1.19449112  
2.08750000   14.52593456  1.11444311  
2.09375000   14.61731425  1.03742967  
2.10000000   14.70229553  0.96386263  
2.10625000   14.78118350  0.89401087  
2.11250000   14.85430093  0.82802502  
2.11875000   14.92197920  0.76596036  
