Tt           theta        dtheta/dt    Uw0^2/mg^2   Kw0^2/mg^2  
0.00000000   3.10000000   -0.00000000  1.99956753   -0.00043238 
0.00500000   3.09976972   -0.00438219  1.99956273   -0.00042758 
0.01000000   3.09907632   -0.00881287  1.99954811   -0.00041296 
0.01500000   3.09791214   -0.01334109  1.99952302   -0.00038787 
0.02000000   3.09626429   -0.01801693  1.99948636   -0.00035121 
0.02500000   3.09411453   -0.02289213  1.99943648   -0.00030133 
0.03000000   3.09143908   -0.02802060  1.99937119   -0.00023604 
0.03500000   3.08820835   -0.03345905  1.99928757   -0.00015242 
0.04000000   3.08438659   -0.03926757  1.99918192   -0.00004677 
0.04500000   3.07993153   -0.04551033  1.99904955   0.00008560  
0.05000000   3.07479393   -0.05225621  1.99888459   0.00025056  
0.05500000   3.06891699   -0.05957960  1.99867971   0.00045544  
0.06000000   3.06223577   -0.06756116  1.99842583   0.00070932  
0.06500000   3.05467650   -0.07628869  1.99811169   0.00102346  
0.07000000   3.04615572   -0.08585801  1.99772338   0.00141177  
0.07500000   3.03657946   -0.09637397  1.99724369   0.00189146  
0.08000000   3.02584217   -0.10795148  1.99665139   0.00248376  
0.08500000   3.01382567   -0.12071664  1.99592029   0.00321486  
0.09000000   3.00039784   -0.13480792  1.99501808   0.00411707  
0.09500000   2.98541131   -0.15037742  1.99390495   0.00523020  
0.10000000   2.96870193   -0.16759212  1.99253185   0.00660330  
0.10500000   2.95008714   -0.18663525  1.99083841   0.00829674  
0.11000000   2.92936419   -0.20770753  1.98875033   0.01038482  
0.11500000   2.90630826   -0.23102843  1.98617627   0.01295888  
0.12000000   2.88067039   -0.25683722  1.98300402   0.01613113  
0.12500000   2.85217538   -0.28539378  1.97909593   0.02003922  
0.13000000   2.82051958   -0.31697896  1.97428332   0.02485183  
0.13500000   2.78536872   -0.35189428  1.96835990   0.03077525  
0.14000000   2.74635575   -0.39046069  1.96107388   0.03806127  
0.14500000   2.70307896   -0.43301596  1.95211872   0.04701643  
0.15000000   2.65510041   -0.47991016  1.94112249   0.05801266  
0.15500000   2.60194498   -0.53149860  1.92763574   0.07149941  
0.16000000   2.54310034   -0.58813123  1.91111799   0.08801716  
0.16500000   2.47801825   -0.65013766  1.89092341   0.10821174  
0.17000000   2.40611779   -0.71780626  1.86628628   0.13284887  
0.17500000   2.32679103   -0.79135631  1.83630757   0.16282758  
0.18000000   2.23941217   -0.87090147  1.79994470   0.19919045  
0.18500000   2.14335099   -0.95640377  1.75600744   0.24312771  
0.19000000   2.03799165   -1.04761749  1.70316408   0.29597107  
0.19500000   1.92275792   -1.14402390  1.63996330   0.35917185  
0.20000000   1.79714560   -1.24476000  1.56487790   0.43425725  
0.20500000   1.66076252   -1.34854757  1.47637724   0.52275791  
0.21000000   1.51337555   -1.45363295  1.37303370   0.62610145  
0.21500000   1.35496269   -1.55775283  1.25366519   0.74546996  
0.22000000   1.18576666   -1.65814461  1.11750917   0.88162598  
0.22500000   1.00634410   -1.75162110  0.96441371   1.03472144  
0.23000000   0.81760287   -1.83472453  0.79501962   1.20411553  
0.23500000   0.62081879   -1.90396302  0.61089698   1.38823817  
0.24000000   0.41762372   -1.95611373  0.41459544   1.58453972  
0.24500000   0.20995985   -1.98855447  0.20957441   1.78956074  
0.25000000   0.00000000   -1.99956753  0.00000000   1.99913515  
0.25500000   -0.20995985  -1.98855447  -0.20957441  2.20870956  
