Tt           theta        dtheta/dt   
0.00000000   2.80000000   -0.00000000 
0.00500000   2.79932472   -0.02128033 
0.01000000   2.79729631   -0.04264147 
0.01500000   2.79390707   -0.06416441 
0.02000000   2.78914415   -0.08593054 
0.02500000   2.78298952   -0.10802177 
0.03000000   2.77541991   -0.13052075 
0.03500000   2.76640679   -0.15351099 
0.04000000   2.75591630   -0.17707700 
0.04500000   2.74390917   -0.20130436 
0.05000000   2.73034068   -0.22627985 
0.05500000   2.71516053   -0.25209139 
0.06000000   2.69831284   -0.27882806 
0.06500000   2.67973601   -0.30657997 
0.07000000   2.65936271   -0.33543812 
0.07500000   2.63711979   -0.36549406 
0.08000000   2.61292832   -0.39683955 
0.08500000   2.58670351   -0.42956604 
0.09000000   2.55835481   -0.46376392 
0.09500000   2.52778599   -0.49952171 
0.10000000   2.49489528   -0.53692491 
0.10500000   2.45957563   -0.57605468 
0.11000000   2.42171499   -0.61698614 
0.11500000   2.38119681   -0.65978647 
0.12000000   2.33790057   -0.70451247 
0.12500000   2.29170256   -0.75120786 
0.13000000   2.24247679   -0.79990005 
0.13500000   2.19009613   -0.85059649 
0.14000000   2.13443374   -0.90328052 
0.14500000   2.07536470   -0.95790678 
0.15000000   2.01276803   -1.01439618 
0.15500000   1.94652898   -1.07263057 
0.16000000   1.87654168   -1.13244717 
0.16500000   1.80271217   -1.19363298 
0.17000000   1.72496173   -1.25591949 
0.17500000   1.64323060   -1.31897793 
0.18000000   1.55748189   -1.38241555 
0.18500000   1.46770574   -1.44577344 
0.19000000   1.37392355   -1.50852632 
0.19500000   1.27619208   -1.57008504 
0.20000000   1.17460743   -1.62980220 
0.20500000   1.06930837   -1.68698142 
0.21000000   0.96047913   -1.74089044 
0.21500000   0.84835110   -1.79077825 
0.22000000   0.73320343   -1.83589578 
0.22500000   0.61536212   -1.87551956 
0.23000000   0.49519763   -1.90897729 
0.23500000   0.37312077   -1.93567385 
0.24000000   0.24957705   -1.95511601 
